Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,ID
CG42269,NP_648019.2,"[('XP_007230118.2', 'LOC103025489')]",402
CG42271,NP_996434.2,"[('XP_022531221.2', 'INPP4AB'), ('XP_049335136.1', 'INPP4AB')]",403
CG42329,NP_608590.2,"[('XP_022532265.2', 'OACYL')]",404
CG4238,NP_001097053.2,"[('XP_007257372.3', 'AREL1')]",405
CG4239,NP_573122.1,"[('XP_007233197.2', 'TMEM38A'), ('XP_007230673.2', 'TMEM38B')]",406
CG42540,NP_652337.2,"[('XP_007249031.3', 'ZGC:112408')]",407
CG42673,NP_001189078.1,"[('XP_007258434.2', 'NOS1APA'), ('XP_007258162.3', 'SI:DKEY-34E4.1'), ('XP_049335315.1', 'NOS1APA'), ('XP_049335314.1', 'NOS1APA')]",408
CG42724,NP_001189184.1,"[('XP_007247488.2', 'TCERG1A'), ('XP_007247487.2', 'TCERG1A')]",409
CG4293,NP_001259099.1,"[('XP_007252926.3', 'ERGIC2')]",410
CG4301,NP_001245712.1,"[('XP_049321613.1', 'LOC103043353'), ('XP_049321614.1', 'LOC103043353'), ('XP_049321610.1', 'LOC103043353'), ('XP_049321612.1', 'LOC103043353'), ('XP_049321609.1', 'LOC103043353'), ('XP_049321608.1', 'LOC103043353')]",411
CG4306,NP_649038.1,"[('XP_022541437.1', 'GGCTB'), ('XP_049330035.1', 'LOC125797559')]",412
CG43066,NP_001246408.1,"[('XP_049336492.1', 'LOC103047836'), ('XP_049329481.1', 'SLC6A18'), ('XP_007250636.3', 'SLC6A15'), ('XP_022529866.2', 'LOC111193422'), ('XP_022542415.2', 'SLC6A19B'), ('XP_007233034.2', 'SLC6A17'), ('XP_007241499.3', 'LOC103025258'), ('XP_049336719.1', 'LOC111193389'), ('XP_049323298.1', 'LOC111192935'), ('XP_049323333.1', 'LOC111196738'), ('XP_049323332.1', 'LOC111196963'), ('XP_007241500.2', 'LOC103025567'), ('XP_007233918.2', 'LOC103030908')]",413
CG4328,NP_648567.2,"[('XP_015460996.1', 'LMX1BB'), ('XP_015460997.1', 'LMX1BB'), ('XP_007248041.2', 'LMX1BB')]",414
CG4338,NP_650441.1,"[('XP_007233002.2', 'TSR3')]",415
CG4390,NP_732486.2,"[('XP_049330154.1', 'LOC125798674'), ('XP_049340819.1', 'ESD')]",416
CG4452,NP_648303.1,"[('XP_049333362.1', 'FAM76B'), ('XP_049333372.1', 'FAM76B'), ('XP_049333356.1', 'FAM76B')]",417
CG4461,NP_648304.1,"[('XP_007239465.3', 'HSPB6')]",418
CG4502,NP_609103.1,"[('XP_007231772.3', 'UBE2QL1')]",419
CG4554,NP_611676.1,"[('XP_007252784.3', 'UTP20')]",420
CG4572,NP_650836.1,"[('XP_049336575.1', 'CPVL')]",421
CG4598,NP_609322.1,"[('XP_022531622.1', 'ECI1')]",422
CG4610,NP_611677.1,"[('XP_007235957.3', 'MTO1'), ('XP_049320746.1', 'MTO1'), ('XP_049320747.1', 'MTO1')]",423
CG4612,NP_611924.1,"[('XP_049322907.1', 'MSI2B'), ('XP_022523702.2', 'MSI2B')]",424
CG4627,NP_610846.2,"[('XP_007241177.1', 'TMEM186')]",425
CG4629,NP_722676.3,"[('XP_007240287.3', 'LOC103045418')]",426
CG4646,NP_610848.1,"[('XP_007250710.2', 'CZIB')]",427
CG4752,NP_611675.2,"[('XP_022541160.2', 'OPLAH')]",428
CG4766,NP_572287.1,"[('XP_015462159.2', 'MAB21L2'), ('XP_007258589.2', 'MAB21L1')]",429
CG4768,NP_573164.2,"[('XP_007260326.1', 'ZGC:77849')]",430
CG4789,NP_573166.1,"[('XP_007227820.1', 'RABL3')]",431
CG4806,NP_611955.2,"[('XP_007250998.3', 'RBM28')]",432
CG4866,NP_611224.1,"[('XP_007250689.1', 'IMP3')]",433
CG4896,NP_608583.5,"[('XP_049335423.1', 'RBM5'), ('XP_049335424.1', 'RBM5')]",434
CG4914,NP_648711.1,"[('XP_007254913.3', 'F7L')]",435
CG4928,NP_573179.1,"[('XP_007255421.2', 'UNC93A')]",436
CG4942,NP_648286.1,"[('XP_022532134.1', 'LOC103035388')]",437
CG4945,NP_725590.1,"[('XP_022529280.1', 'UNM_SA1261'), ('XP_049320575.1', 'BSK146')]",438
CG4968,NP_609375.1,"[('XP_007248127.2', 'OTUB1B'), ('XP_007260802.3', 'OTUB1A')]",439
CG5001,NP_001245832.1,"[('XP_049326504.1', 'DNAJB5'), ('XP_007250726.1', 'DNAJB4'), ('XP_007238154.1', 'DNAJB1B'), ('XP_007229073.2', 'DNAJB1A')]",440
CG5013,NP_650520.1,"[('XP_007237383.1', 'METTL23')]",441
CG5033,NP_611270.1,"[('XP_049331889.1', 'BOP1')]",442
CG5065,NP_611143.1,"[('XP_049329965.1', 'SI:DKEY-97M3.1'), ('XP_007228394.2', 'FAR1'), ('XP_007228395.2', 'FAR1')]",443
CG5087,NP_648279.1,"[('XP_022541155.2', 'UBE3B')]",444
CG5114,NP_001246760.1,"[('XP_022531067.2', 'LOC103041947')]",445
CG5131,NP_609845.1,"[('XP_007229807.3', 'ATP23')]",446
CG5188,NP_609401.2,"[('XP_022530341.2', 'METAP1D'), ('XP_022530340.2', 'METAP1D')]",447
CG5196,NP_650191.1,"[('XP_007259294.1', 'ZDHHC6'), ('XP_007259297.1', 'ZDHHC6'), ('XP_015463885.1', 'ZDHHC6'), ('XP_049321103.1', 'ZDHHC6')]",448
CG5214,NP_650064.1,"[('XP_015463379.1', 'DLST')]",449
CG5254,NP_569856.2,"[('XP_007252618.1', 'SLC25A21')]",450
CG5262,NP_649223.1,"[('XP_022529460.1', 'TMEM104')]",451
CG5290,NP_649026.1,"[('XP_049320144.1', 'TTC27'), ('XP_049320145.1', 'TTC27')]",452
CG5321,NP_572967.2,"[('XP_049326944.1', 'BBOX1')]",453
CG5382,NP_732721.1,"[('XP_007254039.1', 'ZFPL1')]",454
CG5390,NP_609374.1,"[('XP_007239143.3', 'TMPRSS13A')]",455
CG5412,NP_650895.1,"[('XP_049325028.1', 'OVCA2')]",456
CG5510,NP_651224.1,"[('XP_007246509.2', 'LMAN2'), ('XP_007233535.3', 'LMAN2LB'), ('XP_007246511.2', 'LMAN2'), ('XP_022539772.2', 'LMAN2')]",457
CG5521,NP_001163748.1,"[('XP_049320014.1', 'RALGAPA1'), ('XP_049320013.1', 'RALGAPA1'), ('XP_049320012.1', 'RALGAPA1'), ('XP_049320015.1', 'RALGAPA1'), ('XP_049320010.1', 'RALGAPA1')]",458
CG5535,NP_649019.2,"[('XP_022539936.1', 'SLC7A2'), ('XP_022539937.1', 'SLC7A2'), ('XP_049321186.1', 'ZGC:175280'), ('XP_007236768.3', 'SLC7A1B'), ('XP_049323281.1', 'SLC7A1B'), ('XP_007252526.1', 'SLC7A1A'), ('XP_022537038.1', 'SLC7A1A'), ('XP_049324627.1', 'SLC7A1A'), ('XP_022527674.2', 'LOC103025734'), ('XP_022527675.1', 'LOC103025734'), ('XP_007252527.1', 'SLC7A1A'), ('XP_007254191.2', 'SLC7A3A'), ('XP_049322413.1', 'SLC7A3A')]",459
CG5567,NP_649015.2,"[('XP_049320812.1', 'LOC125781265')]",460
CG5608,NP_650208.1,"[('XP_022539628.1', 'VAC14'), ('XP_022539626.1', 'VAC14'), ('XP_049339922.1', 'VAC14')]",461
CG5645,NP_648550.1,"[('XP_022529391.2', 'KRI1')]",462
CG5742,NP_001261069.1,"[('XP_007231843.2', 'ANKRD13C'), ('XP_007254658.2', 'LOC103022185'), ('XP_049337805.1', 'LOC103022185')]",463
CG5757,NP_611290.3,"[('XP_007253720.2', 'DTYMK')]",464
CG5793,NP_001247226.1,"[('XP_007242397.1', 'FAHD1')]",465
CG5800,NP_573230.1,"[('XP_022531763.2', 'DDX10')]",466
CG5861,NP_609789.1,"[('XP_049323504.1', 'TMEM147')]",467
CG5885,NP_609321.1,"[('XP_007232148.1', 'SSR3')]",468
CG5886,NP_651435.1,"[('XP_007240217.2', 'TXLNG'), ('XP_007240216.2', 'TXLNG'), ('XP_007240215.2', 'TXLNG')]",469
CG5890,NP_001356889.1,"[('XP_007235837.2', 'LOC103025333'), ('XP_022537845.1', 'LOC103025333'), ('XP_022537844.1', 'LOC103025333'), ('XP_022537843.1', 'LOC103025333'), ('XP_007231229.1', 'KCNIP1B'), ('XP_007231228.1', 'KCNIP1B'), ('XP_007228080.1', 'LOC103036759')]",470
CG5913,NP_651439.2,"[('XP_007238797.3', 'FAM98A')]",471
CG5937,NP_001096888.2,"[('XP_049337254.1', 'ARFGEF3'), ('XP_049337252.1', 'ARFGEF3'), ('XP_049337253.1', 'ARFGEF3')]",472
CG5966,NP_572286.1,"[('XP_022540543.1', 'LOC103027168')]",473
CG6000,NP_651210.3,"[('XP_022534913.2', 'TSTD3')]",474
CG6073,NP_651468.1,"[('XP_022517935.1', 'HGH1')]",475
CG6094,NP_609416.1,"[('XP_007257255.1', 'MRPL58'), ('XP_015463326.1', 'MRPL58')]",476
CG6154,NP_733146.2,"[('XP_007231865.3', 'DPEP1')]",477
CG6287,NP_609496.1,"[('XP_007260013.3', 'PHGDH')]",478
CG6330,NP_651515.1,"[('XP_022535859.2', 'UPP2'), ('XP_022535860.2', 'UPP2'), ('XP_022535861.2', 'UPP2')]",479
CG6345,NP_650002.1,"[('XP_007251436.3', 'CDK5RAP1')]",480
CG6415,NP_609441.1,"[('XP_007236741.2', 'AMT')]",481
CG6418,NP_648413.1,"[('XP_022532813.2', 'DDX42'), ('XP_049323922.1', 'DDX42')]",482
CG6420,NP_651499.2,"[('XP_007258958.3', 'WDR20A')]",483
CG6424,NP_725709.1,"[('XP_007246468.3', 'FAM13B')]",484
CG6432,NP_651247.1,"[('XP_049329866.1', 'ACSS3')]",485
CG6479,NP_001261981.1,"[('XP_007252786.3', 'TMEM209')]",486
CG6511,NP_648252.1,"[('XP_049319956.1', 'EDRF1')]",487
CG6550,NP_611207.1,"[('XP_022529489.2', 'CDKAL1'), ('XP_022529490.2', 'CDKAL1')]",488
CG6567,NP_001097742.1,"[('XP_007251863.3', 'LYPLAL1')]",489
CG6574,NP_650029.1,"[('XP_007258521.3', 'SLC19A2')]",490
CG6638,NP_648239.1,"[('XP_022528265.1', 'IVD')]",491
CG6664,NP_648944.1,"[('XP_022525084.1', 'CCDC6B')]",492
CG6678,NP_650996.1,"[('XP_022527890.2', 'LOC103040546')]",493
CG6696,NP_573318.1,"[('XP_049327322.1', 'LOC125787317')]",494
CG6707,NP_648372.1,"[('XP_007249443.1', 'PIP4P2'), ('XP_007236694.1', 'PIP4P1A'), ('XP_049325785.1', 'PIP4P1B'), ('XP_007249442.1', 'PIP4P2')]",495
CG6712,NP_477479.1,"[('XP_007233262.3', 'RPF1')]",496
CG6724,NP_001260363.1,"[('XP_007248941.3', 'WDR12')]",497
CG6726,NP_651120.1,"[('XP_007234507.3', 'LOC103031539'), ('XP_022538264.2', 'LOC103031539')]",498
CG6769,NP_573252.1,"[('XP_022533600.2', 'ZNF622'), ('XP_022533598.2', 'ZNF622'), ('XP_022533599.2', 'ZNF622')]",499
CG6891,NP_573323.1,"[('XP_007251014.2', 'COTL1')]",500
CG6938,NP_001261733.1,"[('XP_007246961.3', 'LOC103030872'), ('XP_015460721.3', 'LOC103030872'), ('XP_049330593.1', 'ANO5A'), ('XP_007228295.3', 'ANO5A'), ('XP_007228294.3', 'ANO5A'), ('XP_007228293.3', 'ANO5A'), ('XP_022527909.2', 'ANO5A')]",501
CG6966,NP_001097796.1,"[('XP_007237674.3', 'FEM1A'), ('XP_007260850.1', 'FEM1C')]",502
CG6983,NP_648227.1,"[('XP_015458092.2', 'C8H20ORF27'), ('XP_049338799.1', 'C8H20ORF27')]",503
CG7006,NP_651296.1,"[('XP_007244097.3', 'NIP7')]",504
CG7011,NP_648758.1,"[('XP_007258562.1', 'ERGIC3'), ('XP_007258561.1', 'ERGIC3')]",505
CG7049,NP_612003.1,"[('XP_007254316.3', 'SUMF1')]",506
CG7115,NP_001260215.1,"[('XP_022534513.2', 'PPM1LB')]",507
CG7166,NP_649339.2,"[('XP_049325603.1', 'LOC103030395')]",508
CG7236,NP_001285635.1,"[('XP_007248577.2', 'CDKL1'), ('XP_022534788.1', 'LOC103024925'), ('XP_022534789.1', 'LOC103024925'), ('XP_022534790.1', 'LOC103024925'), ('XP_022534791.1', 'LOC103024925'), ('XP_022534792.1', 'LOC103024925')]",509
CG7322,NP_573333.2,"[('XP_022525017.2', 'DCXR'), ('XP_022525018.2', 'DCXR')]",510
CG7332,NP_573338.1,"[('XP_007242140.2', 'MINDY3')]",511
CG7369,NP_649415.2,"[('XP_007250539.3', 'RASGEF1BA'), ('XP_007250538.3', 'RASGEF1BA')]",512
CG7378,NP_001285421.1,"[('XP_022521750.2', 'LOC103041019'), ('XP_022540386.2', 'DUSP13A')]",513
CG7460,NP_649004.1,"[('XP_007260047.3', 'LOC103026971')]",514
CG7484,NP_649000.1,"[('XP_007245151.2', 'SELENOF')]",515
CG7497,NP_648999.2,"[('XP_049323603.1', 'PTGER1B')]",516
CG7530,NP_650387.1,"[('XP_007229982.2', 'PAQR3B'), ('XP_022536684.1', 'PAQR3B'), ('XP_022520570.1', 'PAQR3A')]",517
CG7564,NP_648991.1,"[('XP_007239600.2', 'LUC7L'), ('XP_022530205.2', 'ZGC:158803')]",518
CG7565,NP_648171.1,"[('XP_007245761.3', 'KIAA0319L'), ('XP_049331891.1', 'KIAA0319L')]",519
CG7611,NP_649326.1,"[('XP_007251868.1', 'WDR26A'), ('XP_007259932.2', 'WDR26B')]",520
CG7627,NP_001245943.1,"[('XP_022531083.2', 'ABCC4')]",521
CG7639,NP_995838.1,"[('XP_022527543.2', 'SAMM50L')]",522
CG7650,NP_648786.1,"[('XP_022532142.2', 'PDCL')]",523
CG7656,NP_730059.1,"[('XP_022521262.1', 'LOC111191236'), ('XP_007253990.1', 'UBE2R2'), ('XP_022532316.1', 'UBE2R2'), ('XP_049321805.1', 'CDC34A'), ('XP_049321806.1', 'CDC34A')]",524
CG7694,NP_001138076.1,"[('XP_007237875.2', 'RNF181')]",525
CG7706,NP_650742.2,"[('XP_007247743.3', 'LOC103040940')]",526
CG7724,NP_648957.1,"[('XP_049323574.1', 'HSD3B7')]",527
CG7728,NP_648945.1,"[('XP_049320314.1', 'BMS1')]",528
CG7766,NP_001285036.1,"[('XP_049338138.1', 'PHKA1A'), ('XP_049338139.1', 'PHKA1A'), ('XP_049338137.1', 'PHKA1A'), ('XP_022525273.1', 'PHKA2'), ('XP_049322410.1', 'PHKA1B'), ('XP_007248115.1', 'PHKA1A'), ('XP_022525271.1', 'PHKA2'), ('XP_022525272.1', 'PHKA2'), ('XP_022525270.1', 'PHKA2'), ('XP_049338140.1', 'PHKA1A')]",529
CG7857,NP_648769.2,"[('XP_007249431.3', 'OTUD6B')]",530
CG7945,NP_648773.1,"[('XP_007247386.1', 'BAG2')]",531
CG7974,NP_647643.1,"[('XP_007257022.2', 'C1H9ORF78')]",532
CG7985,NP_650689.1,"[('XP_007259387.3', 'HEXDC'), ('XP_007259388.3', 'HEXDC'), ('XP_022524754.2', 'HEXDC'), ('XP_022517814.2', 'ZGC:113333'), ('XP_049323804.1', 'ZGC:113333'), ('XP_049323805.1', 'ZGC:113333')]",533
CG8004,NP_649161.1,"[('XP_007248898.3', 'MTX2')]",534
CG8026,NP_724769.2,"[('XP_007231526.3', 'SLC25A32B'), ('XP_049332341.1', 'SLC25A32A')]",535
CG8031,NP_650252.1,"[('XP_022522917.1', 'MEMO1')]",536
CG8036,NP_649812.2,"[('XP_007249925.2', 'TKTB'), ('XP_022526525.2', 'LOC103045188')]",537
CG8042,NP_648165.1,"[('XP_049340981.1', 'UBXN4')]",538
CG8064,NP_650705.1,"[('XP_022536176.2', 'WDR3')]",539
CG8067,NP_610922.1,"[('XP_007238993.2', 'NDUFAF5')]",540
CG8079,NP_001286442.1,"[('XP_049322483.1', 'AGGF1')]",541
CG8112,NP_731269.2,"[('XP_049341799.1', 'SOAT1'), ('XP_049341797.1', 'SOAT1'), ('XP_049341798.1', 'SOAT1')]",542
CG8172,NP_001097236.2,"[('XP_022529985.1', 'LOC111193440')]",543
CG8173,NP_573239.1,"[('XP_007255475.1', 'PBK')]",544
CG8188,NP_573237.2,"[('XP_007256537.1', 'UBE2S')]",545
CG8202,NP_649826.3,"[('XP_022524887.2', 'VPS35L')]",546
CG8204,NP_611050.1,"[('XP_022521481.1', 'ZNHIT3')]",547
CG8230,NP_610431.1,"[('XP_022532399.2', 'DYM')]",548
CG8272,NP_001260812.1,"[('XP_049340476.1', 'LRRC29'), ('XP_049340477.1', 'LRRC29'), ('XP_049340478.1', 'LRRC29'), ('XP_049340479.1', 'LRRC29'), ('XP_049340480.1', 'LRRC29'), ('XP_049340481.1', 'LRRC29'), ('XP_049340482.1', 'LRRC29'), ('XP_049340483.1', 'LRRC29')]",549
CG8300,NP_572384.1,"[('XP_049341396.1', 'LOC103039828')]",550
CG8314,NP_611070.1,"[('XP_007251887.2', 'ZDHHC3A'), ('XP_022519935.1', 'ZDHHC3B'), ('XP_049328866.1', 'LOC125788941'), ('XP_007251886.2', 'ZDHHC3A')]",551
CG8379,NP_996185.1,"[('XP_022525700.1', 'ARMH3'), ('XP_022525701.1', 'ARMH3')]",552
CG8483,NP_650264.1,"[('XP_007260149.2', 'PI15A')]",553
CG8500,NP_649948.1,"[('XP_007255386.1', 'LOC103025938'), ('XP_007240268.2', 'DIRAS1A'), ('XP_007234433.1', 'DIRAS1B'), ('XP_049338987.1', 'DIRAS1B')]",554
CG8607,NP_648100.2,"[('XP_007235973.3', 'ZGC:162297')]",555
CG8611,NP_573214.1,"[('XP_049326659.1', 'DDX31'), ('XP_049326657.1', 'DDX31'), ('XP_049326658.1', 'DDX31')]",556
CG8635,NP_610401.1,"[('XP_007235658.1', 'ZC3H15')]",557
CG8641,NP_648073.1,"[('XP_007232916.1', 'RASD1'), ('XP_015457973.2', 'LOC103040487')]",558
CG8726,NP_610341.2,"[('XP_007229649.2', 'PXK'), ('XP_007229647.3', 'PXK')]",559
CG8745,NP_648665.1,"[('XP_022534020.2', 'ETNPPL')]",560
CG8773,NP_650273.2,"[('XP_007238065.3', 'LOC103046414')]",561
CG8778,NP_610805.1,"[('XP_015462861.1', 'AUH')]",562
CG8833,NP_648669.1,"[('XP_007244933.3', 'GPATCH1')]",563
CG8858,NP_610746.1,"[('XP_049328364.1', 'ECPAS')]",564
CG8888,NP_610724.1,"[('XP_022529104.1', 'BDH1')]",565
CG8892,NP_608891.1,"[('XP_022524063.2', 'UBXN7'), ('XP_049332711.1', 'UBXN7')]",566
CG8939,NP_573099.1,"[('XP_007246233.3', 'FTSJ3')]",567
CG9004,NP_647717.1,"[('XP_022522410.2', 'NOM1'), ('XP_049338687.1', 'NOM1')]",568
CG9067,NP_610662.1,"[('XP_022520868.1', 'TRAPPC2L')]",569
CG9098,NP_608979.2,"[('XP_007230073.3', 'SH2D3CB'), ('XP_007230074.3', 'SH2D3CB'), ('XP_022523198.2', 'SH2D3CB'), ('XP_007230072.3', 'SH2D3CB'), ('XP_022536667.2', 'SH2D3CA'), ('XP_022536666.2', 'SH2D3CA'), ('XP_022536670.2', 'SH2D3CA'), ('XP_022536668.2', 'SH2D3CA'), ('XP_022536664.2', 'SH2D3CA'), ('XP_022536665.2', 'SH2D3CA')]",570
CG9109,NP_608982.2,"[('XP_022524493.1', 'B3GLCTA')]",571
CG9119,NP_612081.1,"[('XP_007260431.2', 'C1H11ORF54')]",572
CG9132,NP_996490.1,"[('XP_022529715.2', 'LOC103042522'), ('XP_007258322.3', 'NECAP1'), ('XP_007256751.3', 'NECAP2')]",573
CG9135,NP_608985.1,"[('XP_007243311.1', 'RCC2'), ('XP_007243312.1', 'RCC2'), ('XP_022533171.1', 'RCC2')]",574
CG9231,NP_649128.1,"[('XP_007249095.1', 'FAM162A')]",575
CG9265,NP_610081.3,"[('XP_022534336.2', 'SDR16C5A'), ('XP_022534337.2', 'SDR16C5A'), ('XP_022534338.2', 'SDR16C5A'), ('XP_049334849.1', 'SDR16C5A')]",576
CG9270,NP_995741.2,"[('XP_022531083.2', 'ABCC4')]",577
CG9281,NP_573057.1,"[('XP_007230382.1', 'ABCF2B'), ('XP_007230383.1', 'ABCF2B'), ('XP_007241243.3', 'ABCF2A')]",578
CG9286,NP_650317.3,"[('XP_007238209.2', 'LOC103037986')]",579
CG9302,NP_609645.2,"[('XP_022536245.1', 'PDIA5')]",580
CG9313,NP_001286657.1,"[('XP_049322104.1', 'DNAI1.2'), ('XP_049322103.1', 'DNAI1.2')]",581
CG9372,NP_649132.1,"[('XP_007239145.2', 'F9B')]",582
CG9386,NP_649904.2,"[('XP_007255112.3', 'TRMT44')]",583
CG9391,NP_649294.1,"[('XP_007260140.1', 'LOC103028717'), ('XP_007260141.1', 'LOC103028717'), ('XP_007238726.2', 'IMPA2'), ('XP_007236632.1', 'IMPA1')]",584
CG9416,NP_611415.2,"[('XP_007230682.3', 'LOC103041279')]",585
CG9467,NP_001369000.1,"[('XP_049320203.1', 'KCTD3'), ('XP_049320202.1', 'KCTD3')]",586
CG9471,NP_001097729.1,"[('XP_007251631.1', 'BLVRB')]",587
CG9485,NP_726062.2,"[('XP_049322840.1', 'AGLA'), ('XP_049335988.1', 'LOC103032775'), ('XP_049335987.1', 'LOC103032775'), ('XP_049335989.1', 'LOC103032775'), ('XP_049322841.1', 'AGLA')]",588
CG9514,NP_572981.1,"[('XP_007237067.3', 'CHDH')]",589
CG9547,NP_609040.1,"[('XP_049323601.1', 'GCDHB')]",590
CG9586,NP_609277.1,"[('XP_022533162.2', 'CCDC43')]",591
CG9590,NP_650488.1,"[('XP_007244529.2', 'FAM114A2')]",592
CG9630,NP_649777.1,"[('XP_022536485.2', 'DDX55')]",593
CG9636,NP_649774.1,"[('XP_049337638.1', 'CUEDC2')]",594
CG9643,NP_608733.1,"[('XP_007255150.2', 'EEF1AKMT2')]",595
CG9784,NP_001259623.1,"[('XP_007252534.2', 'INPP5KB'), ('XP_007252533.2', 'INPP5KB'), ('XP_049326431.1', 'INPP5JB'), ('XP_049326432.1', 'INPP5JB'), ('XP_007252537.3', 'INPP5KB'), ('XP_007252536.3', 'INPP5KB'), ('XP_007252532.2', 'INPP5KB')]",596
CG9799,NP_650284.2,"[('XP_007231456.3', 'WDR36'), ('XP_007231457.3', 'WDR36')]",597
CG9855,NP_649463.2,"[('XP_007258745.1', 'MARCHF5')]",598
CG9886,NP_608684.1,"[('XP_007239342.3', 'GLYCTK'), ('XP_049335439.1', 'GLYCTK'), ('XP_049335440.1', 'GLYCTK'), ('XP_049335441.1', 'GLYCTK'), ('XP_049335442.1', 'GLYCTK')]",599
CG9903,NP_573132.1,"[('XP_007232983.1', 'SLC10A1'), ('XP_015456685.1', 'SLC10A1')]",600
CG9921,NP_001259608.1,"[('XP_007245661.1', 'HIGD2A')]",601
CG9922,NP_650329.1,"[('XP_007240806.1', 'HYPK')]",602
CG9967,NP_608669.1,"[('XP_007229687.1', 'MKRN2OS.2')]",603
CHB,NP_524651.2,"[('XP_049331415.1', 'CLASP2'), ('XP_049331412.1', 'CLASP2'), ('XP_049331414.1', 'CLASP2'), ('XP_049331403.1', 'CLASP2'), ('XP_049331407.1', 'CLASP2'), ('XP_049331410.1', 'CLASP2'), ('XP_049331404.1', 'CLASP2'), ('XP_049331408.1', 'CLASP2'), ('XP_049331405.1', 'CLASP2'), ('XP_049331409.1', 'CLASP2'), ('XP_049331419.1', 'CLASP2'), ('XP_049331402.1', 'CLASP2'), ('XP_049331399.1', 'CLASP2'), ('XP_049321523.1', 'LOC103025616'), ('XP_049321524.1', 'LOC103025616'), ('XP_049331411.1', 'CLASP2'), ('XP_049331413.1', 'CLASP2'), ('XP_049321516.1', 'LOC103025616'), ('XP_049340600.1', 'CLASP1A'), ('XP_049331396.1', 'CLASP2'), ('XP_022538985.2', 'CLASP2'), ('XP_049331420.1', 'CLASP2'), ('XP_049331394.1', 'CLASP2')]",604
CHC,NP_001096993.1,"[('XP_007231094.1', 'CLTCB'), ('XP_049325010.1', 'CLTCA'), ('XP_007231092.1', 'CLTCB'), ('XP_049325009.1', 'CLTCA'), ('XP_049325008.1', 'CLTCA')]",605
CHD1,NP_001259975.1,"[('XP_049324424.1', 'CHD1'), ('XP_049339537.1', 'CHD2'), ('XP_007254529.3', 'CHD2'), ('XP_049339536.1', 'CHD2'), ('XP_022521292.2', 'CHD1'), ('XP_049324420.1', 'CHD1'), ('XP_049324421.1', 'CHD1'), ('XP_049324423.1', 'CHD1'), ('XP_049324422.1', 'CHD1')]",606
CHD64,NP_647860.1,"[('XP_049332440.1', 'TAGLN2'), ('XP_007250452.2', 'CNN3A'), ('XP_022535916.2', 'LOC103046041')]",607
CHER,NP_001262657.2,"[('XP_049329252.1', 'FLNCB'), ('XP_022537969.2', 'LOC103028460'), ('XP_022537968.2', 'LOC103028460'), ('XP_022527593.2', 'FLNCB'), ('XP_049329251.1', 'FLNCB'), ('XP_049329250.1', 'FLNCB'), ('XP_049329247.1', 'FLNCB'), ('XP_049329249.1', 'FLNCB'), ('XP_049329248.1', 'FLNCB'), ('XP_049318855.1', 'FLNA'), ('XP_007249947.3', 'FLNA'), ('XP_049318857.1', 'FLNA'), ('XP_049318856.1', 'FLNA'), ('XP_007241150.2', 'FLNCA'), ('XP_022539656.2', 'FLNCA')]",608
CHI,NP_726403.2,"[('XP_022539708.1', 'LDB2A'), ('XP_022539707.1', 'LDB2A'), ('XP_007246172.1', 'LDB1B'), ('XP_007246171.1', 'LDB1B'), ('XP_015460535.1', 'LDB1B'), ('XP_049337146.1', 'LDB1A'), ('XP_049337145.1', 'LDB1A')]",609
CHM,NP_609117.4,"[('XP_022525067.1', 'KAT7B'), ('XP_022525066.2', 'KAT7B'), ('XP_049323558.1', 'KAT7A'), ('XP_022542097.2', 'KAT7A'), ('XP_022542096.2', 'KAT7A'), ('XP_022542098.2', 'KAT7A')]",610
CHMP1,NP_649051.3,"[('XP_022539457.1', 'LOC103041461')]",611
CHOP24,NP_572165.1,"[('XP_007238328.1', 'LOC103022411'), ('XP_022536488.2', 'TMED2'), ('XP_007238327.1', 'LOC103022411'), ('XP_022536487.2', 'TMED2')]",612
CHRB,NP_648470.2,"[('XP_015461341.2', 'LOC103024026')]",613
CIP4,NP_001261412.1,"[('XP_049322220.1', 'LOC103046602'), ('XP_049322221.1', 'LOC103046602'), ('XP_049322217.1', 'LOC103046602'), ('XP_049322218.1', 'LOC103046602'), ('XP_049322219.1', 'LOC103046602'), ('XP_049322215.1', 'LOC103046602'), ('XP_049342016.1', 'FNBP1L'), ('XP_049342015.1', 'FNBP1L'), ('XP_049322216.1', 'LOC103046602'), ('XP_049341789.1', 'FNBP1A')]",614
CK,NP_523571.1,"[('XP_049339672.1', 'MYO7AA'), ('XP_049339671.1', 'MYO7AA'), ('XP_049322516.1', 'MYO7AB'), ('XP_022531702.2', 'MYO7AB'), ('XP_049322515.1', 'MYO7AB')]",615
CKA,NP_001245936.1,"[('XP_022528333.2', 'STRN3'), ('XP_022528335.2', 'STRN3')]",616
CKIALPHA,NP_511140.1,"[('XP_022539353.1', 'CSNK1A1'), ('XP_022539352.1', 'CSNK1A1'), ('XP_022539350.1', 'CSNK1A1'), ('XP_022539348.1', 'CSNK1A1'), ('XP_022539347.1', 'CSNK1A1')]",617
CKIIBETA,NP_996415.1,"[('XP_022538828.1', 'CSNK2B'), ('XP_049331247.1', 'CSNK2B')]",618
CKS85A,NP_649817.1,"[('XP_007230574.1', 'CKS1B')]",619
CL,NP_608930.1,"[('XP_049323124.1', 'TXNDC17')]",620
CLBN,NP_001163721.1,"[('XP_022528343.1', 'LOC103027759')]",621
