,Model_nodos,NCBI_Product_accesion,Ast,a,a2,Dmel,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
1744,CG4984,NP_001163182.1,,,,,,,,,,
1745,CG4998,NP_001036609.1,,,,,,,,,,
1746,CG5001,NP_001245832.1,Astyanax_pachon,KAG9261676.1,KAG9261676.1,Drosophila_melanogaster,NP_001245832.1,CG5001,1.0199999999999999e-94,345.0,6.69e-95,345.0
1747,CG5001,NP_001245832.1,Astyanax_pachon,KAG9262717.1,KAG9262717.1,Drosophila_melanogaster,NP_001245832.1,CG5001,6.28e-93,339.0,4.28e-93,339.0
1748,CG5001,NP_001245832.1,Astyanax_pachon,KAG9273711.1,KAG9273711.1,Drosophila_melanogaster,NP_001245832.1,CG5001,1.2199999999999998e-95,348.0,8.37e-96,348.0
1749,CG5001,NP_001245832.1,Astyanax_pachon,KAG9279037.1,KAG9279037.1,Drosophila_melanogaster,NP_001245832.1,CG5001,5.02e-92,336.0,3.43e-92,336.0
1750,CG5004,NP_573195.1,,,,,,,,,,
1751,CG5013,NP_650520.1,Astyanax_pachon,KAG9263956.1,METTL23,Drosophila_melanogaster,NP_650520.1,CG5013,4.63e-47,186.0,3.45e-47,186.0
1752,CG5023,NP_650867.1,,,,,,,,,,
1753,CG5033,NP_611270.1,Astyanax_pachon,KAG9280116.1,BOP1,Drosophila_melanogaster,NP_611270.1,CG5033,1.8e-211,734.0,1.19e-211,734.0
1754,CG5050,NP_609839.2,,,,,,,,,,
1755,CG5065,NP_611143.1,Astyanax_pachon,KAG9271977.1,FAR1,Drosophila_melanogaster,NP_611143.1,CG5065,2.9e-125,447.0,2.3600000000000001e-125,447.0
1756,CG5065,NP_611143.1,Astyanax_pachon,KAG9280497.1,FAR1,Drosophila_melanogaster,NP_611143.1,CG5065,4.41e-130,463.0,3.6e-130,463.0
1757,CG5070,NP_573198.1,,,,,,,,,,
1758,CG5079,NP_651405.1,,,,,,,,,,
1759,CG5080,NP_608578.1,,,,,,,,,,
1760,CG5084,NP_611279.1,,,,,,,,,,
1761,CG5087,NP_648279.1,Astyanax_pachon,KAG9261553.1,UBE3B,Drosophila_melanogaster,NP_648279.1,CG5087,4.47e-279,959.0,3.03e-279,959.0
1762,CG5096,NP_723576.1,,,,,,,,,,
1763,CG5098,NP_001261066.1,,,,,,,,,,
1764,CG5114,NP_001246760.1,Astyanax_pachon,KAG9277893.1,AAMP,Drosophila_melanogaster,NP_001246760.1,CG5114,8.24e-53,206.0,5.93e-53,206.0
1765,CG5131,NP_609845.1,Astyanax_pachon,KAG9280595.1,KAG9280595.1,Drosophila_melanogaster,NP_609845.1,CG5131,2.55e-41,167.0,2.07e-41,167.0
1766,CG5151,NP_648844.1,,,,,,,,,,
1767,CG5157,NP_648843.1,,,,,,,,,,
1768,CG5162,NP_573202.1,,,,,,,,,,
1769,CG5171,NP_001188709.1,,,,,,,,,,
1770,CG5174,NP_725788.1,,,,,,,,,,
1771,CG5177,NP_609114.1,,,,,,,,,,
1772,CG5188,NP_609401.2,Astyanax_pachon,KAG9262567.1,METAP1D,Drosophila_melanogaster,NP_609401.2,CG5188,3.7e-75,280.0,2.24e-75,280.0
1773,CG5191,NP_650893.2,,,,,,,,,,
1774,CG5196,NP_650191.1,,,,,,,,,,
1775,CG5214,NP_650064.1,Astyanax_pachon,KAG9268799.1,DLST,Drosophila_melanogaster,NP_650064.1,CG5214,2.87e-110,397.0,1.99e-110,397.0
1776,CG5254,NP_569856.2,Astyanax_pachon,KAG9268516.1,SLC25A21,Drosophila_melanogaster,NP_569856.2,CG5254,1.74e-91,334.0,1.1999999999999999e-91,334.0
1777,CG5262,NP_649223.1,Astyanax_pachon,KAG9264325.1,TMEM104,Drosophila_melanogaster,NP_649223.1,CG5262,7.8e-111,399.0,5.4e-111,399.0
1778,CG5273,NP_569857.1,,,,,,,,,,
1779,CG5280,NP_648278.1,,,,,,,,,,
1780,CG5290,NP_649026.1,Astyanax_pachon,KAG9268385.1,TTC27,Drosophila_melanogaster,NP_649026.1,CG5290,1.8299999999999997e-55,216.0,1.04e-55,216.0
1781,CG5321,NP_572967.2,Astyanax_pachon,KAG9260847.1,BBOX1,Drosophila_melanogaster,NP_572967.2,CG5321,2.21e-71,268.0,1.19e-71,268.0
1782,CG5326,NP_651060.1,,,,,,,,,,
1783,CG5346,NP_651058.1,,,,,,,,,,
1784,CG5377,NP_651052.1,,,,,,,,,,
1785,CG5382,NP_732721.1,Astyanax_pachon,KAG9281903.1,ZFPL1,Drosophila_melanogaster,NP_732721.1,CG5382,4.04e-54,210.0,2.4899999999999997e-54,210.0
1786,CG5390,NP_609374.1,,,,,,,,,,
1787,CG5397,NP_608591.1,,,,,,,,,,
1788,CG5399,NP_650481.1,,,,,,,,,,
1789,CG5412,NP_650895.1,Astyanax_pachon,KAG9263734.1,OVCA2,Drosophila_melanogaster,NP_650895.1,CG5412,3.78e-26,117.0,2.3e-26,117.0
1790,CG5455,NP_651481.1,,,,,,,,,,
1791,CG5498,NP_730525.2,,,,,,,,,,
1792,CG5506,NP_649021.1,,,,,,,,,,
1793,CG5509,NP_650204.1,,,,,,,,,,
1794,CG5510,NP_651224.1,Astyanax_pachon,KAG9272513.1,LMAN2,Drosophila_melanogaster,NP_651224.1,CG5510,1.13e-79,295.0,7.08e-80,295.0
1795,CG5516,NP_650515.1,,,,,,,,,,
1796,CG5521,NP_001163748.1,Astyanax_pachon,KAG9268969.1,RALGAPA1,Drosophila_melanogaster,NP_001163748.1,CG5521,1.3e-223,776.0,6.77e-224,776.0
1797,CG5535,NP_649019.2,Astyanax_pachon,KAG9272613.1,SLC7A2,Drosophila_melanogaster,NP_649019.2,CG5535,3.98e-141,500.0,2.64e-141,500.0
1798,CG5535,NP_649019.2,Astyanax_pachon,KAG9281595.1,SLC7A2,Drosophila_melanogaster,NP_649019.2,CG5535,1.52e-140,498.0,1.06e-140,498.0
1799,CG5541,NP_996437.1,,,,,,,,,,
1800,CG5550,NP_001246376.1,,,,,,,,,,
1801,CG5567,NP_649015.2,Astyanax_pachon,KAG9267672.1,PGP,Drosophila_melanogaster,NP_649015.2,CG5567,1.72e-66,251.0,1.2500000000000002e-66,251.0
1802,CG5608,NP_650208.1,Astyanax_pachon,KAG9272117.1,KAG9272117.1,Drosophila_melanogaster,NP_650208.1,CG5608,5.1500000000000006e-163,573.0,3.05e-163,573.0
1803,CG5611,NP_651574.1,,,,,,,,,,
1804,CG5639,NP_651570.1,,,,,,,,,,
1805,CG5644,NP_648274.1,,,,,,,,,,
1806,CG5645,NP_648550.1,Astyanax_pachon,KAG9264332.1,KAG9264332.1,Drosophila_melanogaster,NP_648550.1,CG5645,2.9599999999999998e-89,328.0,2.14e-89,328.0
1807,CG5646,NP_651568.1,,,,,,,,,,
1808,CG5653,NP_648269.1,,,,,,,,,,
1809,CG5687,NP_647678.3,,,,,,,,,,
1810,CG5726,NP_611304.1,,,,,,,,,,
1811,CG5742,NP_001261069.1,Astyanax_pachon,KAG9267054.1,ANKRD13C-A,Drosophila_melanogaster,NP_001261069.1,CG5742,3.47e-135,480.0,2.5699999999999998e-135,480.0
1812,CG5742,NP_001261069.1,Astyanax_pachon,KAG9274605.1,ANKRD13C,Drosophila_melanogaster,NP_001261069.1,CG5742,1.7500000000000003e-132,471.0,1.32e-132,471.0
1813,CG5746,NP_001262912.1,,,,,,,,,,
1814,CG5756,NP_725747.1,,,,,,,,,,
1815,CG5757,NP_611290.3,Astyanax_pachon,KAG9277762.1,DTYMK,Drosophila_melanogaster,NP_611290.3,CG5757,4.62e-41,166.0,3.09e-41,166.0
1816,CG5773,NP_611281.1,,,,,,,,,,
1817,CG5776,NP_609585.1,,,,,,,,,,
1818,CG5793,NP_001247226.1,Astyanax_pachon,KAG9264307.1,FAHD1,Drosophila_melanogaster,NP_001247226.1,CG5793,3.06e-48,190.0,1.92e-48,190.0
1819,CG5800,NP_573230.1,Astyanax_pachon,KAG9265643.1,DDX10,Drosophila_melanogaster,NP_573230.1,CG5800,2.01e-152,538.0,1.2599999999999999e-152,538.0
1820,CG5819,NP_611660.1,,,,,,,,,,
1821,CG5828,NP_608907.1,,,,,,,,,,
1822,CG5835,NP_650785.1,,,,,,,,,,
1823,CG5846,NP_609333.1,Astyanax_pachon,KAG9281961.1,ANKRA2,Drosophila_melanogaster,NP_609333.1,CG5846,6.1e-18,89.7,3.19e-18,89.7
1824,CG5854,NP_651196.1,,,,,,,,,,
1825,CG5861,NP_609789.1,Astyanax_pachon,KAG9283679.1,TMEM147,Drosophila_melanogaster,NP_609789.1,CG5861,4.3500000000000005e-56,216.0,2.9500000000000004e-56,216.0
1826,CG5877,NP_573014.2,,,,,,,,,,
1827,CG5883,NP_648526.2,,,,,,,,,,
1828,CG5885,NP_609321.1,Astyanax_pachon,KAG9273373.1,SSR3,Drosophila_melanogaster,NP_609321.1,CG5885,7.16e-56,215.0,4.95e-56,215.0
1829,CG5886,NP_651435.1,Astyanax_pachon,KAG9279656.1,TXLNA,Drosophila_melanogaster,NP_651435.1,CG5886,2.44e-34,145.0,1.58e-34,145.0
1830,CG5888,NP_609794.1,,,,,,,,,,
1831,CG5890,NP_001356889.1,Astyanax_pachon,KAG9260126.1,KCNIP4,Drosophila_melanogaster,NP_001356889.1,CG5890,1.61e-51,201.0,9.769999999999999e-52,201.0
1832,CG5890,NP_001356889.1,Astyanax_pachon,KAG9263155.1,KCNIP1,Drosophila_melanogaster,NP_001356889.1,CG5890,5.45e-51,199.0,3.91e-51,199.0
1833,CG5897,NP_001356901.1,,,,,,,,,,
1834,CG5909,NP_651544.1,,,,,,,,,,
1835,CG5910,NP_649226.1,,,,,,,,,,
1836,CG5913,NP_651439.2,Astyanax_pachon,KAG9268382.1,FAM98A,Drosophila_melanogaster,NP_651439.2,CG5913,3.86e-39,161.0,2.1299999999999998e-39,161.0
1837,CG5921,NP_727061.2,,,,,,,,,,
1838,CG5937,NP_001096888.2,Astyanax_pachon,KAG9275036.1,ARFGEF3,Drosophila_melanogaster,NP_001096888.2,CG5937,5.929999999999999e-159,561.0,3.72e-159,561.0
1839,CG5953,NP_609796.1,,,,,,,,,,
1840,CG5966,NP_572286.1,Astyanax_pachon,KAG9275286.1,PNLIP,Drosophila_melanogaster,NP_572286.1,CG5966,3.5200000000000005e-58,224.0,2.75e-58,224.0
1841,CG5973,NP_609120.1,,,,,,,,,,
1842,CG6000,NP_651210.3,Astyanax_pachon,KAG9278365.1,TSTD3,Drosophila_melanogaster,NP_651210.3,CG6000,1.1e-23,108.0,6.5e-24,108.0
1843,CG6006,NP_001097812.1,,,,,,,,,,
1844,CG6012,NP_609817.1,,,,,,,,,,
1845,CG6023,NP_996503.2,,,,,,,,,,
1846,CG6026,NP_650778.2,,,,,,,,,,
1847,CG6034,NP_649005.1,,,,,,,,,,
1848,CG6040,NP_650781.2,,,,,,,,,,
1849,CG6041,NP_572281.1,,,,,,,,,,
1850,CG6048,NP_572282.1,,,,,,,,,,
1851,CG6051,NP_001287556.1,,,,,,,,,,
1852,CG6055,NP_609122.1,,,,,,,,,,
1853,CG6073,NP_651468.1,Astyanax_pachon,KAG9280115.1,KAG9280115.1,Drosophila_melanogaster,NP_651468.1,CG6073,1.72e-65,248.0,1.12e-65,248.0
1854,CG6094,NP_609416.1,Astyanax_pachon,KAG9267745.1,MRPL58,Drosophila_melanogaster,NP_609416.1,CG6094,3.1800000000000004e-21,100.0,2.19e-21,100.0
1855,CG6118,NP_650467.2,,,,,,,,,,
1856,CG6142,NP_651466.1,,,,,,,,,,
1857,CG6154,NP_733146.2,Astyanax_pachon,KAG9267068.1,DPEP1,Drosophila_melanogaster,NP_733146.2,CG6154,3.12e-95,347.0,2.0699999999999998e-95,347.0
1858,CG6163,NP_648460.1,,,,,,,,,,
1859,CG6168,NP_648459.1,,,,,,,,,,
1860,CG6180,NP_609588.1,,,,,,,,,,
1861,CG6184,NP_732444.2,,,,,,,,,,
1862,CG6191,NP_001260958.1,,,,,,,,,,
1863,CG6204,NP_651229.2,,,,,,,,,,
1864,CG6225,NP_001097759.1,,,,,,,,,,
1865,CG6231,NP_650819.1,,,,,,,,,,
1866,CG6277,NP_651525.1,,,,,,,,,,
1867,CG6280,NP_610898.1,,,,,,,,,,
1868,CG6283,NP_651524.1,,,,,,,,,,
1869,CG6287,NP_609496.1,,,,,,,,,,
1870,CG6295,NP_651521.1,,,,,,,,,,
1871,CG6296,NP_651520.1,,,,,,,,,,
1872,CG6310,NP_648429.2,,,,,,,,,,
1873,CG6321,NP_648426.1,,,,,,,,,,
1874,CG6324,NP_001285273.1,,,,,,,,,,
1875,CG6329,NP_610904.1,,,,,,,,,,
1876,CG6330,NP_651515.1,Astyanax_pachon,KAG9271673.1,UPP2,Drosophila_melanogaster,NP_651515.1,CG6330,1.49e-87,321.0,1.11e-87,321.0
1877,CG6340,NP_573034.1,,,,,,,,,,
1878,CG6345,NP_650002.1,Astyanax_pachon,KAG9260299.1,CDK5RAP1,Drosophila_melanogaster,NP_650002.1,CG6345,1.26e-158,558.0,8.469999999999999e-159,558.0
1879,CG6356,NP_651240.1,,,,,,,,,,
1880,CG6357,NP_610907.1,,,,,,,,,,
1881,CG6398,NP_573244.1,,,,,,,,,,
1882,CG6403,NP_651501.2,,,,,,,,,,
1883,CG6409,NP_648415.1,,,,,,,,,,
1884,CG6414,NP_570089.1,,,,,,,,,,
1885,CG6415,NP_609441.1,Astyanax_pachon,KAG9270920.1,AMT,Drosophila_melanogaster,NP_609441.1,CG6415,2.1700000000000001e-103,374.0,1.4400000000000002e-103,374.0
1886,CG6418,NP_648413.1,Astyanax_pachon,KAG9264172.1,DDX42,Drosophila_melanogaster,NP_648413.1,CG6418,2.78e-206,717.0,1.57e-206,717.0
1887,CG6420,NP_651499.2,Astyanax_pachon,KAG9265349.1,DMWD,Drosophila_melanogaster,NP_651499.2,CG6420,4.47e-101,367.0,4.14e-101,367.0
1888,CG6420,NP_651499.2,Astyanax_pachon,KAG9268215.1,WDR20,Drosophila_melanogaster,NP_651499.2,CG6420,1.0199999999999999e-104,379.0,1.01e-104,379.0
1889,CG6424,NP_725709.1,,,,,,,,,,
1890,CG6426,NP_611163.2,,,,,,,,,,
1891,CG6432,NP_651247.1,Astyanax_pachon,KAG9280488.1,ACSS3,Drosophila_melanogaster,NP_651247.1,CG6432,1.41e-171,601.0,1.11e-171,601.0
1892,CG6479,NP_001261981.1,Astyanax_pachon,KAG9280361.1,TMEM209,Drosophila_melanogaster,NP_001261981.1,CG6479,7.75e-39,160.0,5.03e-39,160.0
1893,CG6495,NP_609451.1,,,,,,,,,,
1894,CG6511,NP_648252.1,Astyanax_pachon,KAG9268627.1,EDRF1,Drosophila_melanogaster,NP_648252.1,CG6511,1.13e-151,536.0,7.379999999999999e-152,536.0
1895,CG6550,NP_611207.1,Astyanax_pachon,KAG9276333.1,CDKAL1,Drosophila_melanogaster,NP_611207.1,CG6550,1.01e-182,638.0,6.63e-183,638.0
1896,CG6565,NP_609644.1,Astyanax_pachon,KAG9263336.1,STARD7,Drosophila_melanogaster,NP_609644.1,CG6565,3.68e-34,144.0,2.6099999999999997e-34,144.0
1897,CG6567,NP_001097742.1,Astyanax_pachon,KAG9276392.1,LYPLAL1,Drosophila_melanogaster,NP_001097742.1,CG6567,9.9e-50,195.0,6.41e-50,195.0
1898,CG6574,NP_650029.1,Astyanax_pachon,KAG9272899.1,SLC19A3,Drosophila_melanogaster,NP_650029.1,CG6574,1.33e-66,252.0,8.41e-67,252.0
1899,CG6574,NP_650029.1,Astyanax_pachon,KAG9277916.1,SLC19A2,Drosophila_melanogaster,NP_650029.1,CG6574,2.19e-65,248.0,1.35e-65,248.0
1900,CG6607,NP_651266.1,,,,,,,,,,
1901,CG6621,NP_001189210.1,,,,,,,,,,
1902,CG6638,NP_648239.1,Astyanax_pachon,KAG9268118.1,IVD,Drosophila_melanogaster,NP_648239.1,CG6638,6.34e-145,512.0,4.29e-145,512.0
1903,CG6659,NP_573317.1,,,,,,,,,,
1904,CG6660,NP_651104.1,,,,,,,,,,
1905,CG6664,NP_648944.1,Astyanax_pachon,KAG9267295.1,CCDC6,Drosophila_melanogaster,NP_648944.1,CG6664,1.23e-41,169.0,9.739999999999999e-42,169.0
1906,CG6678,NP_650996.1,Astyanax_pachon,KAG9281070.1,RCCD1,Drosophila_melanogaster,NP_650996.1,CG6678,7.44e-28,123.0,4.81e-28,123.0
1907,CG6688,NP_651110.1,,,,,,,,,,
1908,CG6689,NP_650051.1,,,,,,,,,,
1909,CG6696,NP_573318.1,,,,,,,,,,
1910,CG6707,NP_648372.1,Astyanax_pachon,KAG9278115.1,TMEM55BA,Drosophila_melanogaster,NP_648372.1,CG6707,2.0999999999999998e-55,214.0,1.38e-55,214.0
1911,CG6707,NP_648372.1,Astyanax_pachon,KAG9279671.1,PIP4P2,Drosophila_melanogaster,NP_648372.1,CG6707,1.57e-57,221.0,1.0800000000000001e-57,221.0
1912,CG6712,NP_477479.1,Astyanax_pachon,KAG9266785.1,RPF1,Drosophila_melanogaster,NP_477479.1,CG6712,1.96e-69,261.0,1.46e-69,261.0
1913,CG6724,NP_001260363.1,Astyanax_pachon,KAG9277563.1,WDR12,Drosophila_melanogaster,NP_001260363.1,CG6724,6.41e-86,316.0,4.29e-86,316.0
1914,CG6726,NP_651120.1,Astyanax_pachon,KAG9260693.1,ACY1,Drosophila_melanogaster,NP_651120.1,CG6726,6.9300000000000006e-105,379.0,4.46e-105,379.0
1915,CG6749,NP_648354.1,,,,,,,,,,
1916,CG6753,NP_650219.2,,,,,,,,,,
1917,CG6765,NP_648233.1,,,,,,,,,,
1918,CG6769,NP_573252.1,Astyanax_pachon,KAG9273769.1,ZNF622,Drosophila_melanogaster,NP_573252.1,CG6769,6.06e-76,283.0,3.61e-76,283.0
1919,CG6770,NP_609539.1,,,,,,,,,,
1920,CG6785,NP_609538.2,,,,,,,,,,
1921,CG6793,NP_648541.1,,,,,,,,,,
1922,CG6834,NP_650104.2,,,,,,,,,,
1923,CG6839,NP_649076.1,,,,,,,,,,
1924,CG6847,NP_573259.2,,,,,,,,,,
1925,CG6865,NP_001246825.1,,,,,,,,,,
1926,CG6870,NP_609852.1,,,,,,,,,,
1927,CG6891,NP_573323.1,Astyanax_pachon,KAG9273048.1,COTL1,Drosophila_melanogaster,NP_573323.1,CG6891,5.19e-34,142.0,4.0099999999999995e-34,142.0
1928,CG6901,NP_650531.1,,,,,,,,,,
1929,CG6933,NP_649191.1,,,,,,,,,,
1930,CG6937,NP_651066.2,Astyanax_pachon,KAG9271134.1,NIFK,Drosophila_melanogaster,NP_651066.2,CG6937,3.4199999999999996e-23,107.0,3.0099999999999995e-23,107.0
1931,CG6938,NP_001261733.1,Astyanax_pachon,KAG9260888.1,ANO5,Drosophila_melanogaster,NP_001261733.1,CG6938,5.09e-184,643.0,4.68e-184,643.0
1932,CG6938,NP_001261733.1,Astyanax_pachon,KAG9281031.1,ANO5,Drosophila_melanogaster,NP_001261733.1,CG6938,1.42e-178,625.0,1.23e-178,625.0
1933,CG6959,NP_001138037.1,,,,,,,,,,
1934,CG6966,NP_001097796.1,Astyanax_pachon,KAG9270684.1,KAG9270684.1,Drosophila_melanogaster,NP_001097796.1,CG6966,8.17e-104,376.0,5.91e-104,376.0
1935,CG6966,NP_001097796.1,Astyanax_pachon,KAG9278232.1,KAG9278232.1,Drosophila_melanogaster,NP_001097796.1,CG6966,5.1100000000000004e-105,380.0,3.7e-105,380.0
1936,CG6983,NP_648227.1,Astyanax_pachon,KAG9274534.1,KAG9274534.1,Drosophila_melanogaster,NP_648227.1,CG6983,1.38e-12,71.2,9.1e-13,71.2
1937,CG7006,NP_651296.1,Astyanax_pachon,KAG9272964.1,KAG9272964.1,Drosophila_melanogaster,NP_651296.1,CG7006,6.6e-70,262.0,3.3300000000000005e-70,262.0
1938,CG7011,NP_648758.1,Astyanax_pachon,KAG9277950.1,ERGIC3,Drosophila_melanogaster,NP_648758.1,CG7011,1.39e-92,338.0,9.13e-93,338.0
1939,CG7017,NP_649190.1,,,,,,,,,,
1940,CG7024,NP_572182.1,,,,,,,,,,
1941,CG7029,NP_788719.1,,,,,,,,,,
1942,CG7049,NP_612003.1,Astyanax_pachon,KAG9277183.1,SUMF1,Drosophila_melanogaster,NP_612003.1,CG7049,3.63e-96,350.0,2.01e-96,350.0
1943,CG7058,NP_573327.2,,,,,,,,,,
1944,CG7059,NP_651034.2,,,,,,,,,,
1945,CG7065,NP_572529.2,,,,,,,,,,
1946,CG7080,NP_651019.1,,,,,,,,,,
1947,CG7084,NP_651016.1,,,,,,,,,,
1948,CG7091,NP_650243.2,,,,,,,,,,
1949,CG7101,NP_573329.2,,,,,,,,,,
1950,CG7110,NP_609652.3,,,,,,,,,,
1951,CG7115,NP_001260215.1,Astyanax_pachon,KAG9273703.1,PPM1L,Drosophila_melanogaster,NP_001260215.1,CG7115,2.1900000000000002e-57,221.0,1.92e-57,221.0
1952,CG7115,NP_001260215.1,Astyanax_pachon,KAG9278519.1,PPM1L,Drosophila_melanogaster,NP_001260215.1,CG7115,1.09e-57,222.0,9.58e-58,222.0
1953,CG7137,NP_611400.1,,,,,,,,,,
1954,CG7166,NP_649339.2,,,,,,,,,,
1955,CG7168,NP_650695.1,,,,,,,,,,
1956,CG7182,NP_648212.1,,,,,,,,,,
1957,CG7191,NP_609146.3,,,,,,,,,,
1958,CG7201,NP_648200.1,,,,,,,,,,
1959,CG7227,NP_609169.1,,,,,,,,,,
1960,CG7236,NP_001285635.1,Astyanax_pachon,KAG9275484.1,CDKL1,Drosophila_melanogaster,NP_001285635.1,CG7236,4.24e-116,416.0,3.4100000000000004e-116,416.0
1961,CG7236,NP_001285635.1,Astyanax_pachon,KAG9278553.1,CDKL1,Drosophila_melanogaster,NP_001285635.1,CG7236,1.38e-111,401.0,1.1199999999999999e-111,401.0
1962,CG7246,NP_572520.1,,,,,,,,,,
1963,CG7248,NP_648530.1,,,,,,,,,,
1964,CG7252,NP_648527.1,,,,,,,,,,
1965,CG7255,NP_001036608.1,,,,,,,,,,
1966,CG7298,NP_649187.3,,,,,,,,,,
1967,CG7320,NP_649034.3,,,,,,,,,,
1968,CG7322,NP_573333.2,Astyanax_pachon,KAG9267373.1,DCXR,Drosophila_melanogaster,NP_573333.2,CG7322,4.95e-50,196.0,3.3e-50,196.0
1969,CG7326,NP_573335.1,,,,,,,,,,
1970,CG7330,NP_649032.1,,,,,,,,,,
1971,CG7332,NP_573338.1,Astyanax_pachon,KAG9283627.1,MINDY3,Drosophila_melanogaster,NP_573338.1,CG7332,2.42e-106,384.0,1.95e-106,384.0
1972,CG7342,NP_650815.2,,,,,,,,,,
1973,CG7367,NP_001162906.1,,,,,,,,,,
1974,CG7368,NP_001036599.1,,,,,,,,,,
1975,CG7369,NP_649415.2,Astyanax_pachon,KAG9261703.1,RASGEF1BA,Drosophila_melanogaster,NP_649415.2,CG7369,2.14e-108,391.0,1.85e-108,391.0
1976,CG7378,NP_001285421.1,Astyanax_pachon,KAG9267533.1,DUPD1,Drosophila_melanogaster,NP_001285421.1,CG7378,1.28e-29,128.0,9.47e-30,128.0
1977,CG7378,NP_001285421.1,Astyanax_pachon,KAG9267535.1,KAG9267535.1,Drosophila_melanogaster,NP_001285421.1,CG7378,1e-28,125.0,7.57e-29,125.0
1978,CG7378,NP_001285421.1,Astyanax_pachon,KAG9267536.1,DUPD1,Drosophila_melanogaster,NP_001285421.1,CG7378,6.499999999999999e-30,129.0,4.73e-30,129.0
1979,CG7381,NP_001262514.1,,,,,,,,,,
1980,CG7409,NP_648155.1,,,,,,,,,,
1981,CG7420,NP_001259871.1,,,,,,,,,,
1982,CG7432,NP_650825.2,,,,,,,,,,
1983,CG7453,NP_573355.1,,,,,,,,,,
1984,CG7458,NP_649374.1,,,,,,,,,,
1985,CG7460,NP_649004.1,,,,,,,,,,
1986,CG7484,NP_649000.1,Astyanax_pachon,KAG9264739.1,SELENOF,Drosophila_melanogaster,NP_649000.1,CG7484,1.46e-25,114.0,1.17e-25,114.0
1987,CG7492,NP_648146.1,,,,,,,,,,
1988,CG7497,NP_648999.2,Astyanax_pachon,KAG9277351.1,PTGER1,Drosophila_melanogaster,NP_648999.2,CG7497,1.05e-06,52.8,7.2e-07,52.8
1989,CG7509,NP_647931.1,,,,,,,,,,
1990,CG7512,NP_001097585.3,,,,,,,,,,
1991,CG7518,NP_731761.3,,,,,,,,,,
1992,CG7530,NP_650387.1,Astyanax_pachon,KAG9261714.1,PAQR3,Drosophila_melanogaster,NP_650387.1,CG7530,7.73e-54,209.0,5.849999999999999e-54,209.0
1993,CG7530,NP_650387.1,Astyanax_pachon,KAG9263281.1,PAQR3,Drosophila_melanogaster,NP_650387.1,CG7530,9.819999999999999e-55,212.0,7.31e-55,212.0
1994,CG7546,NP_001261523.1,,,,,,,,,,
1995,CG7564,NP_648991.1,Astyanax_pachon,KAG9262689.1,LUC7L2,Drosophila_melanogaster,NP_648991.1,CG7564,4.26e-81,300.0,2.8299999999999998e-81,300.0
1996,CG7564,NP_648991.1,Astyanax_pachon,KAG9276810.1,LUC7L,Drosophila_melanogaster,NP_648991.1,CG7564,3.75e-84,310.0,2.76e-84,310.0
1997,CG7565,NP_648171.1,Astyanax_pachon,KAG9279859.1,KAG9279859.1,Drosophila_melanogaster,NP_648171.1,CG7565,6.41e-135,480.0,4.6899999999999996e-135,480.0
1998,CG7567,NP_651699.1,,,,,,,,,,
1999,CG7568,NP_001263071.1,,,,,,,,,,
2000,CG7611,NP_649326.1,Astyanax_pachon,KAG9276389.1,WDR26,Drosophila_melanogaster,NP_649326.1,CG7611,1.47e-174,611.0,1.0199999999999999e-174,611.0
2001,CG7611,NP_649326.1,Astyanax_pachon,KAG9282288.1,WDR26,Drosophila_melanogaster,NP_649326.1,CG7611,7.48e-172,602.0,5.2e-172,602.0
2002,CG7627,NP_001245943.1,Astyanax_pachon,KAG9277872.1,ABCC4,Drosophila_melanogaster,NP_001245943.1,CG7627,0.0,1052.0,0.0,1052.0
2003,CG7639,NP_995838.1,Astyanax_pachon,KAG9272371.1,KAG9272371.1,Drosophila_melanogaster,NP_995838.1,CG7639,8.66e-62,236.0,5.5e-62,236.0
2004,CG7639,NP_995838.1,Astyanax_pachon,KAG9280214.1,KAG9280214.1,Drosophila_melanogaster,NP_995838.1,CG7639,2.11e-65,248.0,1.34e-65,248.0
2005,CG7646,NP_649167.1,,,,,,,,,,
2006,CG7650,NP_648786.1,Astyanax_pachon,KAG9266049.1,PDCL,Drosophila_melanogaster,NP_648786.1,CG7650,4.6e-30,130.0,2.78e-30,130.0
2007,CG7656,NP_730059.1,Astyanax_pachon,KAG9266309.1,UBE2R2,Drosophila_melanogaster,NP_730059.1,CG7656,7.82e-83,305.0,6.67e-83,305.0
2008,CG7656,NP_730059.1,Astyanax_pachon,KAG9266858.1,CDC34,Drosophila_melanogaster,NP_730059.1,CG7656,1.2e-81,301.0,1.0699999999999999e-81,301.0
2009,CG7656,NP_730059.1,Astyanax_pachon,KAG9278108.1,CDC34,Drosophila_melanogaster,NP_730059.1,CG7656,1.17e-84,311.0,1.04e-84,311.0
2010,CG7685,NP_650724.1,,,,,,,,,,
2011,CG7692,NP_648972.2,,,,,,,,,,
2012,CG7694,NP_001138076.1,Astyanax_pachon,KAG9261471.1,RNF181,Drosophila_melanogaster,NP_001138076.1,CG7694,1.9599999999999997e-23,107.0,1.2399999999999999e-23,107.0
2013,CG7702,NP_650740.1,,,,,,,,,,
2014,CG7706,NP_650742.2,Astyanax_pachon,KAG9268862.1,SLC4A1AP,Drosophila_melanogaster,NP_650742.2,CG7706,1.11e-72,273.0,6.56e-73,273.0
