Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,Symbol
CG31915,NP_723087.1,KAG9263269.1,COLGALT2
CG31915,NP_723087.1,KAG9270071.1,COLGALT2
CG31915,NP_723087.1,KAG9273745.1,COLGALT2
CG31915,NP_723087.1,KAG9279008.1,COLGALT1
CG31937,NP_608616.2,KAG9274957.1,DHRS7
CG32066,NP_729619.1,KAG9273956.1,FAM49B
CG32066,NP_729619.1,KAG9282639.1,FAM49A
CG32066,NP_729619.1,KAG9283496.1,FAM49B
CG32069,NP_729654.1,KAG9263462.1,IER3IP1
CG32104,NP_648573.2,KAG9268121.1,RPAP1
CG32112,NP_001261779.1,KAG9263810.1,ABHD18
CG32137,NP_729935.1,KAG9269981.1,BICDL1
CG32147,NP_730035.1,KAG9278670.1,PGPEP1
CG3224,NP_572335.1,KAG9268403.1,ZNF593
CG3225,NP_608860.1,KAG9269884.1,DHX35
CG3226,NP_572332.1,KAG9273619.1,CACYBP
CG32276,NP_728830.1,KAG9271408.1,SERP2
CG32281,NP_728821.2,KAG9274950.1,TRMT5
CG32333,NP_001261246.1,KAG9260074.1,FAM135A
CG32344,NP_612028.4,KAG9281887.1,DDX54
CG32369,NP_729296.1,KAG9262404.1,LONRF2
CG32473,NP_731786.1,KAG9275173.1,ENPEP
CG32486,NP_647765.1,KAG9279838.1,CYHR1
CG32668,NP_727502.1,KAG9282497.1,ARMC2
CG32755,NP_727055.1,KAG9275927.1,TRY4
CG33096,NP_001356926.1,KAG9259387.1,ABHD17A
CG33096,NP_001356926.1,KAG9261509.1,ABHD17B
CG33096,NP_001356926.1,KAG9266534.1,ABHD17C
CG33096,NP_001356926.1,KAG9270143.1,ABHD17A
CG33096,NP_001356926.1,KAG9278107.1,ABHD17A
CG33158,NP_788515.1,KAG9266552.1,EFL1
CG33181,NP_001285022.1,KAG9260275.1,SLC41A1
CG33181,NP_001285022.1,KAG9269836.1,SLC41A1
CG33181,NP_001285022.1,KAG9280218.1,SLC41A2
CG33203,NP_001138119.2,KAG9264105.1,PAQR4
CG33203,NP_001138119.2,KAG9267266.1,PAQR4
CG33253,NP_001259699.1,KAG9263569.1,STOM
CG33253,NP_001259699.1,KAG9265009.1,STOM
CG33298,NP_995666.1,KAG9275167.1,ATP10D
CG33298,NP_995666.1,KAG9277226.1,ATP10A
CG33303,NP_001260335.1,KAG9260596.1,RPN1
CG3335,NP_648337.1,KAG9276991.1,RBM19
CG33459,NP_995855.2,KAG9266026.1,KAG9266026.1
CG3355,NP_608848.1,KAG9264123.1,PRSS27
CG3355,NP_608848.1,KAG9267409.1,PRSS8
CG33635,NP_001027215.1,KAG9278797.1,SFT2D3
CG3376,NP_001246491.1,KAG9263563.1,SMPD1
CG3402,NP_612045.1,KAG9266741.1,TAX1BP3
CG34039,NP_001034012.2,KAG9281020.1,COMMD4
CG34117,NP_001036690.1,KAG9279099.1,KAG9279099.1
CG34126,NP_001260066.1,KAG9280669.1,UHRF1BP1L
CG34132,NP_001036344.1,KAG9266928.1,TIMM13
CG34133,NP_001036772.2,KAG9282103.1,WDR44
CG34150,NP_001036756.2,KAG9263491.1,LYRM7
CG3430,NP_542438.1,KAG9275424.1,MCMBP
CG3434,NP_648320.1,KAG9283322.1,QTRT2
CG34348,NP_001096954.1,KAG9274049.1,TMEM68
CG34348,NP_001096954.1,KAG9278425.1,TMEM68
CG34367,NP_001097140.1,KAG9271106.1,SHOX
CG34367,NP_001097140.1,KAG9278537.1,SHOX2
CG34384,NP_001246969.1,KAG9271401.1,DGKH
CG34396,NP_001097392.1,KAG9268452.1,KCNK18
CG3529,NP_648315.1,KAG9267680.1,TOM1L2
CG3552,NP_001137926.1,KAG9281094.1,GDPGP1
CG3587,NP_569965.1,KAG9273295.1,KAG9273295.1
CG3631,NP_731951.2,KAG9282721.1,FAM20B
CG3634,NP_649260.1,KAG9273574.1,KAG9273574.1
CG3634,NP_649260.1,KAG9277029.1,ST7L
CG3663,NP_611952.1,KAG9263553.1,ISOC1
CG3703,NP_569874.1,KAG9264080.1,RUNDC1
CG3735,NP_611851.1,KAG9274943.1,KAG9274943.1
CG3744,NP_996292.2,KAG9270317.1,DPP9
CG3792,NP_608889.1,KAG9274247.1,MPDU1
CG3808,NP_649083.2,KAG9262047.1,KAG9262047.1
CG3860,NP_611865.1,KAG9269446.1,OSBPL2
CG3860,NP_611865.1,KAG9269698.1,OSBPL1A
CG3894,NP_611963.5,KAG9267676.1,NEURL2
CG3902,NP_649069.2,KAG9267510.1,ACADSB
CG3961,NP_730369.1,KAG9259686.1,ACSL1
CG3961,NP_730369.1,KAG9266207.1,ACSL6
CG3961,NP_730369.1,KAG9267886.1,ACSL5
CG3961,NP_730369.1,KAG9281245.1,ACSL1
CG40045,NP_001036640.1,KAG9266332.1,UBE2G1
CG40045,NP_001036640.1,KAG9281743.1,UBE2G1
CG4025,NP_569979.1,KAG9260746.1,DRAM2
CG4025,NP_569979.1,KAG9270153.1,DRAM2
CG4042,NP_649250.2,KAG9278577.1,DMAC2
CG40485,NP_001036313.1,KAG9281696.1,DHRS11
CG4069,NP_648590.1,KAG9272044.1,KLHDC4
CG4199,NP_569976.1,KAG9261992.1,AIFM3
CG4199,NP_569976.1,KAG9265198.1,AIFM3
CG4199,NP_569976.1,KAG9265761.1,AIFM3
CG42269,NP_648019.2,KAG9268275.1,SLC22A7
CG42271,NP_996434.2,KAG9277660.1,INPP4A
CG4238,NP_001097053.2,KAG9268807.1,AREL1
CG4239,NP_573122.1,KAG9266765.1,TMEM38A
CG42540,NP_652337.2,KAG9263569.1,STOM
CG42540,NP_652337.2,KAG9266290.1,STOM
CG42673,NP_001189078.1,KAG9281946.1,NOS1AP
CG42724,NP_001189184.1,KAG9265477.1,TCERG1
CG42724,NP_001189184.1,KAG9272545.1,TCERG1
CG4293,NP_001259099.1,KAG9272396.1,ERGIC2
CG4301,NP_001245712.1,KAG9266912.1,ATP11B
CG4306,NP_649038.1,KAG9283931.1,GGCT
CG43066,NP_001246408.1,KAG9260780.1,SLC6A17
CG43066,NP_001246408.1,KAG9264865.1,SLC6A15
CG43066,NP_001246408.1,KAG9264881.1,SLC6A15
CG43066,NP_001246408.1,KAG9270770.1,SLC6A17
CG43066,NP_001246408.1,KAG9273120.1,SLC6A15
CG43066,NP_001246408.1,KAG9276096.1,SLC6A19
CG43066,NP_001246408.1,KAG9276098.1,SLC6A19
CG43066,NP_001246408.1,KAG9276121.1,SLC6A15
CG43066,NP_001246408.1,KAG9276136.1,SLC6A15
CG43066,NP_001246408.1,KAG9281483.1,SLC6A18
CG43066,NP_001246408.1,KAG9281485.1,SLC6A19
CG43163,NP_001246673.1,KAG9262977.1,TTC28
CG4328,NP_648567.2,KAG9270285.1,LMX1B
CG4328,NP_648567.2,KAG9281918.1,LMX1B
CG4338,NP_650441.1,KAG9276208.1,KAG9276208.1
CG4390,NP_732486.2,KAG9270953.1,ESD
CG4461,NP_648304.1,KAG9264938.1,CRYAB
CG4502,NP_609103.1,KAG9279640.1,UBE2QL1
CG4572,NP_650836.1,KAG9276687.1,CPVL
CG4598,NP_609322.1,KAG9263863.1,ECI1
CG4610,NP_611677.1,KAG9267274.1,KAG9267274.1
CG4627,NP_610846.2,KAG9261314.1,TMEM186
CG4629,NP_722676.3,KAG9266737.1,NIM1K
CG4646,NP_610848.1,KAG9273692.1,KAG9273692.1
CG4752,NP_611675.2,KAG9267554.1,OPLAH
CG4766,NP_572287.1,KAG9259945.1,MAB21L2
CG4766,NP_572287.1,KAG9264626.1,MAB21L1
CG4768,NP_573164.2,KAG9262278.1,KAG9262278.1
CG4789,NP_573166.1,KAG9271049.1,RABL3
CG4806,NP_611955.2,KAG9273032.1,RBM28
CG4866,NP_611224.1,KAG9273668.1,IMP3
CG4896,NP_608583.5,KAG9276896.1,RBM5
CG4914,NP_648711.1,KAG9262335.1,F7
CG4928,NP_573179.1,KAG9283040.1,KAG9283040.1
CG4942,NP_648286.1,KAG9263799.1,COX18
CG4945,NP_725590.1,KAG9264344.1,SBK1
CG4945,NP_725590.1,KAG9267766.1,SBK1
CG4968,NP_609375.1,KAG9265741.1,OTUB1
CG4968,NP_609375.1,KAG9274301.1,OTUB1
CG5001,NP_001245832.1,KAG9261676.1,KAG9261676.1
CG5001,NP_001245832.1,KAG9262717.1,KAG9262717.1
CG5001,NP_001245832.1,KAG9273711.1,KAG9273711.1
CG5001,NP_001245832.1,KAG9279037.1,KAG9279037.1
CG5013,NP_650520.1,KAG9263956.1,METTL23
CG5033,NP_611270.1,KAG9280116.1,BOP1
CG5065,NP_611143.1,KAG9271977.1,FAR1
CG5065,NP_611143.1,KAG9280497.1,FAR1
CG5087,NP_648279.1,KAG9261553.1,UBE3B
CG5114,NP_001246760.1,KAG9277893.1,AAMP
CG5131,NP_609845.1,KAG9280595.1,KAG9280595.1
CG5188,NP_609401.2,KAG9262567.1,METAP1D
CG5214,NP_650064.1,KAG9268799.1,DLST
CG5254,NP_569856.2,KAG9268516.1,SLC25A21
CG5262,NP_649223.1,KAG9264325.1,TMEM104
CG5290,NP_649026.1,KAG9268385.1,TTC27
CG5321,NP_572967.2,KAG9260847.1,BBOX1
CG5382,NP_732721.1,KAG9281903.1,ZFPL1
CG5412,NP_650895.1,KAG9263734.1,OVCA2
CG5510,NP_651224.1,KAG9272513.1,LMAN2
CG5521,NP_001163748.1,KAG9268969.1,RALGAPA1
CG5535,NP_649019.2,KAG9272613.1,SLC7A2
CG5535,NP_649019.2,KAG9281595.1,SLC7A2
CG5567,NP_649015.2,KAG9267672.1,PGP
CG5608,NP_650208.1,KAG9272117.1,KAG9272117.1
CG5645,NP_648550.1,KAG9264332.1,KAG9264332.1
CG5742,NP_001261069.1,KAG9267054.1,ANKRD13C-A
CG5742,NP_001261069.1,KAG9274605.1,ANKRD13C
CG5757,NP_611290.3,KAG9277762.1,DTYMK
CG5793,NP_001247226.1,KAG9264307.1,FAHD1
CG5800,NP_573230.1,KAG9265643.1,DDX10
CG5846,NP_609333.1,KAG9281961.1,ANKRA2
CG5861,NP_609789.1,KAG9283679.1,TMEM147
CG5885,NP_609321.1,KAG9273373.1,SSR3
CG5886,NP_651435.1,KAG9279656.1,TXLNA
CG5890,NP_001356889.1,KAG9260126.1,KCNIP4
CG5890,NP_001356889.1,KAG9263155.1,KCNIP1
CG5913,NP_651439.2,KAG9268382.1,FAM98A
CG5937,NP_001096888.2,KAG9275036.1,ARFGEF3
CG5966,NP_572286.1,KAG9275286.1,PNLIP
CG6000,NP_651210.3,KAG9278365.1,TSTD3
CG6073,NP_651468.1,KAG9280115.1,KAG9280115.1
CG6094,NP_609416.1,KAG9267745.1,MRPL58
CG6154,NP_733146.2,KAG9267068.1,DPEP1
CG6330,NP_651515.1,KAG9271673.1,UPP2
CG6345,NP_650002.1,KAG9260299.1,CDK5RAP1
CG6415,NP_609441.1,KAG9270920.1,AMT
CG6418,NP_648413.1,KAG9264172.1,DDX42
CG6420,NP_651499.2,KAG9265349.1,DMWD
CG6420,NP_651499.2,KAG9268215.1,WDR20
CG6432,NP_651247.1,KAG9280488.1,ACSS3
CG6479,NP_001261981.1,KAG9280361.1,TMEM209
CG6511,NP_648252.1,KAG9268627.1,EDRF1
CG6550,NP_611207.1,KAG9276333.1,CDKAL1
CG6565,NP_609644.1,KAG9263336.1,STARD7
CG6567,NP_001097742.1,KAG9276392.1,LYPLAL1
CG6574,NP_650029.1,KAG9272899.1,SLC19A3
CG6574,NP_650029.1,KAG9277916.1,SLC19A2
CG6638,NP_648239.1,KAG9268118.1,IVD
CG6664,NP_648944.1,KAG9267295.1,CCDC6
CG6678,NP_650996.1,KAG9281070.1,RCCD1
CG6707,NP_648372.1,KAG9278115.1,TMEM55BA
CG6707,NP_648372.1,KAG9279671.1,PIP4P2
CG6712,NP_477479.1,KAG9266785.1,RPF1
CG6724,NP_001260363.1,KAG9277563.1,WDR12
CG6726,NP_651120.1,KAG9260693.1,ACY1
CG6769,NP_573252.1,KAG9273769.1,ZNF622
CG6891,NP_573323.1,KAG9273048.1,COTL1
CG6937,NP_651066.2,KAG9271134.1,NIFK
CG6938,NP_001261733.1,KAG9260888.1,ANO5
CG6938,NP_001261733.1,KAG9281031.1,ANO5
CG6966,NP_001097796.1,KAG9270684.1,KAG9270684.1
CG6966,NP_001097796.1,KAG9278232.1,KAG9278232.1
CG6983,NP_648227.1,KAG9274534.1,KAG9274534.1
CG7006,NP_651296.1,KAG9272964.1,KAG9272964.1
CG7011,NP_648758.1,KAG9277950.1,ERGIC3
CG7049,NP_612003.1,KAG9277183.1,SUMF1
CG7115,NP_001260215.1,KAG9273703.1,PPM1L
CG7115,NP_001260215.1,KAG9278519.1,PPM1L
CG7236,NP_001285635.1,KAG9275484.1,CDKL1
CG7236,NP_001285635.1,KAG9278553.1,CDKL1
CG7322,NP_573333.2,KAG9267373.1,DCXR
CG7332,NP_573338.1,KAG9283627.1,MINDY3
CG7369,NP_649415.2,KAG9261703.1,RASGEF1BA
CG7378,NP_001285421.1,KAG9267533.1,DUPD1
CG7378,NP_001285421.1,KAG9267535.1,KAG9267535.1
CG7378,NP_001285421.1,KAG9267536.1,DUPD1
CG7484,NP_649000.1,KAG9264739.1,SELENOF
CG7497,NP_648999.2,KAG9277351.1,PTGER1
CG7530,NP_650387.1,KAG9261714.1,PAQR3
CG7530,NP_650387.1,KAG9263281.1,PAQR3
CG7564,NP_648991.1,KAG9262689.1,LUC7L2
CG7564,NP_648991.1,KAG9276810.1,LUC7L
CG7565,NP_648171.1,KAG9279859.1,KAG9279859.1
CG7611,NP_649326.1,KAG9276389.1,WDR26
CG7611,NP_649326.1,KAG9282288.1,WDR26
CG7627,NP_001245943.1,KAG9277872.1,ABCC4
CG7639,NP_995838.1,KAG9272371.1,KAG9272371.1
CG7639,NP_995838.1,KAG9280214.1,KAG9280214.1
CG7650,NP_648786.1,KAG9266049.1,PDCL
CG7656,NP_730059.1,KAG9266309.1,UBE2R2
CG7656,NP_730059.1,KAG9266858.1,CDC34
CG7656,NP_730059.1,KAG9278108.1,CDC34
CG7694,NP_001138076.1,KAG9261471.1,RNF181
CG7706,NP_650742.2,KAG9268862.1,SLC4A1AP
CG7724,NP_648957.1,KAG9264121.1,HSD3B7
CG7728,NP_648945.1,KAG9267859.1,KAG9267859.1
CG7766,NP_001285036.1,KAG9265701.1,PHKA1
CG7766,NP_001285036.1,KAG9266453.1,PHKA2
CG7766,NP_001285036.1,KAG9274305.1,PHKA1
CG7857,NP_648769.2,KAG9279688.1,OTUD6B
CG7945,NP_648773.1,KAG9275054.1,BAG2
CG7974,NP_647643.1,KAG9281780.1,KAG9281780.1
CG7985,NP_650689.1,KAG9264312.1,HEXD
CG7985,NP_650689.1,KAG9267936.1,HEXD
CG8004,NP_649161.1,KAG9277594.1,MTX2
CG8026,NP_724769.2,KAG9279538.1,SLC25A32
CG8026,NP_724769.2,KAG9283731.1,SLC25A32
CG8031,NP_650252.1,KAG9259858.1,MEMO1
CG8036,NP_649812.2,KAG9269605.1,TKT
CG8042,NP_648165.1,KAG9271237.1,UBXN4
CG8064,NP_650705.1,KAG9271365.1,WDR3
CG8067,NP_610922.1,KAG9262638.1,NDUFAF5
CG8112,NP_731269.2,KAG9270147.1,SOAT1
CG8173,NP_573239.1,KAG9283079.1,PBK
CG8188,NP_573237.2,KAG9276033.1,UBE2S
CG8202,NP_649826.3,KAG9267584.1,KAG9267584.1
CG8204,NP_611050.1,KAG9281701.1,ZNHIT3
CG8230,NP_610431.1,KAG9266356.1,DYM
CG8314,NP_611070.1,KAG9276372.1,ZDHHC3
CG8314,NP_611070.1,KAG9281377.1,ZDHHC3
CG8379,NP_996185.1,KAG9266439.1,KAG9266439.1
CG8483,NP_650264.1,KAG9283246.1,PI15A
CG8500,NP_649948.1,KAG9263498.1,DIRAS2
CG8500,NP_649948.1,KAG9266727.1,DIRAS1
CG8607,NP_648100.2,KAG9261198.1,KAG9261198.1
CG8611,NP_573214.1,KAG9261923.1,DDX31
CG8635,NP_610401.1,KAG9271798.1,ZC3H15
CG8641,NP_648073.1,KAG9264566.1,RASD1
CG8641,NP_648073.1,KAG9267345.1,RASD1
CG8668,NP_609184.1,KAG9261951.1,B3GALT2
CG8675,NP_573209.1,KAG9261508.1,KAG9261508.1
CG8726,NP_610341.2,KAG9260333.1,PXK
CG8745,NP_648665.1,KAG9274206.1,ETNPPL
CG8773,NP_650273.2,KAG9275173.1,ENPEP
CG8778,NP_610805.1,KAG9263496.1,AUH
CG8833,NP_648669.1,KAG9260953.1,GPATCH1
CG8858,NP_610746.1,KAG9260060.1,KAG9260060.1
CG8888,NP_610724.1,KAG9276751.1,BDH1
CG8892,NP_608891.1,KAG9278864.1,UBXN7
CG8939,NP_573099.1,KAG9266963.1,FTSJ3
CG9004,NP_647717.1,KAG9274699.1,NOM1
CG9067,NP_610662.1,KAG9261255.1,TRAPPC2L
CG9098,NP_608979.2,KAG9261823.1,SH2D3C
CG9098,NP_608979.2,KAG9263271.1,SH2D3C
CG9109,NP_608982.2,KAG9263697.1,B3GLCT
CG9119,NP_612081.1,KAG9282073.1,KAG9282073.1
CG9132,NP_996490.1,KAG9260710.1,NECAP2
CG9132,NP_996490.1,KAG9276013.1,NECAP1
CG9135,NP_608985.1,KAG9269644.1,RCC2
CG9270,NP_995741.2,KAG9277872.1,ABCC4
CG9281,NP_573057.1,KAG9273950.1,ABCF2
CG9281,NP_573057.1,KAG9274082.1,ABCF2
CG9286,NP_650317.3,KAG9267466.1,BCCIP
CG9302,NP_609645.2,KAG9271141.1,PDIA5
CG9313,NP_001286657.1,KAG9266297.1,KAG9266297.1
CG9386,NP_649904.2,KAG9274202.1,TRMT44
CG9391,NP_649294.1,KAG9276707.1,IMPA2
CG9391,NP_649294.1,KAG9278439.1,IMPA1
CG9391,NP_649294.1,KAG9283529.1,IMPA1
CG9416,NP_611415.2,KAG9266133.1,ERMP1
CG9467,NP_001369000.1,KAG9268333.1,KCTD3
CG9485,NP_726062.2,KAG9264788.1,AGL
CG9485,NP_726062.2,KAG9276162.1,AGL
CG9514,NP_572981.1,KAG9270210.1,CHDH
CG9586,NP_609277.1,KAG9264184.1,CCDC43
CG9590,NP_650488.1,KAG9259742.1,FAM114A1
CG9630,NP_649777.1,KAG9262972.1,DDX55
CG9636,NP_649774.1,KAG9275364.1,CUEDC2
CG9643,NP_608733.1,KAG9268134.1,EEF1AKMT2
CG9737,NP_651783.1,KAG9267066.1,HP
CG9784,NP_001259623.1,KAG9261371.1,INPP5J
CG9784,NP_001259623.1,KAG9263577.1,INPP5J
CG9799,NP_650284.2,KAG9281839.1,WDR36
CG9855,NP_649463.2,KAG9263421.1,MARCHF5
CG9855,NP_649463.2,KAG9275515.1,MARCHF5
CG9886,NP_608684.1,KAG9276882.1,GLYCTK
CG9921,NP_001259608.1,KAG9263815.1,HIGD2A
CG9922,NP_650329.1,KAG9260802.1,HYPK
CG9967,NP_608669.1,KAG9260359.1,MKRN2OS
CHB,NP_524651.2,KAG9267036.1,CLASP1B
CHB,NP_524651.2,KAG9271133.1,CLASP1
CHC,NP_001096993.1,KAG9263240.1,CLTC
CHC,NP_001096993.1,KAG9265367.1,CLTC
CHD1,NP_001259975.1,KAG9263508.1,CHD1
CHD1,NP_001259975.1,KAG9273268.1,CHD2
CHD64,NP_647860.1,KAG9264686.1,CNN3
CHD64,NP_647860.1,KAG9276510.1,CNN3
CHD64,NP_647860.1,KAG9282140.1,TAGLN3
CHER,NP_001262657.2,KAG9260208.1,FLNB
CHER,NP_001262657.2,KAG9269594.1,FLNA
CHER,NP_001262657.2,KAG9272082.1,FLNC
CHER,NP_001262657.2,KAG9280251.1,FLNC
CHI,NP_726403.2,KAG9267009.1,LDB1
CHI,NP_726403.2,KAG9272238.1,LDB2
CHI,NP_726403.2,KAG9275381.1,LDB1
CHM,NP_609117.4,KAG9264033.1,KAT7
CHM,NP_609117.4,KAG9267321.1,KAT7
CHMP1,NP_649051.3,KAG9271917.1,CHMP1B
CHOP24,NP_572165.1,KAG9261406.1,TMED2
CHOP24,NP_572165.1,KAG9262973.1,TMED2
CIP4,NP_001261412.1,KAG9269995.1,FNBP1
CIP4,NP_001261412.1,KAG9270846.1,FNBP1L
CIRL,NP_610397.4,KAG9274601.1,ADGRL2
CK,NP_523571.1,KAG9265586.1,MYO7A
CK,NP_523571.1,KAG9272854.1,MYO7A
CKA,NP_001245936.1,KAG9268201.1,STRN3
CKIALPHA,NP_511140.1,KAG9272771.1,CSNK1A1
CKIIBETA,NP_996415.1,KAG9279620.1,CSNK2B
CKS85A,NP_649817.1,KAG9279369.1,CKS1B
CL,NP_608930.1,KAG9265246.1,TXNDC17
CLBN,NP_001163721.1,KAG9268213.1,NEMF
CLC,NP_524178.2,KAG9263816.1,CLTB
CLC-A,NP_001097751.2,KAG9265317.1,CLCN2
CLC-A,NP_001097751.2,KAG9278860.1,CLCN2
CLC-C,NP_730105.3,KAG9265699.1,CLCN5
CLC-C,NP_730105.3,KAG9267034.1,CLCN4
CLC-C,NP_730105.3,KAG9274493.1,CLCN5
CLC-C,NP_730105.3,KAG9274556.1,CLCN3
CLIC,NP_572928.1,KAG9266225.1,CLIC4
CLIC,NP_572928.1,KAG9268728.1,CLIC5
CLIC,NP_572928.1,KAG9272711.1,CLIC2
CLU,NP_611095.1,KAG9265195.1,KAG9265195.1
CNI,NP_477068.1,KAG9274984.1,KAG9274984.1
CNK,NP_725671.1,KAG9268598.1,KAG9268598.1
CNX99A,NP_001036767.1,KAG9275661.1,CANX
CONT,NP_649461.2,KAG9269470.1,CNTN3
CONT,NP_649461.2,KAG9276863.1,CNTN3
COPROX,NP_524777.1,KAG9270134.1,CPOX
CORA,NP_725864.1,KAG9279307.1,EPB41
CORO,NP_610242.1,KAG9264104.1,CORO1CA
CORO,NP_610242.1,KAG9281819.1,CORO1CA
CPA,NP_611539.1,KAG9270835.1,CAPZA2
CPA,NP_611539.1,KAG9277030.1,CAPZA1
CPB,NP_477005.1,KAG9260723.1,CAPZB
CPR,NP_477158.1,KAG9278546.1,POR
CPSF100,NP_651658.1,KAG9283124.1,CPSF2
CRAG,NP_525080.3,KAG9273183.1,DENND4A
CREG,NP_524385.2,KAG9262338.1,CREG1
CRK,NP_651908.1,KAG9265181.1,CRK
CRK,NP_651908.1,KAG9265500.1,CRKL
CRK,NP_651908.1,KAG9281676.1,CRK
CSK,NP_650097.2,KAG9272399.1,CSK
CSK,NP_650097.2,KAG9273426.1,CSK
CSL4,NP_609492.1,KAG9262669.1,EXOSC1
CSN4,NP_477444.1,KAG9263426.1,COPS4
CSN5,NP_477442.1,KAG9283389.1,COPS5
CSUL,NP_477184.1,KAG9273808.1,PRMT5
CSW,NP_477130.1,KAG9262974.1,PTPN11
CTBP,NP_001014617.1,KAG9272194.1,CTBP1
CTBP,NP_001014617.1,KAG9272202.1,CTBP1
CU,NP_731540.2,KAG9272268.1,NOCT
CUTLET,NP_787969.1,KAG9262263.1,KAG9262263.1
CV,NP_536786.1,KAG9276246.1,KAG9276246.1
CV,NP_536786.1,KAG9278617.1,KAG9278617.1
CV-2,NP_524809.2,KAG9278483.1,BMPER
CYC,NP_524168.2,KAG9267126.1,ARNTL
CYC,NP_524168.2,KAG9272122.1,ARNTL
CYCA,NP_001246724.1,KAG9263707.1,CCNA1
CYCA,NP_001246724.1,KAG9272231.1,CCNA2
CYCB,NP_726245.2,KAG9261285.1,CCNB2
CYCB,NP_726245.2,KAG9281858.1,CCNB1
CYCH,NP_524207.1,KAG9261783.1,CCNH
CYCY,NP_609519.1,KAG9271193.1,CCNYL1
CYCY,NP_609519.1,KAG9276741.1,CCNY
CYP1,NP_523366.2,KAG9267490.1,PPIF
CYP1,NP_523366.2,KAG9270516.1,KAG9270516.1
CYP12B2,NP_611370.2,KAG9276948.1,CYP24A1
CYP12C1,NP_649052.1,KAG9276948.1,CYP24A1
CYP18A1,NP_728191.1,KAG9269222.1,CYP2J6
CYP18A1,NP_728191.1,KAG9275628.1,CYP2U1
CYP18A1,NP_728191.1,KAG9282737.1,CYP2J6
CYP6A13,NP_610390.1,KAG9262887.1,CYP3A30
CYP6A13,NP_610390.1,KAG9262889.1,CYP3A56
CYP6D4,NP_651082.1,KAG9262887.1,CYP3A30
CYP6D5,NP_650327.1,KAG9262887.1,CYP3A30
CYP6G1,NP_610743.2,KAG9262887.1,CYP3A30
CYP6G1,NP_610743.2,KAG9262889.1,CYP3A56
CYP9B1,NP_523645.1,KAG9279954.1,CYP3A40
CYP9F2,NP_650189.1,KAG9262887.1,CYP3A30
CYP9F2,NP_650189.1,KAG9262889.1,CYP3A56
CYPE,NP_536787.1,KAG9259417.1,KAG9259417.1
CYPE,NP_536787.1,KAG9277690.1,KAG9277690.1
CYPL,NP_523874.1,KAG9277157.1,PPIL1
CYT-B5,NP_610294.1,KAG9267150.1,CYB5A
CYT-C-P,NP_477176.1,KAG9277596.1,CYC
D4,NP_610163.1,KAG9282997.1,DPF3
DA,NP_001356956.1,KAG9266117.1,TCF4
DAAM,NP_001188522.1,KAG9268869.1,DAAM2
DAAM,NP_001188522.1,KAG9268952.1,DAAM1
DAAM,NP_001188522.1,KAG9282802.1,DAAM1
DAD,NP_001369021.1,KAG9266355.1,KAG9266355.1
DAD,NP_001369021.1,KAG9273191.1,KAG9273191.1
DALLY,NP_523983.1,KAG9266577.1,GPC5
DAT,NP_001261026.1,KAG9260911.1,SLC6A2
DAT,NP_001261026.1,KAG9276339.1,SLC6A3
DAW,NP_523461.1,KAG9276985.1,INHBB
DBE,NP_477240.1,KAG9280504.1,KAG9280504.1
DBP73D,NP_476833.1,KAG9270384.1,DDX51
DCO,NP_001356928.1,KAG9263998.1,CSNK1D
DCO,NP_001356928.1,KAG9267643.1,CSNK1E
DCO,NP_001356928.1,KAG9267958.1,CSNK1DB
DCO,NP_001356928.1,KAG9279147.1,CSNK1E
DCX-EMAP,NP_001261850.1,KAG9265101.1,EML1
DDC,NP_724163.1,KAG9276164.1,DDC
DDR,NP_001285666.1,KAG9261577.1,DDR2
DDR,NP_001285666.1,KAG9275840.1,DDR1
DDR,NP_001285666.1,KAG9277271.1,DDR2
DDX1,NP_524212.2,KAG9282485.1,DDX1
DEAF1,NP_524169.1,KAG9280779.1,KAG9280779.1
DEBCL,NP_788278.1,KAG9277764.1,BOKA
DELTACOP,NP_001162642.1,KAG9265416.1,ARCN1
DELTACOP,NP_001162642.1,KAG9281758.1,ARCN1
DER-1,NP_608632.1,KAG9275948.1,DERL1
DER-2,NP_650553.1,KAG9282025.1,DERL2
DESAT1,NP_652731.1,KAG9263483.1,SCD5
DESAT1,NP_652731.1,KAG9275361.1,KAG9275361.1
DGK,NP_001260792.1,KAG9271425.1,DGKB
DH44-R1,NP_610960.1,KAG9264485.1,CRHR1
DH44-R1,NP_610960.1,KAG9274724.1,CRHR2
DH44-R1,NP_610960.1,KAG9276213.1,CRHR1
DHC36C,NP_001369131.1,KAG9271272.1,DNAH7
DHC98D,NP_524541.3,KAG9262045.1,DNAH10
DHPR,NP_523990.1,KAG9259920.1,QDPR
DIA,NP_001246113.1,KAG9266470.1,KAG9266470.1
DIDUM,NP_724569.1,KAG9265592.1,MYO5B
DIDUM,NP_724569.1,KAG9273462.1,MYO5A
DIDUM,NP_724569.1,KAG9280787.1,MYO5A
DIF,NP_523589.2,KAG9259909.1,KAG9259909.1
DIP2,NP_001246530.1,KAG9271805.1,KAG9271805.1
DIP2,NP_001246530.1,KAG9278263.1,KAG9278263.1
DIP2,NP_001246530.1,KAG9283465.1,KAG9283465.1
DIP-B,NP_650318.1,KAG9270480.1,LAP-2
DIP-C,NP_650192.1,KAG9273434.1,PEPD
DIS3,NP_651246.2,KAG9262566.1,DIS3
