# Pachon.faa,a,Ast.faa,b ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
KAG9263870.1,PITPNC1,XP_049323882.1,LOC103031366,8.66E-132,469,2.33E-132,469
KAG9263871.1,SEPTIN9,XP_022531546.1,SEPTIN12,0.00E+00,1557,0.00E+00,1557
KAG9263872.1,FBXL16,XP_022531541.1,FBXL16,1.32E-184,645,4.54E-185,645
KAG9263873.1,GSG1L,XP_007260813.1,GSG1L,5.92E-177,619,1.97E-177,619
KAG9263874.1,KAG9263874.1,XP_049323626.1,SI:CH211-76L23.4,4.02E-79,293,1.33E-79,293
KAG9263875.1,TTC30A,XP_022531514.2,FLR,0.00E+00,1286,0.00E+00,1286
KAG9263876.1,KAG9263876.1,XP_022531518.2,C19H16ORF89,2.97E-201,700,9.85E-202,700
KAG9263877.1,ALG1,XP_022531499.2,ALG1,5.05E-283,972,1.68E-283,972
KAG9263878.1,EEF2KMT,XP_007260811.1,EEF2KMT,2.86E-186,650,9.51E-187,650
KAG9263879.1,KAG9263879.1,XP_007260810.3,LOC103029886,3.55E-75,280,9.45E-76,280
KAG9263880.1,CACNA1I,XP_022531496.1,LOC111193779,2.47E-51,200,8.19E-52,200
KAG9263881.1,CACNA1I,XP_022531492.2,CACNA1IA,0.00E+00,3878,0.00E+00,3878
KAG9263882.1,GRAP2,XP_007260807.3,GRAP2A,3.74E-166,583,1.24E-166,583
KAG9263882.1,GRAP2,XP_022527280.2,GRAP2A,3.74E-166,583,1.24E-166,583
KAG9263882.1,GRAP2,XP_049323625.1,GRAP2A,3.74E-166,583,1.24E-166,583
KAG9263883.1,FAM83F,XP_007260809.2,FAM83FA,0.00E+00,1059,0.00E+00,1059
KAG9263884.1,CYTH4,XP_049323623.1,CYTH4A,7.30E-245,845,2.42E-245,845
KAG9263884.1,CYTH4,XP_049323624.1,CYTH4A,7.48E-242,835,2.47E-242,835
KAG9263885.1,RAC2,XP_022527296.1,RAC2,3.93E-109,393,1.30E-109,393
KAG9263886.1,SULT3A1,XP_022527325.1,SULT3ST1,2.31E-167,587,7.68E-168,587
KAG9263887.1,GIMAP2,XP_022533269.2,LOC103047457,1.22E-133,475,4.06E-134,475
KAG9263888.1,APOLD1,XP_022527335.2,APOL,5.26E-295,1012,1.75E-295,1012
KAG9263889.1,APOLD1,XP_022527339.2,LOC111193009,1.25E-252,871,4.51E-253,871
KAG9263889.1,APOLD1,XP_022527346.2,LOC111193009,1.25E-252,871,4.16E-253,871
KAG9263890.1,KAG9263890.1,XP_049324221.1,LOC111193010,2.19E-291,1000,7.20E-292,1000
KAG9263893.1,KAG9263893.1,XP_022527360.2,LOC111193013,1.88E-278,957,5.83E-279,957
KAG9263894.1,ZP3,XP_022527371.2,LOC111193015,1.41E-259,894,4.72E-260,894
KAG9263895.1,GTPBP1,XP_022527381.1,GTPBP1,0.00E+00,1227,0.00E+00,1227
KAG9263895.1,GTPBP1,XP_022527374.1,GTPBP1,0.00E+00,1222,0.00E+00,1222
KAG9263895.1,GTPBP1,XP_022527377.1,GTPBP1,0.00E+00,1183,0.00E+00,1183
KAG9263896.1,SGSM3,XP_022527387.1,SGSM3,0.00E+00,1498,0.00E+00,1498
KAG9263896.1,SGSM3,XP_022527394.1,SGSM3,0.00E+00,1462,0.00E+00,1462
KAG9263897.1,ZBED4,XP_049324494.1,LOC125784803,1.09E-139,495,6.63E-140,495
KAG9263898.1,ELFN2,XP_022527409.1,LOC103045428,0.00E+00,1574,0.00E+00,1574
KAG9263899.1,KAG9263899.1,XP_049324045.1,LOC111194143,3.73E-99,360,1.24E-99,360
KAG9263901.1,NACC1,XP_007237840.1,LOC103025552,1.63E-296,1017,5.42E-297,1017
KAG9263901.1,NACC1,XP_007237841.1,LOC103025552,1.63E-296,1017,5.42E-297,1017
KAG9263901.1,NACC1,XP_015458060.1,LOC103025552,1.63E-296,1017,5.42E-297,1017
KAG9263901.1,NACC1,XP_022527425.1,LOC103025552,1.63E-296,1017,5.42E-297,1017
KAG9263902.1,IER2,XP_007237842.1,IER2A,1.87E-87,321,6.22E-88,321
KAG9263904.1,KAG9263904.1,XP_007239239.3,ALKBH7,5.04E-140,496,1.67E-140,496
KAG9263905.1,GTF2F1,XP_007239238.2,GTF2F1,1.29E-233,808,4.30E-234,808
KAG9263906.1,KAG9263906.1,XP_049323663.1,IGHD,0.00E+00,1763,0.00E+00,1763
KAG9263906.1,KAG9263906.1,XP_049323664.1,IGHD,0.00E+00,1753,0.00E+00,1753
KAG9263909.1,KAG9263909.1,XP_049324227.1,LOC125784523,3.68E-167,587,1.60E-167,587
KAG9263911.1,KAG9263911.1,XP_049324223.1,LOC125784505,4.54E-46,184,1.53E-46,184
KAG9263911.1,KAG9263911.1,XP_049324224.1,LOC125784512,5.82E-44,177,1.72E-44,177
KAG9263916.1,KAG9263916.1,XP_049324228.1,SI:DKEY-204F11.3,5.70E-59,226,2.28E-59,226
KAG9263923.1,ALDH3B1,XP_022527507.2,ALDH3B1,4.10E-276,949,1.36E-276,949
KAG9263924.1,CLPP,XP_022527524.1,LOC103037558,5.10E-146,516,1.69E-146,516
KAG9263925.1,GNG5,XP_007237957.1,SI:DKEY-204F11.64,1.66E-32,137,5.51E-33,137
KAG9263925.1,GNG5,XP_007237958.1,SI:DKEY-204F11.64,1.66E-32,137,5.51E-33,137
KAG9263926.1,CARM1,XP_049323667.1,CARM1,0.00E+00,1145,0.00E+00,1145
KAG9263926.1,CARM1,XP_049323668.1,CARM1,0.00E+00,1127,0.00E+00,1127
KAG9263927.1,YIPF2,XP_022527550.1,YIPF2,1.88E-172,604,6.26E-173,604
KAG9263928.1,TIMM29,XP_022527558.1,TIMM29,1.99E-139,494,6.62E-140,494
KAG9263929.1,CC2D1A,XP_022527607.2,LOC103036529,5.16E-280,962,1.71E-280,962
KAG9263929.1,CC2D1A,XP_049323669.1,LOC103036529,1.38E-271,934,4.50E-272,934
KAG9263930.1,SLC25A23,XP_007237962.2,SLC25A23B,2.17E-270,930,7.22E-271,930
KAG9263931.1,ZNF207,XP_022527592.2,ZNF207A,2.50E-162,571,8.30E-163,571
KAG9263931.1,ZNF207,XP_022527598.2,ZNF207A,2.50E-162,571,8.30E-163,571
KAG9263931.1,ZNF207,XP_022527605.2,ZNF207A,3.35E-154,544,1.05E-154,544
KAG9263932.1,KAG9263932.1,XP_007237952.2,LOC103036218,3.27E-135,480,1.08E-135,480
KAG9263932.1,KAG9263932.1,XP_049324205.1,LOC103036218,4.18E-133,473,1.43E-133,473
KAG9263933.1,TNRC6C,XP_049323577.1,TNRC6C1,0.00E+00,3305,0.00E+00,3305
KAG9263933.1,TNRC6C,XP_049323578.1,TNRC6C1,0.00E+00,3217,0.00E+00,3217
KAG9263934.1,SEPTIN9,XP_022527641.1,SEPTIN9A,0.00E+00,1110,0.00E+00,1110
KAG9263934.1,SEPTIN9,XP_022527655.1,SEPTIN9A,0.00E+00,1070,0.00E+00,1070
KAG9263934.1,SEPTIN9,XP_022527647.1,SEPTIN9A,0.00E+00,1069,0.00E+00,1069
KAG9263934.1,SEPTIN9,XP_022527659.1,SEPTIN9A,0.00E+00,1069,0.00E+00,1069
KAG9263935.1,KAG9263935.1,XP_049324180.1,SI:CH211-165D12.4,1.41E-104,378,4.65E-105,378
KAG9263936.1,NMRK1,XP_049324229.1,LOC111193068,2.91E-75,280,1.28E-75,280
KAG9263936.1,NMRK1,XP_049324113.1,LOC111193073,1.49E-72,271,7.19E-73,271
KAG9263937.1,KAG9263937.1,XP_022527688.2,ZGC:163143,1.94E-272,937,5.75E-273,937
KAG9263937.1,KAG9263937.1,XP_049323906.1,ZGC:163143,1.94E-272,937,5.75E-273,937
KAG9263937.1,KAG9263937.1,XP_049323907.1,ZGC:163143,1.94E-272,937,5.75E-273,937
KAG9263937.1,KAG9263937.1,XP_049323908.1,ZGC:163143,1.94E-272,937,5.75E-273,937
KAG9263938.1,KAG9263938.1,XP_022521947.2,LOC111191379,0.00E+00,2336,0.00E+00,2336
KAG9263938.1,KAG9263938.1,XP_049324230.1,LOC125784525,0.00E+00,2325,0.00E+00,2325
KAG9263940.1,KAG9263940.1,XP_049324023.1,TAC4,6.01E-42,169,1.87E-42,169
KAG9263940.1,KAG9263940.1,XP_049324024.1,TAC4,7.70E-40,162,2.32E-40,162
KAG9263941.1,DLX4A,XP_022521933.1,DLX4A,7.87E-130,462,2.61E-130,462
KAG9263942.1,DUSP3,XP_022521944.2,DUSP3B,3.95E-103,373,1.31E-103,373
KAG9263942.1,DUSP3,XP_049324039.1,LOC125784446,1.58E-102,371,5.24E-103,371
KAG9263943.1,DNAAF5,XP_022521946.1,DNAAF5,0.00E+00,1629,0.00E+00,1629
KAG9263944.1,PRKAR1B,XP_022521945.1,PRKAR1B,1.57E-195,681,5.22E-196,681
KAG9263945.1,PDGFA,XP_022521914.1,PDGFAB,2.73E-112,404,6.87E-113,404
KAG9263946.1,CCDC137,XP_022521935.1,CCDC137,3.02E-122,437,9.93E-123,437
KAG9263947.1,GPRC5C,XP_022521930.2,LOC103031996,1.09E-203,708,3.63E-204,708
KAG9263948.1,BTBD17,XP_022521943.1,BTBD17B,1.87E-275,947,5.55E-276,947
KAG9263949.1,KCNJ2,XP_007237384.2,KCNJ2B,5.87E-250,862,1.95E-250,862
KAG9263950.1,CCP110,XP_022521931.2,LOC103030202,0.00E+00,1392,0.00E+00,1392
KAG9263951.1,KAG9263951.1,XP_049334415.1,LOC111191365,0.00E+00,2776,0.00E+00,2776
KAG9263952.1,SLC9A3R1,XP_022521925.2,SLC9A3R1B,5.45E-210,729,1.81E-210,729
KAG9263952.1,SLC9A3R1,XP_022521924.2,SLC9A3R1B,1.74E-208,724,5.81E-209,724
KAG9263953.1,CASKIN2,XP_022521936.2,LOC103032093,0.00E+00,2107,0.00E+00,2107
KAG9263953.1,CASKIN2,XP_022521937.2,LOC103032093,0.00E+00,2101,0.00E+00,2101
KAG9263953.1,CASKIN2,XP_049323983.1,LOC103032093,0.00E+00,2042,0.00E+00,2042
KAG9263953.1,CASKIN2,XP_022521938.2,LOC103032093,0.00E+00,2032,0.00E+00,2032
KAG9263954.1,ST6GALNAC2,XP_022521948.1,ST6GALNAC2,4.82E-228,789,1.60E-228,789
KAG9263955.1,JMJD6,XP_022521951.1,JMJD6,1.63E-226,784,5.43E-227,784
KAG9263956.1,METTL23,XP_007237383.1,METTL23,1.58E-126,451,5.26E-127,451
KAG9263957.1,MFSD11,XP_007237381.1,MFSD11,1.23E-243,841,4.23E-244,841
KAG9263957.1,MFSD11,XP_049324003.1,MFSD11,1.23E-243,841,4.23E-244,841
KAG9263958.1,QRICH2,XP_049323989.1,LOC103028394,0.00E+00,1875,0.00E+00,1875
KAG9263958.1,QRICH2,XP_049323990.1,LOC103028394,0.00E+00,1793,0.00E+00,1793
KAG9263959.1,UBALD2,XP_007237380.1,UBALD2,6.55E-96,349,2.18E-96,349
KAG9263960.1,FOXJ1A,XP_007237377.2,FOXJ1A,1.30E-274,944,4.32E-275,944
KAG9263961.1,TSEN54,XP_022521927.1,TSEN54,3.15E-290,996,1.05E-290,996
KAG9263961.1,TSEN54,XP_022521928.1,TSEN54,2.22E-276,950,7.10E-277,950
KAG9263962.1,HTR3A,XP_007237376.2,LOC103027756,3.31E-220,763,1.10E-220,763
KAG9263963.1,MYADML2,XP_007237375.1,LOC103027436,1.84E-175,614,6.11E-176,614
KAG9263964.1,NOTUM1A,XP_007237374.2,NOTUM1A,0.00E+00,1041,0.00E+00,1041
KAG9263965.1,CENPX,XP_022521908.1,CENPX,3.66E-38,156,1.22E-38,156
KAG9263965.1,CENPX,XP_022521907.1,CENPX,4.68E-36,149,1.84E-36,149
KAG9263966.1,TMC6,XP_007241679.3,LOC103036133,0.00E+00,1457,0.00E+00,1457
KAG9263967.1,SYNGR2,XP_007241675.1,SYNGR2A,3.09E-126,450,1.03E-126,450
KAG9263968.1,CANT1,XP_007241676.1,CANT1A,1.86E-239,827,6.19E-240,827
KAG9263969.1,KAG9263969.1,XP_007241678.1,LOC103035820,6.17E-159,559,2.05E-159,559
KAG9263971.1,KAG9263971.1,XP_049324011.1,PROZA,6.78E-201,699,2.20E-201,699
KAG9263972.1,GPRC5B,XP_022523674.1,GPRC5BA,6.34E-226,782,2.11E-226,782
KAG9263973.1,IQCK,XP_022523673.1,IQCK,5.57E-186,649,1.85E-186,649
KAG9263974.1,TRAP1,XP_007241734.3,TRAP1,0.00E+00,1387,0.00E+00,1387
KAG9263975.1,NSF,XP_022523677.1,NSFA,0.00E+00,1446,0.00E+00,1446
KAG9263975.1,NSF,XP_022523676.1,NSFA,0.00E+00,1432,0.00E+00,1432
KAG9263975.1,NSF,XP_022523678.1,NSFA,0.00E+00,1432,0.00E+00,1432
KAG9263976.1,PSMD11A,XP_022523679.1,PSMD11A,7.69E-214,742,2.53E-214,742
KAG9263976.1,PSMD11A,XP_022523682.1,PSMD11A,2.02E-208,724,6.54E-209,724
KAG9263977.1,CDK5R1,XP_007242524.2,CDK5R1A,4.00E-166,583,1.33E-166,583
KAG9263978.1,KAG9263978.1,XP_022523685.2,LOC111191880,5.51E-88,323,1.36E-88,323
KAG9263979.1,ITGA3,XP_049323985.1,ITGA3A,0.00E+00,1901,0.00E+00,1901
KAG9263981.1,SMARCE1,XP_049324008.1,SMARCE1,6.21E-179,626,2.06E-179,626
KAG9263981.1,SMARCE1,XP_049324007.1,SMARCE1,1.99E-177,621,6.63E-178,621
KAG9263981.1,SMARCE1,XP_049324006.1,SMARCE1,3.97E-177,620,1.33E-177,620
KAG9263981.1,SMARCE1,XP_049324005.1,SMARCE1,1.27E-175,615,4.28E-176,615
KAG9263982.1,PRKCBB,XP_022541000.1,PRKCBB,0.00E+00,1400,0.00E+00,1400
KAG9263982.1,PRKCBB,XP_022541001.1,PRKCBB,0.00E+00,1335,0.00E+00,1335
KAG9263983.1,CACNG3,XP_022518454.1,CACNG3B,4.80E-173,606,1.59E-173,606
KAG9263984.1,RBBP6,XP_022542089.2,RBBP6,0.00E+00,2516,0.00E+00,2516
KAG9263984.1,RBBP6,XP_022542090.2,RBBP6,0.00E+00,2509,0.00E+00,2509
KAG9263985.1,TNRC6A,XP_049323971.1,LOC103042767,0.00E+00,3150,0.00E+00,3150
KAG9263985.1,TNRC6A,XP_049323972.1,LOC103042767,0.00E+00,3150,0.00E+00,3150
KAG9263985.1,TNRC6A,XP_049323974.1,LOC103042767,0.00E+00,3150,0.00E+00,3150
KAG9263985.1,TNRC6A,XP_049323975.1,LOC103042767,0.00E+00,3150,0.00E+00,3150
KAG9263985.1,TNRC6A,XP_049323976.1,LOC103042767,0.00E+00,3150,0.00E+00,3150
KAG9263985.1,TNRC6A,XP_049323977.1,LOC103042767,0.00E+00,3150,0.00E+00,3150
KAG9263985.1,TNRC6A,XP_049323978.1,LOC103042767,0.00E+00,3150,0.00E+00,3150
KAG9263985.1,TNRC6A,XP_049323979.1,LOC103042767,0.00E+00,3150,0.00E+00,3150
KAG9263985.1,TNRC6A,XP_049323980.1,LOC103042767,0.00E+00,3150,0.00E+00,3150
KAG9263985.1,TNRC6A,XP_049323981.1,LOC103042767,0.00E+00,3044,0.00E+00,3044
KAG9263986.1,RPUSD1,XP_007241622.2,RPUSD1,1.36E-195,681,4.51E-196,681
KAG9263987.1,DCTN5,XP_007241623.1,DCTN5,1.18E-79,295,3.92E-80,295
KAG9263988.1,GNG13,XP_007241171.1,GNG13B,3.97E-33,139,1.32E-33,139
KAG9263989.1,TRAF7,XP_022542093.1,TRAF7,0.00E+00,1135,0.00E+00,1135
KAG9263989.1,TRAF7,XP_022542094.1,TRAF7,0.00E+00,1099,0.00E+00,1099
KAG9263990.1,CASKIN1,XP_022542081.2,CASKIN1,0.00E+00,2408,0.00E+00,2408
KAG9263990.1,CASKIN1,XP_022542083.2,CASKIN1,0.00E+00,2346,0.00E+00,2346
KAG9263991.1,CRLF3,XP_049323648.1,CRLF3,2.21E-258,890,7.36E-259,890
KAG9263992.1,SUZ12A,XP_007239958.3,SUZ12A,0.00E+00,1361,0.00E+00,1361
KAG9263993.1,RAB11FIP4A,XP_007233819.1,RAB11FIP4A,0.00E+00,1180,0.00E+00,1180
KAG9263994.1,COIL,XP_007233809.3,COIL,3.25E-234,810,1.08E-234,810
KAG9263995.1,SCPEP1,XP_007233810.1,SCPEP1,5.52E-259,892,1.83E-259,892
KAG9263996.1,ENGASE,XP_007233811.1,ENGASE,0.00E+00,1476,0.00E+00,1476
KAG9263997.1,SLC16A3,XP_007233815.2,SLC16A3A,1.30E-283,974,4.32E-284,974
KAG9263998.1,CSNK1D,XP_007233817.1,CSNK1DA,1.96E-233,807,6.50E-234,807
KAG9263998.1,CSNK1D,XP_007233818.1,CSNK1DA,2.63E-225,780,8.60E-226,780
KAG9263999.1,DUS1L,XP_007233807.1,DUS1L,3.04E-287,986,1.01E-287,986
KAG9263999.1,DUS1L,XP_007233808.1,DUS1L,3.04E-287,986,1.01E-287,986
KAG9263999.1,DUS1L,XP_015456915.1,DUS1L,3.04E-287,986,1.01E-287,986
KAG9264000.1,CSN1,XP_022521600.1,GPS1,0.00E+00,1068,0.00E+00,1068
KAG9264000.1,CSN1,XP_022521602.1,GPS1,0.00E+00,1053,0.00E+00,1053
KAG9264000.1,CSN1,XP_022521599.1,GPS1,2.53E-298,1023,8.40E-299,1023
KAG9264001.1,RAC3,XP_007233802.1,RAC3A,3.07E-111,400,1.02E-111,400
KAG9264001.1,RAC3,XP_022525019.1,RAC3B,2.45E-110,397,8.15E-111,397
KAG9264001.1,RAC3,XP_007251352.1,RAC1A,2.01E-106,384,6.68E-107,384
KAG9264002.1,PRKAR1A,XP_007233803.1,PRKAR1AA,4.43E-209,726,1.47E-209,726
KAG9264002.1,PRKAR1A,XP_007233804.1,PRKAR1AA,4.43E-209,726,1.47E-209,726
KAG9264003.1,ARPC1A-A,XP_022521614.1,ZGC:86896,5.10E-216,749,1.69E-216,749
KAG9264003.1,ARPC1A-A,XP_022521615.1,ZGC:86896,5.10E-216,749,1.69E-216,749
KAG9264003.1,ARPC1A-A,XP_007233805.2,ZGC:86896,1.67E-211,734,5.41E-212,734
KAG9264004.1,WIPI1,XP_007233800.3,WIPI1,2.34E-252,870,7.77E-253,870
KAG9264004.1,WIPI1,XP_015456913.3,WIPI1,1.50E-250,864,4.96E-251,864
KAG9264005.1,SLC16A6,XP_007233798.2,SLC16A6B,0.00E+00,1079,0.00E+00,1079
KAG9264006.1,KAG9264006.1,XP_022521613.1,RGS9A,2.53E-280,963,8.39E-281,963
KAG9264007.1,COG1,XP_007233795.3,COG1,0.00E+00,1885,0.00E+00,1885
KAG9264007.1,COG1,XP_015456912.3,COG1,0.00E+00,1797,0.00E+00,1797
KAG9264008.1,KAG9264008.1,XP_007233796.1,SMIM22,1.75E-27,121,4.18E-28,121
KAG9264009.1,KAG9264009.1,XP_022521616.2,ROGDI,4.97E-164,576,1.65E-164,576
KAG9264010.1,GLYR1,XP_007233793.1,GLYR1,1.28E-286,984,4.27E-287,984
KAG9264011.1,PPL,XP_007233792.3,PPL,0.00E+00,2947,0.00E+00,2947
KAG9264012.1,STXBP4,XP_022521597.1,SI:DKEYP-72E1.9,0.00E+00,1262,0.00E+00,1262
KAG9264012.1,STXBP4,XP_049323968.1,SI:DKEYP-72E1.9,0.00E+00,1259,0.00E+00,1259
KAG9264012.1,STXBP4,XP_022521595.1,SI:DKEYP-72E1.9,0.00E+00,1253,0.00E+00,1253
KAG9264012.1,STXBP4,XP_022521596.1,SI:DKEYP-72E1.9,0.00E+00,1245,0.00E+00,1245
KAG9264014.1,RRN3,XP_007235391.3,RRN3,0.00E+00,1217,0.00E+00,1217
KAG9264014.1,RRN3,XP_049323969.1,RRN3,0.00E+00,1217,0.00E+00,1217
KAG9264015.1,TMEM238,XP_007235392.1,SI:DKEYP-72E1.6,1.26E-80,298,4.20E-81,298
KAG9264016.1,MPV17L,XP_007235393.1,MPV17L,9.79E-113,405,3.25E-113,405
KAG9264017.1,PDXDC1,XP_007235398.3,PDXDC1,0.00E+00,1477,0.00E+00,1477
KAG9264017.1,PDXDC1,XP_007235399.3,PDXDC1,0.00E+00,1471,0.00E+00,1471
KAG9264017.1,PDXDC1,XP_007235396.3,PDXDC1,0.00E+00,1467,0.00E+00,1467
KAG9264017.1,PDXDC1,XP_007235397.3,PDXDC1,0.00E+00,1461,0.00E+00,1461
KAG9264019.1,KAG9264019.1,XP_007235401.2,NDE1,1.68E-168,591,5.56E-169,591
KAG9264020.1,MYH11,XP_022521593.2,MYH11B,0.00E+00,2129,0.00E+00,2129
KAG9264022.1,ABCC1,XP_007235405.2,ABCC1,0.00E+00,2962,0.00E+00,2962
KAG9264022.1,ABCC1,XP_049323840.1,ABCC1,0.00E+00,2953,0.00E+00,2953
KAG9264023.1,ABCC1,XP_022521611.2,LOC103043664,0.00E+00,2927,0.00E+00,2927
KAG9264023.1,ABCC1,XP_007235404.3,LOC103043664,0.00E+00,2910,0.00E+00,2910
KAG9264024.1,TBC1D10B,XP_007235410.1,LOC103045495,0.00E+00,1518,0.00E+00,1518
KAG9264025.1,PHETA1,XP_007235407.1,PHETA2,4.78E-158,556,1.59E-158,556
KAG9264026.1,MYLPF,XP_007235411.1,MYLPFA,1.20E-91,335,3.31E-92,335
KAG9264027.1,CD2BP2,XP_007235412.2,CD2BP2,8.44E-187,652,2.80E-187,652
KAG9264028.1,KAG9264028.1,XP_022521617.2,PRR14,0.00E+00,2344,0.00E+00,2344
KAG9264030.1,KAG9264030.1,XP_022521608.2,RUSF1,1.25E-240,831,4.14E-241,831
KAG9264030.1,KAG9264030.1,XP_022521609.2,RUSF1,1.25E-240,831,4.14E-241,831
KAG9264030.1,KAG9264030.1,XP_049323559.1,RUSF1,1.25E-240,831,4.14E-241,831
KAG9264031.1,KAG9264031.1,XP_049323561.1,ZGC:113090,3.19E-155,547,1.06E-155,547
KAG9264033.1,KAT7,XP_022542097.2,KAT7A,0.00E+00,1186,0.00E+00,1186
KAG9264033.1,KAT7,XP_022542096.2,KAT7A,0.00E+00,1177,0.00E+00,1177
KAG9264033.1,KAT7,XP_022542098.2,KAT7A,0.00E+00,1158,0.00E+00,1158
KAG9264034.1,G6PC,XP_007236205.1,G6PC1B,1.25E-219,761,4.16E-220,761
KAG9264035.1,SAO,XP_007236204.3,AOC2,0.00E+00,1544,0.00E+00,1544
KAG9264036.1,NBR1,XP_022542100.2,NBR1B,0.00E+00,1811,0.00E+00,1811
KAG9264039.1,DMBT1,XP_049324233.1,LOC111189209,0.00E+00,3897,0.00E+00,3897
KAG9264040.1,DMBT1,XP_049331152.1,LOC125799147,2.28E-97,355,8.95E-98,355
KAG9264040.1,DMBT1,XP_049331151.1,LOC125799147,2.28E-97,355,1.05E-97,355
KAG9264040.1,DMBT1,XP_049331150.1,LOC125799146,4.55E-97,354,2.11E-97,354
KAG9264046.1,DMBT1,XP_049324238.1,LOC103034334,6.32E-184,644,1.58E-184,644
KAG9264048.1,DMBT1,XP_049331162.1,LOC125799149,2.42E-89,328,1.08E-89,328
KAG9264049.1,USP42,XP_049324235.1,LOC125784530,1.40E-230,798,4.22E-231,798
KAG9264049.1,USP42,XP_049336033.1,LOC111197346,3.66E-225,780,1.14E-225,780
KAG9264049.1,USP42,XP_049336032.1,LOC111197346,1.17E-223,775,3.65E-224,775
KAG9264052.1,KAG9264052.1,XP_022541711.2,LOC111196652,0.00E+00,1204,0.00E+00,1204
KAG9264061.1,KAG9264061.1,XP_049323562.1,LOC111188549,2.40E-146,518,5.64E-147,518
KAG9264062.1,KAG9264062.1,XP_049323238.1,LOC125782628,0.00E+00,1027,0.00E+00,1027
KAG9264062.1,KAG9264062.1,XP_049323239.1,LOC125782628,0.00E+00,1027,0.00E+00,1027
KAG9264063.1,RARAB,XP_007234490.2,RARAB,1.49E-253,874,4.95E-254,874
KAG9264064.1,HSP30,XP_007234494.2,HSPB9,8.35E-112,402,2.77E-112,402
KAG9264065.1,PYYA,XP_022527715.1,PYYA,2.52E-48,190,8.47E-49,190
KAG9264066.1,MPP2,XP_022527721.2,MPP2A,0.00E+00,1078,0.00E+00,1078
KAG9264067.1,RETSATL,XP_015457097.2,LOC103027967,0.00E+00,1201,0.00E+00,1201
KAG9264068.1,KAG9264068.1,XP_049323819.1,SI:DKEY-283B1.6,2.48E-70,264,6.33E-71,264
KAG9264069.1,ABI1,XP_022527743.2,ABI3A,5.99E-240,829,1.99E-240,829
KAG9264070.1,FAM187A,XP_007234500.2,LOC103028597,7.93E-245,845,2.48E-245,845
KAG9264071.1,CCDC103,XP_022527755.2,CCDC103,1.27E-134,478,4.21E-135,478
KAG9264073.1,RPL23,XP_007234496.1,RPL23,1.24E-71,268,4.05E-72,268
KAG9264074.1,VWC2,XP_015457101.3,SI:DKEY-283B1.7,3.14E-138,490,1.08E-138,490
KAG9264075.1,CACNG2,XP_022527784.1,CACNG2A,1.88E-181,634,6.23E-182,634
KAG9264076.1,RPL3,XP_007242797.2,RPL3,1.25E-231,801,4.14E-232,801
KAG9264076.1,RPL3,XP_049323817.1,RPL3,4.99E-231,799,1.84E-231,799
KAG9264078.1,SLC25A39,XP_022527815.1,SLC25A39,2.38E-200,697,7.23E-201,697
KAG9264078.1,SLC25A39,XP_022527803.1,SLC25A39,1.95E-196,684,6.22E-197,684
KAG9264078.1,SLC25A39,XP_022527810.1,SLC25A39,4.99E-194,676,1.57E-194,676
KAG9264079.1,RPL27,XP_022527825.1,RPL27,1.18E-71,268,3.93E-72,268
KAG9264080.1,RUNDC1,XP_007239036.3,RUNDC1,0.00E+00,1097,0.00E+00,1097
KAG9264081.1,GRN,XP_049323807.1,GRNA,0.00E+00,1946,0.00E+00,1946
KAG9264082.1,IFI35,XP_022527852.2,IFI35,4.44E-184,643,1.37E-184,643
KAG9264083.1,BCAT1,XP_022527844.1,BCAT2,6.20E-229,792,2.06E-229,792
KAG9264084.1,HSD17B14,XP_022527860.2,HSD17B14,3.19E-147,520,1.06E-147,520
KAG9264085.1,KCNA3,XP_022527871.2,KCNA7,3.05E-271,933,1.01E-271,933
KAG9264085.1,KCNA3,XP_022527874.2,KCNA7,3.05E-271,933,1.01E-271,933
KAG9264086.1,FGF21,XP_022527880.1,FGF21,5.02E-113,406,1.67E-113,406
KAG9264087.1,KAG9264087.1,XP_007239047.3,LOC103042028,4.57E-217,753,1.52E-217,753
KAG9264087.1,KAG9264087.1,XP_015458420.3,LOC103042028,4.57E-217,753,1.52E-217,753
KAG9264088.1,PPFIA3,XP_049323932.1,PPFIA3,0.00E+00,2070,0.00E+00,2070
KAG9264088.1,PPFIA3,XP_049323930.1,PPFIA3,0.00E+00,2063,0.00E+00,2063
KAG9264088.1,PPFIA3,XP_049323931.1,PPFIA3,0.00E+00,2063,0.00E+00,2063
KAG9264089.1,NUCB1,XP_022529581.2,NUCB1,2.20E-205,714,7.30E-206,714
KAG9264090.1,CCND1,XP_022529589.2,CCNDX,5.01E-164,576,1.66E-164,576
KAG9264091.1,TBC1D17,XP_022529599.2,TBC1D17,0.00E+00,1287,0.00E+00,1287
KAG9264091.1,TBC1D17,XP_049323918.1,TBC1D17,0.00E+00,1282,0.00E+00,1282
KAG9264092.1,AKT1S1,XP_022529605.2,AKT1S1,7.16E-196,682,2.38E-196,682
KAG9264092.1,AKT1S1,XP_022529615.2,AKT1S1,7.16E-196,682,2.38E-196,682
KAG9264093.1,KAG9264093.1,XP_022529635.2,ZGC:195001,1.43E-152,538,4.08E-153,538
KAG9264093.1,KAG9264093.1,XP_049324042.1,ZGC:195001,1.43E-152,538,4.08E-153,538
KAG9264094.1,EMC10,XP_022529648.2,EMC10,6.74E-135,479,2.24E-135,479
