,Ast,a,a2,Dmel,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
3374,Astyanax_pachon,KAG9264083.1,BCAT1,Drosophila_melanogaster,NP_572884.1,BCAT,9.64e-113,405.0,7.35e-113,405.0
6219,Astyanax_pachon,KAG9267466.1,BCCIP,Drosophila_melanogaster,NP_650317.3,CG9286,2.11e-36,151.0,1.43e-36,151.0
446,Astyanax_pachon,KAG9260163.1,BCDIN3D,Drosophila_melanogaster,NP_647896.1,CG11342,1.22e-34,145.0,7.310000000000001e-35,145.0
10386,Astyanax_pachon,KAG9272871.1,BCHE,Drosophila_melanogaster,NP_001262530.1,ACE,4.82e-111,400.0,3.38e-111,400.0
10331,Astyanax_pachon,KAG9272811.1,BCKDHA,Drosophila_melanogaster,NP_649905.1,BCKDHA,4.549999999999999e-137,486.0,3.0099999999999997e-137,486.0
12815,Astyanax_pachon,KAG9276326.1,BCKDHB,Drosophila_melanogaster,NP_001015354.3,BCKDHB,3.1499999999999998e-136,483.0,2e-136,483.0
4413,Astyanax_pachon,KAG9265422.1,BCO2,Drosophila_melanogaster,NP_650307.2,NINAB,8.359999999999999e-89,326.0,6.219999999999999e-89,326.0
5169,Astyanax_pachon,KAG9266329.1,BCR,Drosophila_melanogaster,NP_001284724.1,RHOGAP1A,7.969999999999999e-119,427.0,5.54e-119,427.0
9442,Astyanax_pachon,KAG9271620.1,BCS1L,Drosophila_melanogaster,NP_609358.1,BCS1,4.76e-153,539.0,3.28e-153,539.0
13179,Astyanax_pachon,KAG9276751.1,BDH1,Drosophila_melanogaster,NP_610724.1,CG8888,2.46e-42,171.0,1.7799999999999997e-42,171.0
5985,Astyanax_pachon,KAG9267249.1,BECN1,Drosophila_melanogaster,NP_651209.1,ATG6,2.42e-100,364.0,1.54e-100,364.0
2208,Astyanax_pachon,KAG9262578.1,BEST2,Drosophila_melanogaster,NP_652603.1,BEST1,1.77e-106,385.0,1.25e-106,385.0
15938,Astyanax_pachon,KAG9280517.1,BEST3,Drosophila_melanogaster,NP_652603.1,BEST1,9e-102,369.0,8.22e-102,369.0
3872,Astyanax_pachon,KAG9264722.1,BEST4,Drosophila_melanogaster,NP_001097609.1,BEST4,4.950000000000001e-97,353.0,3.93e-97,353.0
8153,Astyanax_pachon,KAG9269981.1,BICDL1,Drosophila_melanogaster,NP_729936.1,CG32137,5.14e-06,51.2,2.79e-06,51.2
14049,Astyanax_pachon,KAG9277862.1,BIN1,Drosophila_melanogaster,NP_001260919.1,AMPH,1.22e-46,186.0,7.02e-47,186.0
3789,Astyanax_pachon,KAG9264596.1,BIRC5.2,Drosophila_melanogaster,NP_650608.1,DET,2.95e-20,96.3,2.15e-20,96.3
6975,Astyanax_pachon,KAG9268386.1,BIRC6,Drosophila_melanogaster,NP_001262462.1,BRUCE,0.0,1751.0,0.0,1751.0
14105,Astyanax_pachon,KAG9277935.1,BLCAP,Drosophila_melanogaster,NP_647972.1,BC10,8.95e-20,94.0,5.47e-20,94.0
4111,Astyanax_pachon,KAG9265097.1,BLMH,Drosophila_melanogaster,NP_572477.1,CG1440,3.3e-151,533.0,2.38e-151,533.0
550,Astyanax_pachon,KAG9260328.1,BLOC1S1,Drosophila_melanogaster,NP_725401.2,BLOS1,2.99e-29,126.0,2.3700000000000002e-29,126.0
15086,Astyanax_pachon,KAG9279603.1,BLOC1S4,Drosophila_melanogaster,NP_001261689.1,BLOS4,9.58e-06,48.9,4.41e-06,48.9
8585,Astyanax_pachon,KAG9270445.1,BMP1,Drosophila_melanogaster,NP_001287510.1,TOK,4.98e-283,972.0,5.03e-283,972.0
7279,Astyanax_pachon,KAG9268738.1,BMP2,Drosophila_melanogaster,NP_477311.1,DPP,7.13e-68,256.0,6.96e-68,256.0
7320,Astyanax_pachon,KAG9268760.1,BMP4,Drosophila_melanogaster,NP_477311.1,DPP,6.61e-70,263.0,5.44e-70,263.0
11855,Astyanax_pachon,KAG9275049.1,BMP5,Drosophila_melanogaster,NP_001286786.1,GBB,2.05e-62,238.0,1.41e-62,238.0
18124,Astyanax_pachon,KAG9283548.1,BMP6,Drosophila_melanogaster,NP_001286786.1,GBB,9.85e-63,239.0,7.06e-63,239.0
7630,Astyanax_pachon,KAG9269286.1,BMP7,Drosophila_melanogaster,NP_001286786.1,GBB,3.95e-62,237.0,2.82e-62,237.0
14284,Astyanax_pachon,KAG9278483.1,BMPER,Drosophila_melanogaster,NP_524809.2,CV-2,3.46e-106,384.0,2.61e-106,384.0
12307,Astyanax_pachon,KAG9275548.1,BMPR1A,Drosophila_melanogaster,NP_787989.1,TKV,2.22e-133,474.0,1.5800000000000001e-133,474.0
2550,Astyanax_pachon,KAG9263056.1,BMPR1B,Drosophila_melanogaster,NP_787991.1,TKV,4.4e-139,493.0,2.85e-139,493.0
13823,Astyanax_pachon,KAG9277625.1,BMPR2,Drosophila_melanogaster,NP_524692.3,WIT,1.53e-91,336.0,8.84e-92,336.0
1132,Astyanax_pachon,KAG9261026.1,BMX,Drosophila_melanogaster,NP_001097121.1,BTK,4.43e-132,470.0,3.53e-132,470.0
16490,Astyanax_pachon,KAG9281235.1,BNIP1,Drosophila_melanogaster,NP_001287187.1,SEC20,5.54e-26,116.0,3.7500000000000003e-26,116.0
13911,Astyanax_pachon,KAG9277764.1,BOKA,Drosophila_melanogaster,NP_523702.1,BUFFY,2.7e-23,107.0,2.5299999999999997e-23,107.0
18224,Astyanax_pachon,KAG9283706.1,BOLA1,Drosophila_melanogaster,NP_733027.2,CG31126,7.16e-26,115.0,4.9500000000000003e-26,115.0
11293,Astyanax_pachon,KAG9274171.1,BOLA2,Drosophila_melanogaster,NP_001027413.1,CG33672,5.58e-17,84.7,3.75e-17,84.7
15581,Astyanax_pachon,KAG9280116.1,BOP1,Drosophila_melanogaster,NP_611270.1,CG5033,1.8e-211,734.0,1.19e-211,734.0
9797,Astyanax_pachon,KAG9272123.1,BORCS5,Drosophila_melanogaster,NP_572759.1,BORCS5,2.34e-20,97.1,2.82e-20,97.1
12176,Astyanax_pachon,KAG9275387.1,BORCS7,Drosophila_melanogaster,NP_725975.2,BORCS7,1.07e-06,50.8,7.34e-07,50.8
5423,Astyanax_pachon,KAG9266595.1,BORCS8,Drosophila_melanogaster,NP_727796.1,CG32590,6.44e-14,75.1,6.19e-14,75.1
17866,Astyanax_pachon,KAG9283157.1,BPNT1,Drosophila_melanogaster,NP_651728.1,CG7789,1.42e-77,288.0,8.43e-78,288.0
13701,Astyanax_pachon,KAG9277462.1,BPTF,Drosophila_melanogaster,NP_728505.1,E(BX),9.460000000000001e-213,740.0,6.28e-213,740.0
15716,Astyanax_pachon,KAG9280287.1,BRAF,Drosophila_melanogaster,NP_001096867.3,RAF,1.1600000000000001e-156,552.0,6.87e-157,552.0
2431,Astyanax_pachon,KAG9262970.1,BRAP,Drosophila_melanogaster,NP_650789.1,CG5555,2.42e-105,381.0,1.5400000000000001e-105,381.0
14900,Astyanax_pachon,KAG9279317.1,BRD2,Drosophila_melanogaster,NP_001259322.1,FS(1)H,1.39e-101,369.0,1.26e-101,369.0
1068,Astyanax_pachon,KAG9260928.1,BRD7,Drosophila_melanogaster,NP_609148.1,BRD7-9,1.59e-53,209.0,1.43e-53,209.0
11740,Astyanax_pachon,KAG9274909.1,BRF1,Drosophila_melanogaster,NP_001163636.1,BRF,2.54e-117,421.0,1.68e-117,421.0
3639,Astyanax_pachon,KAG9264373.1,BRI3,Drosophila_melanogaster,NP_001163339.1,CG12012,1.33e-17,87.4,5.44e-18,87.4
801,Astyanax_pachon,KAG9260654.1,BRK1,Drosophila_melanogaster,NP_001286810.1,HSPC300,7.36e-26,114.0,5.02e-26,114.0
17890,Astyanax_pachon,KAG9283214.1,BRMS1L,Drosophila_melanogaster,NP_572840.1,BRMS1,1.51e-34,145.0,7.96e-35,145.0
4800,Astyanax_pachon,KAG9265892.1,BRN3,Drosophila_melanogaster,NP_001245685.1,ACJ6,3.82e-72,270.0,2.59e-72,270.0
8437,Astyanax_pachon,KAG9270239.1,BRPF1,Drosophila_melanogaster,NP_001286155.1,BR140,1.21e-176,619.0,9.01e-177,619.0
16402,Astyanax_pachon,KAG9281137.1,BRSK2,Drosophila_melanogaster,NP_001261901.1,SFF,2.58e-185,647.0,1.9800000000000002e-185,647.0
17130,Astyanax_pachon,KAG9282187.1,BRWD3,Drosophila_melanogaster,NP_732982.1,BRWD3,2.05e-295,1014.0,1.74e-295,1014.0
4749,Astyanax_pachon,KAG9265853.1,BSCL2,Drosophila_melanogaster,NP_570012.1,SEIPIN,1.19e-44,179.0,6.62e-45,179.0
5456,Astyanax_pachon,KAG9266658.1,BSG,Drosophila_melanogaster,NP_723338.1,BSG,1.11e-16,85.9,5.03e-17,85.9
12274,Astyanax_pachon,KAG9275513.1,BTAF1,Drosophila_melanogaster,NP_001287351.1,HEL89B,0.0,1460.0,0.0,1460.0
5902,Astyanax_pachon,KAG9267127.1,BTBD10,Drosophila_melanogaster,NP_612008.1,MRI,2.69e-113,407.0,1.82e-113,407.0
10553,Astyanax_pachon,KAG9273093.1,BTBD11B,Drosophila_melanogaster,NP_996142.1,CG43980,6.149999999999999e-147,520.0,5.29e-147,520.0
6759,Astyanax_pachon,KAG9268086.1,BTBD17,Drosophila_melanogaster,NP_001259461.1,TANGO10,1.49e-26,119.0,1.21e-26,119.0
2262,Astyanax_pachon,KAG9262636.1,BTBD3,Drosophila_melanogaster,NP_650618.1,LUTE,1.86e-167,587.0,1.83e-167,587.0
17547,Astyanax_pachon,KAG9282809.1,BTBD6,Drosophila_melanogaster,NP_650618.1,LUTE,1.1000000000000001e-164,578.0,9.38e-165,578.0
17728,Astyanax_pachon,KAG9282971.1,BTBD7,Drosophila_melanogaster,NP_001285304.1,CG16952,1.45e-159,562.0,9.200000000000001e-160,562.0
11673,Astyanax_pachon,KAG9274800.1,BTBD9,Drosophila_melanogaster,NP_001259431.1,BTBD9,7.96e-163,572.0,6.400000000000001e-163,572.0
14673,Astyanax_pachon,KAG9278951.1,BTD,Drosophila_melanogaster,NP_572297.1,VANIN-LIKE,1.0499999999999999e-30,133.0,7.02e-31,133.0
17001,Astyanax_pachon,KAG9281962.1,BTF3,Drosophila_melanogaster,NP_476853.1,BIC,1.18e-44,178.0,6.049999999999999e-45,178.0
10294,Astyanax_pachon,KAG9272766.1,BTK,Drosophila_melanogaster,NP_001097121.1,BTK,6.49e-137,486.0,5.39e-137,486.0
5750,Astyanax_pachon,KAG9266973.1,BUAE,Drosophila_melanogaster,NP_788715.2,CG33093,1.13e-33,142.0,7.92e-34,142.0
6247,Astyanax_pachon,KAG9267513.1,BUB3,Drosophila_melanogaster,NP_001287587.1,BUB3,1.32e-108,391.0,8.86e-109,391.0
14302,Astyanax_pachon,KAG9278511.1,BUD23,Drosophila_melanogaster,NP_001262365.1,CG10903,2.05e-92,337.0,1.35e-92,337.0
12907,Astyanax_pachon,KAG9276466.1,BVES,Drosophila_melanogaster,NP_001259753.1,BVES,2.1500000000000002e-29,128.0,1.56e-29,128.0
867,Astyanax_pachon,KAG9260728.1,BYSL,Drosophila_melanogaster,NP_511074.1,BYS,2.88e-104,377.0,1.94e-104,377.0
1159,Astyanax_pachon,KAG9261060.1,BZW1A,Drosophila_melanogaster,NP_524238.1,KRA,2.08e-115,414.0,1.37e-115,414.0
15185,Astyanax_pachon,KAG9279742.1,BZW2,Drosophila_melanogaster,NP_524238.1,KRA,6e-116,416.0,3.42e-116,416.0
7954,Astyanax_pachon,KAG9269747.1,C1GALT1A,Drosophila_melanogaster,NP_609258.1,C1GALTA,1.5500000000000001e-86,318.0,9.960000000000001e-87,318.0
13524,Astyanax_pachon,KAG9277209.1,C1GALT1B,Drosophila_melanogaster,NP_609258.1,C1GALTA,3.72e-84,310.0,2.55e-84,310.0
16753,Astyanax_pachon,KAG9281703.1,C1QBP,Drosophila_melanogaster,NP_611243.1,P32,1.09e-30,132.0,6.62e-31,132.0
12790,Astyanax_pachon,KAG9276296.1,C1RA,Drosophila_melanogaster,NP_610439.1,CG13744,2.17e-31,135.0,1.2200000000000001e-31,135.0
12791,Astyanax_pachon,KAG9276299.1,C1S,Drosophila_melanogaster,NP_572582.1,SER7,1.2799999999999999e-28,126.0,6.4e-29,126.0
10480,Astyanax_pachon,KAG9272979.1,C2CD5,Drosophila_melanogaster,NP_732985.2,CG6454,2.5599999999999997e-220,764.0,1.59e-220,764.0
7531,Astyanax_pachon,KAG9269078.1,C4BPA,Drosophila_melanogaster,NP_001096961.1,FW,5.900000000000001e-47,187.0,5.28e-47,187.0
6739,Astyanax_pachon,KAG9268072.1,CA10,Drosophila_melanogaster,NP_001284986.1,CARPA,3.79e-63,240.0,2.58e-63,240.0
16766,Astyanax_pachon,KAG9281717.1,CA4,Drosophila_melanogaster,NP_001262833.1,CAH8,8.82e-36,149.0,5.82e-36,149.0
7889,Astyanax_pachon,KAG9269660.1,CA6,Drosophila_melanogaster,NP_648555.1,CAH2,7.52e-36,150.0,3.22e-36,150.0
2955,Astyanax_pachon,KAG9263511.1,CA9,Drosophila_melanogaster,NP_651535.1,CAH9,3.5099999999999997e-34,144.0,1.9099999999999999e-34,144.0
10201,Astyanax_pachon,KAG9272646.1,CAB39,Drosophila_melanogaster,NP_001261958.1,MO25,2.4600000000000002e-123,440.0,1.64e-123,440.0
2120,Astyanax_pachon,KAG9262469.1,CAB39L,Drosophila_melanogaster,NP_001261958.1,MO25,6.14e-121,432.0,4.19e-121,432.0
13592,Astyanax_pachon,KAG9277320.1,CACHD1,Drosophila_melanogaster,NP_611469.1,CG16868,2.7000000000000003e-133,475.0,2.04e-133,475.0
1171,Astyanax_pachon,KAG9261071.1,CACNA1A,Drosophila_melanogaster,NP_001356943.1,CAC,0.0,1484.0,0.0,1484.0
1730,Astyanax_pachon,KAG9261934.1,CACNA1B,Drosophila_melanogaster,NP_001356943.1,CAC,0.0,1434.0,0.0,1434.0
15589,Astyanax_pachon,KAG9280144.1,CACNA1C,Drosophila_melanogaster,NP_001260484.1,CA-ALPHA1D,0.0,1752.0,0.0,1752.0
812,Astyanax_pachon,KAG9260670.1,CACNA1D,Drosophila_melanogaster,NP_001260480.2,CA-ALPHA1D,0.0,1744.0,0.0,1744.0
8352,Astyanax_pachon,KAG9270185.1,CACNA1E,Drosophila_melanogaster,NP_001356943.1,CAC,0.0,1435.0,0.0,1435.0
6525,Astyanax_pachon,KAG9267822.1,CACNA1G,Drosophila_melanogaster,NP_001245544.1,CA-ALPHA1T,0.0,1076.0,0.0,1076.0
2011,Astyanax_pachon,KAG9262294.1,CACNA1H,Drosophila_melanogaster,NP_001245544.1,CA-ALPHA1T,0.0,1058.0,0.0,1058.0
8394,Astyanax_pachon,KAG9270203.1,CACNA2D3,Drosophila_melanogaster,NP_610902.1,STJ,1.24e-152,539.0,9.28e-153,539.0
9951,Astyanax_pachon,KAG9272372.1,CACNA2D4,Drosophila_melanogaster,NP_610902.1,STJ,6.42e-153,540.0,4.64e-153,540.0
3539,Astyanax_pachon,KAG9264274.1,CACNB1,Drosophila_melanogaster,NP_995685.3,CA-BETA,1.05e-135,482.0,5.1199999999999996e-136,482.0
11235,Astyanax_pachon,KAG9274091.1,CACNB2,Drosophila_melanogaster,NP_001260375.1,CA-BETA,1.77e-137,488.0,1.45e-137,488.0
9099,Astyanax_pachon,KAG9271136.1,CACNB4,Drosophila_melanogaster,NP_001285836.1,CA-BETA,1.73e-132,471.0,9.87e-133,471.0
14156,Astyanax_pachon,KAG9278206.1,CACTIN,Drosophila_melanogaster,NP_523422.4,CACTIN,1.98e-149,528.0,1.12e-149,528.0
10875,Astyanax_pachon,KAG9273619.1,CACYBP,Drosophila_melanogaster,NP_572332.1,CG3226,1.3000000000000001e-32,138.0,9.05e-33,138.0
17396,Astyanax_pachon,KAG9282555.1,CAD,Drosophila_melanogaster,NP_001285343.1,R,0.0,2768.0,0.0,2768.0
950,Astyanax_pachon,KAG9260840.1,CADN,Drosophila_melanogaster,NP_724074.1,CADN,0.0,1445.0,0.0,1445.0
752,Astyanax_pachon,KAG9260607.1,CADPS,Drosophila_melanogaster,NP_001027029.2,CADPS,0.0,1426.0,0.0,1426.0
14256,Astyanax_pachon,KAG9278406.1,CAHZ,Drosophila_melanogaster,NP_523561.1,CAH1,2.55e-62,237.0,1.68e-62,237.0
10669,Astyanax_pachon,KAG9273231.1,CALB2,Drosophila_melanogaster,NP_001286511.1,CBP53E,7.999999999999999e-61,232.0,6.16e-61,232.0
15237,Astyanax_pachon,KAG9279791.1,CALCRL,Drosophila_melanogaster,NP_725278.1,DH31-R,7.950000000000001e-73,273.0,4e-73,273.0
4042,Astyanax_pachon,KAG9264996.1,CALM1,Drosophila_melanogaster,NP_001246276.1,CAM,9.449999999999999e-52,201.0,6.349999999999999e-52,201.0
1087,Astyanax_pachon,KAG9260951.1,CALML4,Drosophila_melanogaster,NP_650917.1,CG17272,2.83e-21,99.8,1.85e-21,99.8
8896,Astyanax_pachon,KAG9270863.1,CALR,Drosophila_melanogaster,NP_001262430.1,CALR,2.7899999999999998e-104,377.0,1.8099999999999998e-104,377.0
10489,Astyanax_pachon,KAG9272988.1,CALUB,Drosophila_melanogaster,NP_477392.1,SCF,5.04e-80,296.0,3.54e-80,296.0
13337,Astyanax_pachon,KAG9277003.1,CAMK1,Drosophila_melanogaster,NP_726571.2,CAMKI,1.83e-118,424.0,1.23e-118,424.0
15668,Astyanax_pachon,KAG9280207.1,CAMK1D,Drosophila_melanogaster,NP_726571.2,CAMKI,2.61e-119,427.0,1.54e-119,427.0
4998,Astyanax_pachon,KAG9266163.1,CAMK2A,Drosophila_melanogaster,NP_001162831.1,CAMKII,5.12e-218,755.0,3.54e-218,755.0
2503,Astyanax_pachon,KAG9263008.1,CAMK2B,Drosophila_melanogaster,NP_726634.1,CAMKII,4.84e-213,739.0,2.4100000000000002e-213,739.0
11183,Astyanax_pachon,KAG9274032.1,CAMK2D1,Drosophila_melanogaster,NP_001162832.1,CAMKII,6.680000000000001e-212,735.0,4.02e-212,735.0
126,Astyanax_pachon,KAG9259639.1,CAMK2D2,Drosophila_melanogaster,NP_001162831.1,CAMKII,1.4600000000000002e-212,737.0,9.290000000000001e-213,737.0
12293,Astyanax_pachon,KAG9275543.1,CAMK2G,Drosophila_melanogaster,NP_001162831.1,CAMKII,2.11e-220,763.0,1.38e-220,763.0
5057,Astyanax_pachon,KAG9266220.1,CAMKK2,Drosophila_melanogaster,NP_001036634.1,CG17698,3.51e-119,427.0,2.67e-119,427.0
7704,Astyanax_pachon,KAG9269430.1,CAMTA2,Drosophila_melanogaster,NP_001286250.1,CAMTA,4.8e-88,325.0,3.99e-88,325.0
15735,Astyanax_pachon,KAG9280314.1,CAND1,Drosophila_melanogaster,NP_001260333.1,CAND1,0.0,1347.0,0.0,1347.0
5792,Astyanax_pachon,KAG9267012.1,CANT1,Drosophila_melanogaster,NP_001287287.1,CG5276,4.42e-94,343.0,3.2099999999999996e-94,343.0
12372,Astyanax_pachon,KAG9275661.1,CANX,Drosophila_melanogaster,NP_001036766.2,CNX99A,2.0200000000000002e-79,295.0,1.3000000000000001e-79,295.0
15306,Astyanax_pachon,KAG9279860.1,CAP1,Drosophila_melanogaster,NP_001033869.1,CAPT,2.62e-90,331.0,1.33e-90,331.0
7178,Astyanax_pachon,KAG9268586.1,CAPN3,Drosophila_melanogaster,NP_001246706.1,CALPB,8.1e-184,642.0,6.95e-184,642.0
2227,Astyanax_pachon,KAG9262609.1,CAPN9,Drosophila_melanogaster,NP_001246706.1,CALPB,2.06e-175,614.0,1.86e-175,614.0
4507,Astyanax_pachon,KAG9265590.1,CAPSL,Drosophila_melanogaster,NP_650234.3,CG10126,9.69e-32,135.0,6.77e-32,135.0
13354,Astyanax_pachon,KAG9277030.1,CAPZA1,Drosophila_melanogaster,NP_611539.1,CPA,1.54e-100,364.0,1.04e-100,364.0
8846,Astyanax_pachon,KAG9270835.1,CAPZA2,Drosophila_melanogaster,NP_611539.1,CPA,1.94e-101,367.0,1.3e-101,367.0
858,Astyanax_pachon,KAG9260723.1,CAPZB,Drosophila_melanogaster,NP_001259877.1,CPB,9.53e-126,448.0,5.199999999999999e-126,448.0
3228,Astyanax_pachon,KAG9263866.1,CARHSP1,Drosophila_melanogaster,NP_001261972.1,CG9705,9.240000000000001e-33,138.0,5.6200000000000004e-33,138.0
3252,Astyanax_pachon,KAG9263926.1,CARM1,Drosophila_melanogaster,NP_001262445.1,ART4,4.25e-151,533.0,2.58e-151,533.0
12683,Astyanax_pachon,KAG9276186.1,CARMIL1,Drosophila_melanogaster,NP_001163077.2,LRR,1.02e-181,636.0,6.23e-182,636.0
1443,Astyanax_pachon,KAG9261494.1,CARNMT1,Drosophila_melanogaster,NP_569963.1,CG11596,3.97e-84,310.0,2.88e-84,310.0
1000,Astyanax_pachon,KAG9260873.1,CARS1,Drosophila_melanogaster,NP_611087.1,CYSRS,3.9499999999999998e-233,806.0,2.38e-233,806.0
2066,Astyanax_pachon,KAG9262393.1,CARS2,Drosophila_melanogaster,NP_001286405.1,CYSRS-M,2.31e-105,381.0,1.55e-105,381.0
15242,Astyanax_pachon,KAG9279797.1,CASD1,Drosophila_melanogaster,NP_001259226.1,CG2938,1.89e-146,518.0,1.38e-146,518.0
9046,Astyanax_pachon,KAG9271096.1,CASK,Drosophila_melanogaster,NP_001262811.1,CASK,0.0,1091.0,0.0,1091.0
10145,Astyanax_pachon,KAG9272585.1,CASP3,Drosophila_melanogaster,NP_524551.2,DRICE,1.1299999999999999e-52,205.0,9.04e-53,205.0
6583,Astyanax_pachon,KAG9267896.1,CASP7,Drosophila_melanogaster,NP_476974.1,DCP-1,1.7e-53,208.0,1.08e-53,208.0
16059,Astyanax_pachon,KAG9280725.1,CAT,Drosophila_melanogaster,NP_536731.1,CAT,4.17e-198,689.0,2.7e-198,689.0
13310,Astyanax_pachon,KAG9276962.1,CBFA2T2,Drosophila_melanogaster,NP_001261164.1,NVY,8.24e-39,160.0,6.96e-39,160.0
10698,Astyanax_pachon,KAG9273258.1,CBFB,Drosophila_melanogaster,NP_477065.3,BGB,3.98e-44,176.0,3.05e-44,176.0
12929,Astyanax_pachon,KAG9276481.1,CBL,Drosophila_melanogaster,NP_729382.1,CBL,6.24e-131,466.0,3.22e-131,466.0
17452,Astyanax_pachon,KAG9282667.1,CBR4,Drosophila_melanogaster,NP_001259199.1,CG3603,3.47e-33,140.0,2.4500000000000002e-33,140.0
9505,Astyanax_pachon,KAG9271703.1,CBS,Drosophila_melanogaster,NP_001285508.1,CBS,9.21e-145,512.0,5.34e-145,512.0
2305,Astyanax_pachon,KAG9262691.1,CC2D1A,Drosophila_melanogaster,NP_609488.1,L(2)GD1,5.500000000000001e-97,354.0,3.05e-97,354.0
14591,Astyanax_pachon,KAG9278857.1,CC2D1B,Drosophila_melanogaster,NP_609488.1,L(2)GD1,6.62e-92,337.0,3.9899999999999996e-92,337.0
5953,Astyanax_pachon,KAG9267187.1,CCDC102A,Drosophila_melanogaster,NP_001097099.1,CG31638,4.72e-49,194.0,2.81e-49,194.0
496,Astyanax_pachon,KAG9260237.1,CCDC114,Drosophila_melanogaster,NP_650569.1,CCDC114,5.39e-28,124.0,3.05e-28,124.0
12600,Astyanax_pachon,KAG9276058.1,CCDC12,Drosophila_melanogaster,NP_651757.1,CG15525,1.03e-19,94.7,6.86e-20,94.7
8318,Astyanax_pachon,KAG9270161.1,CCDC124,Drosophila_melanogaster,NP_650777.1,CG6013,2.06e-28,124.0,1.37e-28,124.0
1233,Astyanax_pachon,KAG9261135.1,CCDC130,Drosophila_melanogaster,NP_611383.1,CG15084,1.38e-70,265.0,7.310000000000001e-71,265.0
11340,Astyanax_pachon,KAG9274222.1,CCDC149A,Drosophila_melanogaster,NP_650458.1,CG14868,1.07e-39,163.0,6.07e-40,163.0
12428,Astyanax_pachon,KAG9275735.1,CCDC149B,Drosophila_melanogaster,NP_650458.1,CG14868,6.48e-41,167.0,3.8e-41,167.0
13631,Astyanax_pachon,KAG9277356.1,CCDC151,Drosophila_melanogaster,NP_648520.1,CCDC151,1.33e-10,66.2,9.93e-11,66.2
13455,Astyanax_pachon,KAG9277171.1,CCDC174,Drosophila_melanogaster,NP_001262701.1,CG7183,3.2e-15,81.3,2.62e-15,81.3
8776,Astyanax_pachon,KAG9270737.1,CCDC22,Drosophila_melanogaster,NP_648929.1,CG9951,1.3e-49,196.0,7.57e-50,196.0
17788,Astyanax_pachon,KAG9283081.1,CCDC25,Drosophila_melanogaster,NP_001284975.1,CG4593,7.82e-59,225.0,5.310000000000001e-59,225.0
3438,Astyanax_pachon,KAG9264184.1,CCDC43,Drosophila_melanogaster,NP_609277.1,CG9586,2.9e-11,67.0,1.93e-11,67.0
3436,Astyanax_pachon,KAG9264179.1,CCDC47,Drosophila_melanogaster,NP_001259998.1,CG17593,7.6e-83,306.0,5e-83,306.0
17984,Astyanax_pachon,KAG9283317.1,CCDC58,Drosophila_melanogaster,NP_730454.2,CCDC58,5.52e-28,122.0,3.51e-28,122.0
6033,Astyanax_pachon,KAG9267295.1,CCDC6,Drosophila_melanogaster,NP_648944.1,CG6664,1.23e-41,169.0,9.739999999999999e-42,169.0
7433,Astyanax_pachon,KAG9268902.1,CCDC85CA,Drosophila_melanogaster,NP_608734.2,CCDC85,1.67e-40,165.0,1.78e-40,165.0
361,Astyanax_pachon,KAG9260017.1,CCDC86,Drosophila_melanogaster,NP_001285449.1,CG14210,2.72e-09,60.5,1.18e-09,60.5
9405,Astyanax_pachon,KAG9271541.1,CCDC93,Drosophila_melanogaster,NP_523760.1,FIDIPIDINE,2.62e-105,381.0,1.66e-105,381.0
15393,Astyanax_pachon,KAG9279923.1,CCDC97,Drosophila_melanogaster,NP_609206.1,CG7810,3.4e-16,84.0,2.58e-16,84.0
9116,Astyanax_pachon,KAG9271160.1,CCKAR,Drosophila_melanogaster,NP_001097023.1,CCKLR-17D3,6.59e-58,223.0,5.9400000000000005e-58,223.0
17308,Astyanax_pachon,KAG9282423.1,CCN2,Drosophila_melanogaster,NP_730294.1,CCN,1.06e-26,119.0,9.690000000000001e-27,119.0
15220,Astyanax_pachon,KAG9279774.1,CCN4,Drosophila_melanogaster,NP_730294.1,CCN,2.2e-26,118.0,1.94e-26,118.0
3121,Astyanax_pachon,KAG9263707.1,CCNA1,Drosophila_melanogaster,NP_001246724.1,CYCA,2.8399999999999998e-67,254.0,2.3199999999999997e-67,254.0
9882,Astyanax_pachon,KAG9272231.1,CCNA2,Drosophila_melanogaster,NP_001246724.1,CYCA,3.03e-64,244.0,2.3800000000000003e-64,244.0
16931,Astyanax_pachon,KAG9281858.1,CCNB1,Drosophila_melanogaster,NP_726247.1,CYCB,9.38e-60,229.0,7.94e-60,229.0
1320,Astyanax_pachon,KAG9261285.1,CCNB2,Drosophila_melanogaster,NP_726247.1,CYCB,2.8299999999999997e-61,234.0,2.48e-61,234.0
4859,Astyanax_pachon,KAG9265939.1,CCNB3,Drosophila_melanogaster,NP_001262934.1,CYCB3,9.660000000000001e-66,249.0,8.710000000000001e-66,249.0
15967,Astyanax_pachon,KAG9280553.1,CCNC,Drosophila_melanogaster,NP_476848.1,CYCC,7.150000000000001e-110,395.0,4.5400000000000004e-110,395.0
15969,Astyanax_pachon,KAG9280561.1,CCND2,Drosophila_melanogaster,NP_523355.2,CYCD,6.23e-44,176.0,6.83e-44,176.0
1270,Astyanax_pachon,KAG9261199.1,CCNE1,Drosophila_melanogaster,NP_476960.1,CYCE,2.8999999999999997e-67,254.0,2.8499999999999997e-67,254.0
12645,Astyanax_pachon,KAG9276139.1,CCNE2,Drosophila_melanogaster,NP_476960.1,CYCE,3e-70,264.0,2.78e-70,264.0
