,# Pachon.faa,a,Ast.faa,b ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
9511,KAG9265635.1,SC5D,XP_007235701.3,SC5D,5.63e-177,619.0,1.87e-177,619.0
9512,KAG9265635.1,SC5D,XP_007235702.3,SC5D,5.63e-177,619.0,1.87e-177,619.0
13245,KAG9268016.1,SIX3,XP_007235709.1,SIX3B,3.95e-160,563.0,1.31e-160,563.0
13244,KAG9268015.1,PPM1B,XP_007235710.3,PPM1BB,9.709999999999999e-255,878.0,3.22e-255,878.0
13243,KAG9268014.1,ZFP36L2-A,XP_007235713.2,ZFP36L2,4.15e-187,653.0,1.38e-187,653.0
13242,KAG9268014.1,ZFP36L2-A,XP_007235714.2,ZFP36L2,1.2999999999999999e-188,658.0,4.31e-189,658.0
21431,KAG9273300.1,PSMD8,XP_007235717.1,PSMD8,1.61e-147,521.0,5.33e-148,521.0
21425,KAG9273299.1,BICRA,XP_007235718.3,BICRA,0.0,3092.0,0.0,3092.0
21426,KAG9273299.1,BICRA,XP_007235719.3,BICRA,0.0,3092.0,0.0,3092.0
21428,KAG9273299.1,BICRA,XP_007235720.3,BICRA,0.0,3039.0,0.0,3039.0
21430,KAG9273299.1,BICRA,XP_007235721.3,BICRA,0.0,2947.0,0.0,2947.0
21423,KAG9273298.1,EHD2,XP_007235722.1,EHD2B,0.0,1080.0,0.0,1080.0
21424,KAG9273298.1,EHD2,XP_007235723.1,EHD2B,0.0,1062.0,0.0,1062.0
21422,KAG9273297.1,NAPA,XP_007235724.1,NAPAB,6.26e-162,569.0,2.08e-162,569.0
21419,KAG9273295.1,KAG9273295.1,XP_007235727.3,KTI12,3.06e-131,467.0,9.89e-132,467.0
21413,KAG9273291.1,ZNF592,XP_007235728.3,ZNF592,0.0,2404.0,0.0,2404.0
21414,KAG9273292.1,SEC11A,XP_007235729.2,LOC103040897,2.52e-98,357.0,8.36e-99,357.0
21416,KAG9273293.1,SEC11A,XP_007235730.1,LOC103041208,2.52e-98,357.0,8.36e-99,357.0
21418,KAG9273294.1,NMB,XP_007235731.2,NMBA,5.49e-57,219.0,1.82e-57,219.0
21412,KAG9273290.1,SLC28A2,XP_007235732.3,SLC28A1,0.0,1239.0,0.0,1239.0
21408,KAG9273288.1,MALT1,XP_007235735.2,MALT3,0.0,1332.0,0.0,1332.0
21409,KAG9273288.1,MALT1,XP_007235736.2,MALT3,0.0,1332.0,0.0,1332.0
21407,KAG9273288.1,MALT1,XP_007235737.2,MALT3,0.0,1337.0,0.0,1337.0
21399,KAG9273285.1,CTSH,XP_007235738.3,CTSH,1.67e-199,694.0,5.55e-200,694.0
21400,KAG9273286.1,BLM,XP_007235739.3,BLM,0.0,2731.0,0.0,2731.0
21402,KAG9273286.1,BLM,XP_007235740.3,BLM,0.0,2659.0,0.0,2659.0
21405,KAG9273287.1,FRMD5,XP_007235742.2,LOC103044356,0.0,1066.0,0.0,1066.0
21398,KAG9273284.1,RASGRF1,XP_007235743.2,RASGRF1,0.0,2391.0,0.0,2391.0
21421,KAG9273296.1,CH25HL1.1,XP_007235744.2,LOC103045179,1.18e-164,578.0,3.93e-165,578.0
421,KAG9259624.1,BDH2,XP_007235745.2,BDH2,2.5899999999999997e-134,477.0,8.61e-135,477.0
419,KAG9259622.1,CISD2,XP_007235747.1,CISD2,3.6700000000000004e-73,273.0,1.2200000000000001e-73,273.0
32293,KAG9280473.1,SLC35E3,XP_007235768.1,SLC35E3,1.2e-173,608.0,4e-174,608.0
16114,KAG9269803.1,KAG9269803.1,XP_007235771.2,SI:DKEY-126G1.9,1.29e-71,268.0,4.2800000000000003e-72,268.0
16119,KAG9269805.1,ORMDL2,XP_007235776.1,ORMDL2,9.69e-83,305.0,3.22e-83,305.0
16121,KAG9269808.1,TRAPPC6B,XP_007235785.2,TRAPPC6B,1.21e-86,318.0,4.0300000000000005e-87,318.0
16131,KAG9269813.1,RPRMA,XP_007235788.1,RPRM3,9.26e-39,158.0,3.08e-39,158.0
16133,KAG9269815.1,GRASP,XP_007235790.3,TAMALIN,6.94e-214,742.0,2.3e-214,742.0
14824,KAG9269053.1,MFSD5,XP_007235801.1,MFSD5,1.27e-280,964.0,4.23e-281,964.0
4567,KAG9262236.1,TUBA,XP_007235803.2,LOC103037973,1.18e-252,871.0,3.93e-253,871.0
14833,KAG9269059.1,MLH3,XP_007235804.3,MLH3,0.0,2306.0,0.0,2306.0
33820,KAG9281376.1,TMEM42,XP_007235821.2,LOC103045080,1.59e-90,331.0,5.299999999999999e-91,331.0
1179,KAG9260120.1,PK1-R,XP_007235846.3,LOC103028074,1.04e-221,768.0,3.46e-222,768.0
24068,KAG9275166.1,COMMD8,XP_007235848.2,COMMD8,4.34e-90,330.0,1.1e-90,330.0
24070,KAG9275167.1,ATP10D,XP_007235849.3,ATP10D,0.0,2652.0,0.0,2652.0
24067,KAG9275165.1,GABRB1,XP_007235851.2,GABRB1,5.21e-277,952.0,1.7299999999999999e-277,952.0
24066,KAG9275164.1,GABRG1,XP_007235852.2,GABRG1,2.06e-270,930.0,6.84e-271,930.0
24065,KAG9275163.1,GABRA2,XP_007235853.2,GABRA2A,7.05e-260,895.0,2.34e-260,895.0
24062,KAG9275162.1,GNG2,XP_007235855.1,GNG2,8.41e-33,138.0,2.7900000000000002e-33,138.0
24063,KAG9275162.1,GNG2,XP_007235857.1,GNG2,8.41e-33,138.0,2.7900000000000002e-33,138.0
24059,KAG9275160.1,OGA,XP_007235860.3,OGA,0.0,1785.0,0.0,1785.0
24060,KAG9275161.1,PPRC1,XP_007235861.3,PPRC1,0.0,2150.0,0.0,2150.0
24061,KAG9275161.1,PPRC1,XP_007235863.3,PPRC1,0.0,2144.0,0.0,2144.0
24056,KAG9275158.1,ARL3,XP_007235864.1,ARL3A,2.79e-100,364.0,6.64e-101,364.0
24051,KAG9275156.1,KAG9275156.1,XP_007235865.2,SUFU,9.530000000000001e-289,991.0,3.1600000000000002e-289,991.0
24052,KAG9275156.1,KAG9275156.1,XP_007235866.2,SUFU,1.2199999999999999e-286,984.0,4.04e-287,984.0
24053,KAG9275156.1,KAG9275156.1,XP_007235867.2,SUFU,4.0899999999999995e-279,959.0,1.32e-279,959.0
24054,KAG9275156.1,KAG9275156.1,XP_007235868.2,SUFU,5.24e-277,952.0,1.69e-277,952.0
24055,KAG9275157.1,TRIM8,XP_007235869.1,TRIM8A,0.0,1103.0,0.0,1103.0
24044,KAG9275154.1,UBE2D2,XP_007235870.2,UBE2D3,1.1599999999999999e-83,308.0,3.89e-84,308.0
24045,KAG9275154.1,UBE2D2,XP_007235871.2,UBE2D3,1.1599999999999999e-83,308.0,3.89e-84,308.0
24043,KAG9275154.1,UBE2D2,XP_007235872.1,UBE2D3,7.27e-85,312.0,2.41e-85,312.0
24040,KAG9275151.1,SLC39A8,XP_007235873.3,SLC39A8,1.46e-253,874.0,4.86e-254,874.0
24041,KAG9275152.1,MANBA,XP_007235874.3,MANBA,0.0,1819.0,0.0,1819.0
24042,KAG9275153.1,KAG9275153.1,XP_007235875.3,SI:DKEY-20I10.7,4.4600000000000007e-200,696.0,2.0700000000000003e-200,696.0
37382,KAG9283782.1,FFAR3,XP_007235879.2,LOC103037974,1.21e-173,608.0,4.06e-174,608.0
10709,KAG9266438.1,TMEM208,XP_007235882.1,TMEM208,1.49e-89,328.0,4.29e-90,328.0
10708,KAG9266437.1,RCN1,XP_007235883.1,RCN1,2.84e-186,650.0,9.419999999999999e-187,650.0
35085,KAG9282249.1,KAG9282249.1,XP_007235896.3,CWC15,4.2000000000000005e-99,360.0,1.39e-99,360.0
35083,KAG9282247.1,STAG2,XP_007235898.2,STAG2A,0.0,2453.0,0.0,2453.0
35082,KAG9282246.1,CCHCR1,XP_007235899.3,CCHCR1,0.0,1058.0,0.0,1058.0
35081,KAG9282245.1,GRIA3,XP_007235900.1,GRIA3A,0.0,1752.0,0.0,1752.0
35080,KAG9282245.1,GRIA3,XP_007235901.1,GRIA3A,0.0,1769.0,0.0,1769.0
35079,KAG9282244.1,NLGN3,XP_007235904.1,NLGN3B,0.0,1659.0,0.0,1659.0
35078,KAG9282243.1,PLP,XP_007235905.1,PLP1B,8.59e-139,492.0,2.77e-139,492.0
35077,KAG9282243.1,PLP,XP_007235906.1,PLP1B,8.59e-139,492.0,2.72e-139,492.0
35074,KAG9282240.1,RHOG,XP_007235908.1,RHOGC,5.659999999999999e-104,376.0,1.6999999999999998e-104,376.0
35072,KAG9282239.1,TAF1,XP_007235909.3,TAF1,0.0,3697.0,0.0,3697.0
35073,KAG9282239.1,TAF1,XP_007235910.3,TAF1,0.0,3645.0,0.0,3645.0
35070,KAG9282237.1,IGBP1,XP_007235911.2,IGBP1,9.780000000000001e-185,645.0,3.2500000000000004e-185,645.0
35069,KAG9282236.1,WNT11,XP_007235914.1,WNT11F2,7.08e-202,702.0,2.35e-202,702.0
18333,KAG9271273.1,SLC39A10,XP_007235916.3,SLC39A10,0.0,1471.0,0.0,1471.0
18325,KAG9271268.1,FAIM,XP_007235921.3,FAIMA,6.18e-102,369.0,2.05e-102,369.0
28149,KAG9277772.1,LMO4,XP_007235925.1,LMO4B,3.49e-96,350.0,9.86e-97,350.0
28150,KAG9277772.1,LMO4,XP_007235926.1,LMO4B,3.49e-96,350.0,9.86e-97,350.0
16849,KAG9270276.1,VGLL4,XP_007235927.3,VGLL4L,2.99e-131,467.0,9.93e-132,467.0
16848,KAG9270275.1,SLC20A1A,XP_007235929.3,SLC20A1A,0.0,1162.0,0.0,1162.0
16845,KAG9270272.1,DTX1,XP_007235932.2,DTX1,0.0,1249.0,0.0,1249.0
16844,KAG9270270.1,DGCR6,XP_007235934.1,DGCR6,6.76e-102,369.0,2.25e-102,369.0
12020,KAG9267262.1,ELOB,XP_007235939.1,LOC103031344,7.649999999999999e-61,232.0,2.3599999999999998e-61,232.0
12015,KAG9267260.1,KAG9267260.1,XP_007235941.2,LOC103031867,4.6199999999999995e-172,603.0,1.54e-172,603.0
12014,KAG9267258.1,RPL19,XP_007235942.2,LOC103032189,9.09e-127,452.0,3.02e-127,452.0
12021,KAG9267263.1,TGFB1I1,XP_007235943.2,LOC103032500,9.77e-286,981.0,3.2e-286,981.0
12022,KAG9267263.1,TGFB1I1,XP_007235944.2,LOC103032500,5.369999999999999e-274,942.0,1.7e-274,942.0
12036,KAG9267266.1,PAQR4,XP_007235949.2,PAQR4B,1.87e-160,564.0,6.1700000000000004e-161,564.0
12038,KAG9267268.1,GSP-2,XP_007235950.2,PPP1CAB,1.71e-196,684.0,5.67e-197,684.0
12042,KAG9267270.1,SULT1C1,XP_007235954.3,LOC103035674,3.51e-184,643.0,1.16e-184,643.0
12044,KAG9267272.1,GB1,XP_007235955.2,LOC103035992,6.520000000000001e-226,782.0,2.17e-226,782.0
12046,KAG9267274.1,KAG9267274.1,XP_007235957.3,MTO1,0.0,1279.0,0.0,1279.0
12045,KAG9267273.1,TCTN3,XP_007235958.3,LOC103036807,0.0,1132.0,0.0,1132.0
12051,KAG9267276.1,ADPRH,XP_007235962.2,ADPRH,2.09e-209,727.0,6.89e-210,727.0
3017,KAG9261193.1,POP4,XP_007235969.2,POP4,6.339999999999999e-119,426.0,1.74e-119,426.0
3020,KAG9261196.1,KAG9261196.1,XP_007235971.2,LOC103040695,7.850000000000001e-70,262.0,2.61e-70,262.0
3021,KAG9261196.1,KAG9261196.1,XP_007235972.2,LOC103040695,7.850000000000001e-70,262.0,2.61e-70,262.0
3023,KAG9261198.1,KAG9261198.1,XP_007235973.3,ZGC:162297,5.04e-149,526.0,1.67e-149,526.0
3022,KAG9261197.1,KAG9261197.1,XP_007235974.3,SI:CH211-260E23.9,1.31e-83,308.0,4.36e-84,308.0
3024,KAG9261199.1,CCNE1,XP_007235976.1,CCNE1,7.5999999999999996e-239,825.0,2.52e-239,825.0
3025,KAG9261200.1,NAE1,XP_007235977.3,NAE1,0.0,1065.0,0.0,1065.0
3031,KAG9261205.1,TK2,XP_007235980.2,TK2,2.48e-152,537.0,8.23e-153,537.0
3030,KAG9261204.1,KAG9261204.1,XP_007235982.2,LOC103043667,4.85e-46,183.0,1.61e-46,183.0
3029,KAG9261203.1,CMTM3,XP_007235984.2,CMTM3,2.07e-88,324.0,6.859999999999999e-89,324.0
34108,KAG9281588.1,ZBTB20,XP_007235997.3,ZBTB20,0.0,1054.0,0.0,1054.0
29552,KAG9278681.1,KAG9278681.1,XP_007236009.3,SBNO2A,0.0,3147.0,0.0,3147.0
29555,KAG9278681.1,KAG9278681.1,XP_007236010.3,SBNO2A,0.0,3066.0,0.0,3066.0
29543,KAG9278675.1,CTXN1,XP_007236013.3,LOC103027245,5.52e-54,209.0,1.8299999999999997e-54,209.0
29540,KAG9278674.1,CERS2,XP_007236015.3,CERS4B,2.6600000000000002e-222,770.0,8.85e-223,770.0
29530,KAG9278669.1,JUND,XP_007236017.1,JUND,2e-135,481.0,6.1e-136,481.0
29528,KAG9278667.1,LOX,XP_007236030.3,LOXL5B,2.8099999999999994e-228,790.0,9.349999999999999e-229,790.0
24828,KAG9275653.1,CPZ,XP_007236032.3,CPZ,0.0,1329.0,0.0,1329.0
24825,KAG9275650.1,ADRA2C,XP_007236033.1,ADRA2C,1.15e-221,768.0,3.81e-222,768.0
24830,KAG9275654.1,GPR26,XP_007236035.3,GPR78A,1.93e-184,644.0,6.400000000000001e-185,644.0
24826,KAG9275651.1,HMX1,XP_007236037.1,HMX1,2.6899999999999997e-134,477.0,8.92e-135,477.0
25734,KAG9276237.1,PI4KB,XP_007236038.2,PI4KB,0.0,1601.0,0.0,1601.0
25733,KAG9276237.1,PI4KB,XP_007236039.2,PI4KB,0.0,1611.0,0.0,1611.0
25735,KAG9276238.1,MYO1E,XP_007236040.2,MYO1EB,0.0,2169.0,0.0,2169.0
25736,KAG9276239.1,PRUNE1,XP_007236041.2,PRUNE,3.7700000000000005e-251,866.0,1.25e-251,866.0
25743,KAG9276242.1,SSR1,XP_007236042.3,SSR1,1.3e-127,455.0,4.3799999999999996e-128,455.0
25741,KAG9276242.1,SSR1,XP_007236043.3,SSR1,5.06e-130,463.0,1.68e-130,463.0
25747,KAG9276244.1,EPD1,XP_007236046.2,LOC103038086,2.54e-119,427.0,8.42e-120,427.0
25749,KAG9276246.1,KAG9276246.1,XP_007236048.2,TWSG1B,1.21e-131,468.0,4.01e-132,468.0
25754,KAG9276248.1,VAPA,XP_007236049.1,VAPA,1.7800000000000002e-123,441.0,5.91e-124,441.0
25750,KAG9276247.1,PPP4R1,XP_007236051.3,PPP4R1,0.0,1815.0,0.0,1815.0
25752,KAG9276247.1,PPP4R1,XP_007236052.3,PPP4R1,0.0,1771.0,0.0,1771.0
25755,KAG9276250.1,APCDD1,XP_007236053.3,LOC103040072,0.0,1055.0,0.0,1055.0
25757,KAG9276251.1,ZBTB14,XP_007236064.1,ZBTB14,2.45e-150,531.0,8.62e-151,531.0
25756,KAG9276251.1,ZBTB14,XP_007236066.1,ZBTB14,1.49e-154,545.0,4.9600000000000005e-155,545.0
2921,KAG9261137.1,PDGFA,XP_007236087.2,LOC103022197,2.3e-106,384.0,7.03e-107,384.0
2918,KAG9261135.1,CCDC130,XP_007236088.2,YJU2B,7.33e-211,732.0,2.43e-211,732.0
2916,KAG9261133.1,WDR83,XP_007236090.2,WDR83,4.3100000000000004e-132,470.0,1.43e-132,470.0
2915,KAG9261132.1,KAG9261132.1,XP_007236091.3,SDE2,3.0799999999999997e-176,617.0,1.02e-176,617.0
2914,KAG9261131.1,MRPS28,XP_007236093.3,MRPS28,5.3e-101,366.0,1.76e-101,366.0
2907,KAG9261128.1,CAPN2,XP_007236094.3,CAPN8,0.0,1424.0,0.0,1424.0
2905,KAG9261126.1,FAM20C,XP_007236096.2,FAM20CL,7.18e-266,915.0,2.45e-266,915.0
5910,KAG9263175.1,VAMP2,XP_007236104.1,VAMP2,9.62e-50,195.0,3.06e-50,195.0
5908,KAG9263174.1,KAG9263174.1,XP_007236105.3,PER1A,0.0,2362.0,0.0,2362.0
5906,KAG9263173.1,PCOLCE2,XP_007236106.3,PCOLCEA,1.75e-269,927.0,5.819999999999999e-270,927.0
5905,KAG9263172.1,TMEM88,XP_007236107.2,TMEM88A,2.3999999999999998e-115,414.0,6.970000000000001e-116,414.0
5901,KAG9263171.1,KDM6B,XP_007236108.3,KDM6BB,0.0,3123.0,0.0,3123.0
5902,KAG9263171.1,KDM6B,XP_007236109.3,KDM6BB,0.0,3123.0,0.0,3123.0
5899,KAG9263168.1,EFNB3,XP_007236112.3,EFNB3A,4.81e-182,636.0,1.6e-182,636.0
5895,KAG9263167.1,GIGYF1,XP_007236113.3,GIGYF1B,0.0,1644.0,0.0,1644.0
5898,KAG9263167.1,GIGYF1,XP_007236115.3,GIGYF1B,0.0,1638.0,0.0,1638.0
5893,KAG9263165.1,ENDOD1,XP_007236116.3,LOC103030921,2.7799999999999997e-180,630.0,9.230000000000001e-181,630.0
5894,KAG9263166.1,ENDOD1,XP_007236118.2,ZGC:172339,2.36e-170,597.0,7.82e-171,597.0
5892,KAG9263164.1,ENDOD1,XP_007236119.3,LOC103031868,2.81e-174,610.0,9.32e-175,610.0
29192,KAG9278451.1,KLHL40A,XP_007236121.1,KLHL40A,0.0,1110.0,0.0,1110.0
29189,KAG9278450.1,HHATL,XP_007236122.2,HHATLA,0.0,1040.0,0.0,1040.0
29191,KAG9278450.1,HHATL,XP_007236123.2,HHATLA,1.8799999999999998e-297,1020.0,6.1699999999999995e-298,1020.0
29195,KAG9278455.1,KAG9278455.1,XP_007236124.2,SI:DKEY-29D8.3,4.79e-173,606.0,1.59e-173,606.0
29196,KAG9278457.1,KAG9278457.1,XP_007236125.2,DNAJC1,1.1300000000000001e-276,951.0,3.7699999999999997e-277,951.0
29198,KAG9278458.1,BMI1B,XP_007236126.2,BMI1B,6.5999999999999995e-171,599.0,2.18e-171,599.0
29199,KAG9278458.1,BMI1B,XP_007236127.2,BMI1B,3.38e-168,590.0,1.11e-168,590.0
29200,KAG9278459.1,PIP4K2A,XP_007236130.1,PIP4K2AB,1.86e-251,867.0,6.17e-252,867.0
29201,KAG9278459.1,PIP4K2A,XP_007236131.1,PIP4K2AB,2.38e-249,860.0,7.88e-250,860.0
29206,KAG9278464.1,NRN1,XP_007236135.3,NRN1B,2.97e-78,290.0,9.850000000000001e-79,290.0
16279,KAG9269917.1,ATXN1,XP_007236140.2,ZMP:0000000926,0.0,1142.0,0.0,1142.0
16274,KAG9269912.1,MTG2,XP_007236142.3,MTG2,3.1899999999999997e-229,793.0,1.06e-229,793.0
16272,KAG9269910.1,KAG9269910.1,XP_007236143.2,LSM14B,1.4100000000000001e-213,741.0,4.67e-214,741.0
23185,KAG9274573.1,SF3B2,XP_007236152.3,SF3B2,0.0,1389.0,0.0,1389.0
23186,KAG9274574.1,CAPN1,XP_007236153.2,CAPN1,0.0,1410.0,0.0,1410.0
23188,KAG9274576.1,DUSP19,XP_007236155.2,DUSP19B,2.5900000000000002e-107,387.0,8.61e-108,387.0
23189,KAG9274577.1,KAG9274577.1,XP_007236156.2,LOC103043450,2.85e-174,611.0,9.47e-175,611.0
23190,KAG9274578.1,PNP,XP_007236159.2,PNP5A,1.17e-170,598.0,3.87e-171,598.0
23191,KAG9274579.1,KCNJ10,XP_007236161.1,KCNJ10A,1.36e-228,791.0,4.5299999999999996e-229,791.0
31970,KAG9280276.1,CYB5R3,XP_007236169.1,LOC103021355,9.29e-173,605.0,3.0800000000000002e-173,605.0
16586,KAG9270121.1,DMAP1,XP_007236177.1,DMAP1,4.52e-261,899.0,1.5e-261,899.0
16583,KAG9270117.1,GUK1,XP_007236178.1,GUK1B,8.88e-118,422.0,2.82e-118,422.0
16581,KAG9270116.1,KAG9270116.1,XP_007236181.3,ARMH1,1.12e-218,758.0,3.71e-219,758.0
16580,KAG9270115.1,MUTYH,XP_007236182.3,MUTYH,1.26e-292,1004.0,4.1800000000000003e-293,1004.0
16577,KAG9270114.1,ELOVL4,XP_007236185.1,ELOVL8B,2.9600000000000003e-156,550.0,9.820000000000001e-157,550.0
16578,KAG9270114.1,ELOVL4,XP_007236186.1,ELOVL8B,2.9600000000000003e-156,550.0,9.820000000000001e-157,550.0
13346,KAG9268082.1,GALR2A,XP_007236192.3,LOC103028491,3.4699999999999997e-205,713.0,1.15e-205,713.0
13347,KAG9268083.1,KCNJ16,XP_007236193.3,KCNJ16,8.86e-206,715.0,2.94e-206,715.0
13349,KAG9268084.1,KCNJ2,XP_007236194.3,KCNJ2A,1.22e-240,831.0,4.0599999999999996e-241,831.0
13355,KAG9268088.1,GPRC5C,XP_007236195.3,GPRC5C,3.3699999999999997e-220,763.0,1.25e-220,763.0
13354,KAG9268088.1,GPRC5C,XP_007236196.3,GPRC5C,2.1099999999999999e-221,767.0,7.790000000000001e-222,767.0
13353,KAG9268088.1,GPRC5C,XP_007236197.3,GPRC5C,1.6100000000000001e-226,784.0,5.35e-227,784.0
13352,KAG9268087.1,GPR142,XP_007236198.1,GPR142,4.57e-200,696.0,1.52e-200,696.0
7215,KAG9264035.1,SAO,XP_007236204.3,AOC2,0.0,1544.0,0.0,1544.0
7214,KAG9264034.1,G6PC,XP_007236205.1,G6PC1B,1.2499999999999999e-219,761.0,4.1599999999999996e-220,761.0
30152,KAG9279102.1,POLDIP3,XP_007236210.3,POLDIP3,4.74e-239,826.0,1.57e-239,826.0
30151,KAG9279101.1,KAG9279101.1,XP_007236211.4,RRP7A,1.28e-152,538.0,4.27e-153,538.0
30150,KAG9279100.1,WBP2,XP_007236212.3,WBP2NL,4.54e-130,463.0,1.51e-130,463.0
30153,KAG9279104.1,FAM234B,XP_007236214.3,FAM234B,0.0,1130.0,0.0,1130.0
30154,KAG9279105.1,SMDT1,XP_007236215.2,LOC103036919,1.37e-51,201.0,4.559999999999999e-52,201.0
30155,KAG9279106.1,NDUFA6,XP_007236216.1,NDUFA6,5.66e-66,249.0,1.88e-66,249.0
30159,KAG9279108.1,NOL12,XP_007236223.2,NOL12,1.93e-108,391.0,6.41e-109,391.0
3265,KAG9261369.1,CCNO-B,XP_007236231.3,LOC103043357,2.53e-170,597.0,8.1899999999999995e-171,597.0
3269,KAG9261372.1,MAT2A,XP_007236235.3,MAT2AB,6.339999999999999e-229,792.0,2.1e-229,792.0
3272,KAG9261376.1,PSAP,XP_007236237.1,SFTPBB,4.46e-188,656.0,1.4799999999999998e-188,656.0
3275,KAG9261378.1,ANK1,XP_007236238.3,ANK1A,0.0,2207.0,0.0,2207.0
3273,KAG9261377.1,KAG9261377.1,XP_007236256.4,SPAW,8.98e-249,858.0,2.9799999999999997e-249,858.0
6518,KAG9263587.1,KAG9263587.1,XP_007236259.3,LOC103024073,2.19e-258,890.0,7.27e-259,890.0
6519,KAG9263587.1,KAG9263587.1,XP_007236260.3,LOC103024073,1.1500000000000001e-252,871.0,3.79e-253,871.0
6520,KAG9263587.1,KAG9263587.1,XP_007236261.3,LOC103024073,2.3000000000000003e-252,870.0,7.47e-253,870.0
6521,KAG9263587.1,KAG9263587.1,XP_007236265.3,LOC103024073,2.3000000000000003e-252,870.0,7.47e-253,870.0
6524,KAG9263588.1,KAG9263588.1,XP_007236266.3,IM:7136398,1.4e-128,458.0,4.7e-129,458.0
6525,KAG9263588.1,KAG9263588.1,XP_007236267.3,IM:7136398,1.4e-128,458.0,4.7e-129,458.0
6526,KAG9263588.1,KAG9263588.1,XP_007236268.3,IM:7136398,8.98e-127,452.0,2.99e-127,452.0
6527,KAG9263589.1,P2RY4,XP_007236269.2,LOC103026363,1.9399999999999998e-239,827.0,6.449999999999999e-240,827.0
6528,KAG9263590.1,FAM122A,XP_007236271.2,LOC103026857,8.26e-121,432.0,2.74e-121,432.0
6531,KAG9263593.1,MED11,XP_007236272.1,MED11,3.49e-58,223.0,1.16e-58,223.0
6530,KAG9263592.1,RNASEKB,XP_007236273.2,RNASEKB,2.59e-51,200.0,8.61e-52,200.0
6529,KAG9263591.1,BAP18,XP_007236274.2,C20H17ORF49,3.55e-96,350.0,1.18e-96,350.0
6537,KAG9263596.1,SYTL2,XP_007236279.3,SYTL2A,0.0,1723.0,0.0,1723.0
6540,KAG9263598.1,CREBZF,XP_007236284.2,CREBZF,1.56e-165,581.0,5.1800000000000004e-166,581.0
6541,KAG9263599.1,TMEM126A,XP_007236285.3,TMEM126A,1.0299999999999999e-106,385.0,3.43e-107,385.0
6532,KAG9263594.1,ATG16L1,XP_007236290.3,SI:CH1073-143L10.2,1.6500000000000003e-129,461.0,5.48e-130,461.0
10773,KAG9266484.1,MAPK8IP1,XP_007236295.2,MAPK8IP1B,0.0,1340.0,0.0,1340.0
10775,KAG9266485.1,SLC35C1,XP_007236296.3,SLC35C1,1.12e-197,688.0,3.95e-198,688.0
10774,KAG9266485.1,SLC35C1,XP_007236297.3,SLC35C1,1.12e-197,688.0,3.74e-198,688.0
6090,KAG9263298.1,TMEM230,XP_007236299.1,TMEM230A,1.13e-62,238.0,3.94e-63,238.0
6089,KAG9263298.1,TMEM230,XP_007236300.1,TMEM230A,1.13e-62,238.0,3.75e-63,238.0
6094,KAG9263301.1,BNIP3L,XP_007236301.1,BNIP3LB,6.49e-117,419.0,2.16e-117,419.0
6095,KAG9263302.1,PPP2R2A,XP_007236302.1,PPP2R2AB,4.57e-264,909.0,1.42e-264,909.0
19859,KAG9272314.1,PCDH18,XP_007236308.3,PCDH18B,0.0,2200.0,0.0,2200.0
37353,KAG9283759.1,KAG9283759.1,XP_007236310.3,HMGN2,2.4400000000000002e-21,100.0,8.11e-22,100.0
37354,KAG9283760.1,DHDDS,XP_007236311.1,DHDDS,3.53e-193,673.0,1.17e-193,673.0
37356,KAG9283761.1,37104,XP_007236312.1,37104,0.0,1768.0,0.0,1768.0
37145,KAG9283626.1,STEAP4,XP_007236319.3,STEAP4,1.37e-268,924.0,4.56e-269,924.0
10252,KAG9266161.1,CDX1,XP_007236322.2,CDX1B,4.4100000000000004e-105,380.0,1.46e-105,380.0
10258,KAG9266164.1,ARSI,XP_007236325.2,ARSIB,0.0,1207.0,0.0,1207.0
10259,KAG9266165.1,NDUFA2,XP_007236326.1,NDUFA2,4.03e-50,196.0,1.34e-50,196.0
10264,KAG9266168.1,SLC22A6,XP_007236327.1,OATX,0.0,1118.0,0.0,1118.0
10261,KAG9266167.1,ARAP1,XP_007236328.3,LOC103047121,0.0,1843.0,0.0,1843.0
10263,KAG9266167.1,ARAP1,XP_007236329.3,LOC103047121,0.0,1837.0,0.0,1837.0
10266,KAG9266170.1,MFAP3L,XP_007236332.3,LOC103021671,3.9899999999999995e-172,603.0,1.33e-172,603.0
10267,KAG9266171.1,GALNT10,XP_007236333.1,GALNT10,0.0,1260.0,0.0,1260.0
10268,KAG9266172.1,SAP30L,XP_007236334.1,SAP30L,1.57e-99,361.0,5.22e-100,361.0
10270,KAG9266174.1,HPGD,XP_007236335.1,ZGC:56585,2.86e-146,517.0,8.499999999999999e-147,517.0
10269,KAG9266173.1,HAND1,XP_007236339.2,LOC103023863,3.03e-87,320.0,1.01e-87,320.0
5338,KAG9262833.1,SLC27A1,XP_007236340.3,SLC27A1B,0.0,1317.0,0.0,1317.0
5347,KAG9262846.1,KAG9262846.1,XP_007236345.3,LOC103025841,5.02e-125,446.0,1.67e-125,446.0
5348,KAG9262847.1,TNFSF14,XP_007236347.3,LOC103026147,4.0600000000000004e-133,473.0,1.3500000000000001e-133,473.0
5349,KAG9262848.1,TMED1,XP_007236348.3,TMED1B,1.3799999999999999e-119,428.0,4.57e-120,428.0
16164,KAG9269841.1,KAG9269841.1,XP_007236368.1,LOC103032302,9.310000000000001e-164,575.0,3.09e-164,575.0
