,Dmel,a,a2,Ast,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
22763,Drosophila_melanogaster,NP_001356947.1,CG16952,Astyanax_mexicanus,XP_007258262.3,BTBD7,5.7e-159,561.0,2.9e-159,561.0
22777,Drosophila_melanogaster,NP_001356956.1,DA,Astyanax_mexicanus,XP_022532021.2,LOC103029501,5.74e-33,142.0,1.86e-33,142.0
22785,Drosophila_melanogaster,NP_001356961.1,RAB3,Astyanax_mexicanus,XP_007245194.1,RAB3AA,4.950000000000001e-97,353.0,2.44e-97,353.0
22789,Drosophila_melanogaster,NP_001356962.1,FDL,Astyanax_mexicanus,XP_007228301.1,HEXA,1.3e-55,217.0,5.1600000000000005e-56,217.0
22790,Drosophila_melanogaster,NP_001356963.1,TTV,Astyanax_mexicanus,XP_007230034.2,LOC103026919,7.289999999999999e-236,816.0,3.45e-236,816.0
22793,Drosophila_melanogaster,NP_001356972.1,RPL23A,Astyanax_mexicanus,XP_007254226.1,RPL23A,3.7299999999999995e-45,181.0,1.03e-45,181.0
22794,Drosophila_melanogaster,NP_001356976.1,NMO,Astyanax_mexicanus,XP_007237237.2,NLK2,1.5099999999999998e-188,658.0,9e-189,658.0
22818,Drosophila_melanogaster,NP_001368946.1,WDB,Astyanax_mexicanus,XP_022540062.2,PPP2R5A,2.9200000000000003e-195,681.0,1.0400000000000001e-195,681.0
22872,Drosophila_melanogaster,NP_001368990.1,TOY,Astyanax_mexicanus,XP_007228377.1,PAX6A,2.0900000000000002e-110,399.0,7.02e-111,399.0
22885,Drosophila_melanogaster,NP_001369000.1,CG9467,Astyanax_mexicanus,XP_049320203.1,KCTD3,4.82e-203,707.0,2.5e-203,707.0
22914,Drosophila_melanogaster,NP_001369039.1,RH50,Astyanax_mexicanus,XP_007249807.1,RHBG,5.37e-103,374.0,2.4500000000000003e-103,374.0
23016,Drosophila_melanogaster,NP_001369072.1,CG12134,Astyanax_mexicanus,XP_007229049.2,WDR89,2.4300000000000002e-32,139.0,1.1300000000000001e-32,139.0
23018,Drosophila_melanogaster,NP_001369087.1,SRPK,Astyanax_mexicanus,XP_007245879.2,SRPK3,3.26e-138,492.0,1.22e-138,492.0
23098,Drosophila_melanogaster,NP_001369117.1,SERT,Astyanax_mexicanus,XP_007233559.2,SLC6A4B,1.6200000000000001e-192,672.0,6.02e-193,672.0
23105,Drosophila_melanogaster,NP_001369123.1,EAAT1,Astyanax_mexicanus,XP_022536633.2,SLC1A3B,5.479999999999999e-106,384.0,2.78e-106,384.0
23110,Drosophila_melanogaster,NP_001369131.1,DHC36C,Astyanax_mexicanus,XP_022536178.2,DNAH7,0.0,4244.0,0.0,4244.0
23112,Drosophila_melanogaster,NP_001400983.1,SRC42A,Astyanax_mexicanus,XP_022529013.1,FYNA,1.15e-158,559.0,5.8e-159,559.0
23248,Drosophila_melanogaster,NP_001401037.1,RHOGAP68F,Astyanax_mexicanus,XP_007244973.2,ARHGAP1,2.21e-65,249.0,9.75e-66,249.0
23259,Drosophila_melanogaster,NP_001401041.1,NOT,Astyanax_mexicanus,XP_022525048.1,USP22,6.76e-146,517.0,2.3999999999999997e-146,517.0
23262,Drosophila_melanogaster,NP_001401042.1,FZ2,Astyanax_mexicanus,XP_007260491.3,FZD5,9.79e-178,623.0,3.43e-178,623.0
23282,Drosophila_melanogaster,NP_001401058.1,FNE,Astyanax_mexicanus,XP_022526741.1,ELAVL4,1.9e-109,395.0,1.14e-109,395.0
23337,Drosophila_melanogaster,NP_001413638.1,MBL,Astyanax_mexicanus,XP_022534845.2,LOC103026224,5.68e-51,201.0,2.05e-51,201.0
23381,Drosophila_melanogaster,NP_476578.3,HTH,Astyanax_mexicanus,XP_007247415.1,MEIS1B,5.060000000000001e-103,374.0,2.0500000000000002e-103,374.0
23397,Drosophila_melanogaster,NP_476590.1,KHC,Astyanax_mexicanus,XP_015463949.3,KIF5BB,7.44e-263,906.0,3.6099999999999994e-263,906.0
23399,Drosophila_melanogaster,NP_476591.1,KZ,Astyanax_mexicanus,XP_007247251.3,DHX37,3.1200000000000004e-252,871.0,1.4900000000000002e-252,871.0
23401,Drosophila_melanogaster,NP_476594.1,IFC,Astyanax_mexicanus,XP_007237242.1,DEGS2,7.47e-122,436.0,3.73e-122,436.0
23408,Drosophila_melanogaster,NP_476597.2,SOS,Astyanax_mexicanus,XP_022525691.1,SOS1,8.25e-283,973.0,3.42e-283,973.0
23426,Drosophila_melanogaster,NP_476616.1,LAM,Astyanax_mexicanus,XP_007246229.3,LMNB2,2.71e-71,269.0,1.25e-71,269.0
23427,Drosophila_melanogaster,NP_476617.1,LANA,Astyanax_mexicanus,XP_022533328.2,LAMA5,0.0,1297.0,0.0,1297.0
23430,Drosophila_melanogaster,NP_476618.1,LANB1,Astyanax_mexicanus,XP_007249921.3,LAMB2,0.0,1118.0,0.0,1118.0
23447,Drosophila_melanogaster,NP_476633.1,TWE,Astyanax_mexicanus,XP_049325158.1,CDC25D,4.93e-35,148.0,2.34e-35,148.0
23451,Drosophila_melanogaster,NP_476637.1,APRT,Astyanax_mexicanus,XP_022520847.1,APRT,5.14e-39,160.0,2.62e-39,160.0
23470,Drosophila_melanogaster,NP_476666.1,ARM,Astyanax_mexicanus,XP_015461595.3,CTNNB1,2.02e-205,715.0,9.22e-206,715.0
23475,Drosophila_melanogaster,NP_476667.1,PABP,Astyanax_mexicanus,XP_049319518.1,PABPC4,4.27e-191,667.0,2.11e-191,667.0
23480,Drosophila_melanogaster,NP_476676.1,PGK,Astyanax_mexicanus,XP_007244525.2,PGK1,9.079999999999999e-159,559.0,4.5e-159,559.0
23505,Drosophila_melanogaster,NP_476699.1,RAS85D,Astyanax_mexicanus,XP_007228182.1,KRAS,1.2300000000000001e-79,295.0,6.02e-80,295.0
23512,Drosophila_melanogaster,NP_476712.1,RANGAP,Astyanax_mexicanus,XP_049332115.1,RANGAP1A,2.3899999999999997e-52,206.0,1.1399999999999998e-52,206.0
23519,Drosophila_melanogaster,NP_476714.1,SGG,Astyanax_mexicanus,XP_022530488.2,GSK3BB,3.49e-175,614.0,1.26e-175,614.0
23544,Drosophila_melanogaster,NP_476725.1,SINA,Astyanax_mexicanus,XP_007249245.1,SIAH1,5.71e-124,443.0,2.57e-124,443.0
23572,Drosophila_melanogaster,NP_476736.1,SOG,Astyanax_mexicanus,XP_007247718.1,CHRD,2.39e-93,343.0,1.07e-93,343.0
23573,Drosophila_melanogaster,NP_476739.1,ALPHA-SPEC,Astyanax_mexicanus,XP_049322581.1,SPTAN1,0.0,2992.0,0.0,2992.0
23606,Drosophila_melanogaster,NP_476753.1,SU(DX),Astyanax_mexicanus,XP_022529132.2,LOC103040182,1.26e-221,769.0,6.04e-222,769.0
23610,Drosophila_melanogaster,NP_476756.2,SU(W[A]),Astyanax_mexicanus,XP_022532234.2,LOC103041651,2.95e-57,223.0,1.48e-57,223.0
23611,Drosophila_melanogaster,NP_476758.1,EGFR,Astyanax_mexicanus,XP_022534414.2,EGFRA,1.7299999999999998e-199,696.0,7.510000000000001e-200,696.0
23621,Drosophila_melanogaster,NP_476760.1,TOP2,Astyanax_mexicanus,XP_022523075.2,TOP2B,0.0,1476.0,0.0,1476.0
23632,Drosophila_melanogaster,NP_476772.1,ALPHATUB84B,Astyanax_mexicanus,XP_022532807.1,TUBA1A,2.81e-259,893.0,1.39e-259,893.0
23650,Drosophila_melanogaster,NP_476775.1,TUP,Astyanax_mexicanus,XP_049326154.1,ISL1A,8.74e-108,390.0,2.82e-108,390.0
23657,Drosophila_melanogaster,NP_476778.1,RPS27A,Astyanax_mexicanus,XP_007230176.1,RPS27A,1.66e-75,281.0,8.18e-76,281.0
23660,Drosophila_melanogaster,NP_476781.1,USP,Astyanax_mexicanus,XP_022532283.1,RXRAA,4.57e-96,351.0,2.21e-96,351.0
23670,Drosophila_melanogaster,NP_476788.1,B,Astyanax_mexicanus,XP_022532784.1,CSAD,2.38e-136,485.0,1.04e-136,485.0
23672,Drosophila_melanogaster,NP_476798.1,NRT,Astyanax_mexicanus,XP_022521714.2,SI:CH211-71N6.4,5.43e-51,202.0,1.89e-51,202.0
23673,Drosophila_melanogaster,NP_476801.1,VHA16-1,Astyanax_mexicanus,XP_007256360.1,ATP6V0CA,3.19e-53,207.0,1.52e-53,207.0
23676,Drosophila_melanogaster,NP_476805.1,MTS,Astyanax_mexicanus,XP_007255313.3,PPP2CB,2.2900000000000002e-179,627.0,1.1300000000000001e-179,627.0
23685,Drosophila_melanogaster,NP_476810.1,WNT2,Astyanax_mexicanus,XP_022538188.2,WNT7AA,2.03e-94,345.0,9.92e-95,345.0
23689,Drosophila_melanogaster,NP_476813.1,PORIN,Astyanax_mexicanus,XP_049324435.1,ZGC:56235,6.05e-103,373.0,2.98e-103,373.0
23701,Drosophila_melanogaster,NP_476820.1,VINC,Astyanax_mexicanus,XP_022521762.2,VCLB,5.36e-215,747.0,2.9300000000000003e-215,747.0
23708,Drosophila_melanogaster,NP_476831.1,MDR65,Astyanax_mexicanus,XP_049320497.1,ABCB4,1.7599999999999998e-277,955.0,8.53e-278,955.0
23720,Drosophila_melanogaster,NP_476833.1,DBP73D,Astyanax_mexicanus,XP_007260222.3,DDX51,8.7e-82,304.0,4.2999999999999996e-82,304.0
23721,Drosophila_melanogaster,NP_476838.1,CBP53E,Astyanax_mexicanus,XP_007256291.1,CALB2A,1.48e-59,229.0,6.4e-60,229.0
23755,Drosophila_melanogaster,NP_476853.1,BIC,Astyanax_mexicanus,XP_007240221.1,BTF3L4,4.4399999999999995e-48,190.0,2.0499999999999998e-48,190.0
23784,Drosophila_melanogaster,NP_476858.1,DRK,Astyanax_mexicanus,XP_022520680.1,GRB2B,5.6e-76,283.0,2.85e-76,283.0
23786,Drosophila_melanogaster,NP_476860.2,PGD,Astyanax_mexicanus,XP_007246856.1,PGD,3.77e-201,700.0,1.87e-201,700.0
23787,Drosophila_melanogaster,NP_476865.1,BICC,Astyanax_mexicanus,XP_022525082.2,LOC103032919,8.14e-96,351.0,4.33e-96,351.0
23790,Drosophila_melanogaster,NP_476867.1,GPRK2,Astyanax_mexicanus,XP_007247167.2,GRK5L,1.92e-190,665.0,7.64e-191,665.0
23793,Drosophila_melanogaster,NP_476868.1,SU(H),Astyanax_mexicanus,XP_007239740.1,RBPJA,2.1700000000000002e-210,731.0,9.06e-211,731.0
23804,Drosophila_melanogaster,NP_476873.2,C15,Astyanax_mexicanus,XP_007231230.3,TLX3B,3.57e-47,188.0,1.5400000000000002e-47,188.0
23821,Drosophila_melanogaster,NP_476879.1,TOK,Astyanax_mexicanus,XP_049328319.1,TLL1,7.3899999999999995e-286,983.0,2.54e-286,983.0
23826,Drosophila_melanogaster,NP_476880.1,TWS,Astyanax_mexicanus,XP_022524828.1,PPP2R2D,2.2800000000000002e-211,734.0,1.0100000000000001e-211,734.0
23832,Drosophila_melanogaster,NP_476885.2,14-3-3ZETA,Astyanax_mexicanus,XP_007241340.1,LOC103023259,4.16e-105,380.0,2.0200000000000003e-105,380.0
23840,Drosophila_melanogaster,NP_476890.1,POR,Astyanax_mexicanus,XP_049342123.1,PORCN,7.24e-42,171.0,3.15e-42,171.0
23843,Drosophila_melanogaster,NP_476891.1,U2AF50,Astyanax_mexicanus,XP_007258310.1,U2AF2B,9.32e-156,549.0,5.04e-156,549.0
23851,Drosophila_melanogaster,NP_476897.1,PLE,Astyanax_mexicanus,XP_022527491.2,TH2,1.85e-123,442.0,8.6e-124,442.0
23865,Drosophila_melanogaster,NP_476902.1,PABP2,Astyanax_mexicanus,XP_049341422.1,PABPN1,6.029999999999999e-45,180.0,3.1e-45,180.0
23869,Drosophila_melanogaster,NP_476908.1,VHA55,Astyanax_mexicanus,XP_007229971.1,ATP6V1B2,6.269999999999999e-256,882.0,3.2199999999999996e-256,882.0
23871,Drosophila_melanogaster,NP_476917.1,NOC,Astyanax_mexicanus,XP_007240356.2,ZNF503,2.26e-14,79.7,1.15e-14,79.7
23875,Drosophila_melanogaster,NP_476929.1,NMDMC,Astyanax_mexicanus,XP_022522150.1,MTHFD2,7.289999999999999e-91,333.0,3.92e-91,333.0
23877,Drosophila_melanogaster,NP_476934.2,MYO61F,Astyanax_mexicanus,XP_007260947.3,MYO1CB,2.53e-292,1004.0,1.27e-292,1004.0
23924,Drosophila_melanogaster,NP_476938.1,RPS13,Astyanax_mexicanus,XP_022525823.1,RPS13,1.6799999999999998e-69,261.0,8.310000000000001e-70,261.0
23927,Drosophila_melanogaster,NP_476942.1,CACT,Astyanax_mexicanus,XP_007253018.2,NFKBIAA,9.15e-15,80.9,2.79e-15,80.9
23931,Drosophila_melanogaster,NP_476950.1,RAC1,Astyanax_mexicanus,XP_007251352.1,RAC1A,5.27e-101,366.0,2.6e-101,366.0
23961,Drosophila_melanogaster,NP_476963.1,RPL27A,Astyanax_mexicanus,XP_007241148.2,RPL27A,5.26e-40,163.0,2.58e-40,163.0
23962,Drosophila_melanogaster,NP_476964.1,RPS18,Astyanax_mexicanus,XP_015458348.1,LOC103029244,8.669999999999999e-67,252.0,4.2799999999999996e-67,252.0
23965,Drosophila_melanogaster,NP_476969.1,VHA14-1,Astyanax_mexicanus,XP_007245072.1,ATP6V1F,6.679999999999999e-45,179.0,3.16e-45,179.0
23975,Drosophila_melanogaster,NP_476975.1,WAL,Astyanax_mexicanus,XP_007246576.2,ETFA,1.54e-121,435.0,7.65e-122,435.0
23983,Drosophila_melanogaster,NP_476977.1,PKA-C1,Astyanax_mexicanus,XP_007240078.1,PRKACBB,4.3899999999999995e-172,603.0,2.15e-172,603.0
23996,Drosophila_melanogaster,NP_476980.1,SGL,Astyanax_mexicanus,XP_022537734.1,UGDH,1.35e-184,645.0,6.910000000000001e-185,645.0
24008,Drosophila_melanogaster,NP_476982.1,PELO,Astyanax_mexicanus,XP_022525102.2,PELO,9.73e-144,509.0,4.6900000000000004e-144,509.0
24010,Drosophila_melanogaster,NP_476986.1,POE,Astyanax_mexicanus,XP_049318937.1,UBR4,0.0,3090.0,0.0,3090.0
24062,Drosophila_melanogaster,NP_476999.1,BABO,Astyanax_mexicanus,XP_007233450.3,TGFBR1B,4.56e-151,534.0,1.8e-151,534.0
24069,Drosophila_melanogaster,NP_477005.1,CPB,Astyanax_mexicanus,XP_007256762.1,CAPZB,2.01e-123,441.0,9.800000000000001e-124,441.0
24074,Drosophila_melanogaster,NP_477008.1,TRP1,Astyanax_mexicanus,XP_007234420.1,SEC62,1.14e-41,170.0,5.4099999999999995e-42,170.0
24075,Drosophila_melanogaster,NP_477009.1,ELK,Astyanax_mexicanus,XP_022536211.2,KCNH3,3.84e-206,718.0,1.7e-206,718.0
24081,Drosophila_melanogaster,NP_477011.1,GRP,Astyanax_mexicanus,XP_007250106.3,CHEK1,9.53e-121,433.0,4.26e-121,433.0
24082,Drosophila_melanogaster,NP_477012.1,INE,Astyanax_mexicanus,XP_022521552.2,SI:CH211-283G2.1,3.1500000000000004e-163,575.0,9.62e-164,575.0
24161,Drosophila_melanogaster,NP_477025.1,PAV,Astyanax_mexicanus,XP_022535407.1,KIF23,6.67e-148,524.0,3.22e-148,524.0
24175,Drosophila_melanogaster,NP_477034.1,TSR,Astyanax_mexicanus,XP_022540978.1,CFL1L,4.94e-09,60.1,2.69e-09,60.1
24178,Drosophila_melanogaster,NP_477039.1,DP,Astyanax_mexicanus,XP_007236810.3,TFDP2,9.68e-72,270.0,4.31e-72,270.0
24188,Drosophila_melanogaster,NP_477044.1,RET,Astyanax_mexicanus,XP_015462110.2,RET,1.23e-111,404.0,5.49e-112,404.0
24189,Drosophila_melanogaster,NP_477046.1,ANCE,Astyanax_mexicanus,XP_022525063.2,ACE,5.51e-155,547.0,3.13e-155,547.0
24193,Drosophila_melanogaster,NP_477052.2,ODC1,Astyanax_mexicanus,XP_007257380.3,ODC1,7.429999999999999e-90,330.0,4.29e-90,330.0
24200,Drosophila_melanogaster,NP_477064.1,PNUT,Astyanax_mexicanus,XP_049331882.1,SEPTIN7A,1.3899999999999999e-137,489.0,5.67e-138,489.0
24208,Drosophila_melanogaster,NP_477068.1,CNI,Astyanax_mexicanus,XP_007247654.1,CNIH1,1.44e-53,208.0,7.129999999999999e-54,208.0
24229,Drosophila_melanogaster,NP_477072.1,SW,Astyanax_mexicanus,XP_007253578.3,DYNC1I2A,1.95e-172,605.0,9.320000000000001e-173,605.0
24301,Drosophila_melanogaster,NP_477090.1,RAB2,Astyanax_mexicanus,XP_007245153.1,RAB2A,3.57e-105,380.0,1.75e-105,380.0
24302,Drosophila_melanogaster,NP_477091.1,ACT87E,Astyanax_mexicanus,XP_007247883.1,ACTB2,8.59e-212,735.0,4.23e-212,735.0
24312,Drosophila_melanogaster,NP_477098.1,RHO1,Astyanax_mexicanus,XP_007256202.1,RHOCB,1.1099999999999999e-94,345.0,5.49e-95,345.0
24330,Drosophila_melanogaster,NP_477123.1,PSI,Astyanax_mexicanus,XP_007243242.3,FUBP1,1.02e-50,201.0,4.06e-51,201.0
24338,Drosophila_melanogaster,NP_477128.1,NAP1,Astyanax_mexicanus,XP_022530007.1,NAP1L1,2.4e-79,295.0,1.24e-79,295.0
24350,Drosophila_melanogaster,NP_477130.1,CSW,Astyanax_mexicanus,XP_022536489.1,PTPN11A,4.99e-178,624.0,1.74e-178,624.0
24352,Drosophila_melanogaster,NP_477132.1,ORC5,Astyanax_mexicanus,XP_007232770.3,ORC5,5.12e-69,261.0,2.45e-69,261.0
24364,Drosophila_melanogaster,NP_477138.1,VACHT,Astyanax_mexicanus,XP_007249547.1,SLC18A3A,2.39e-136,485.0,1.0599999999999999e-136,485.0
24374,Drosophila_melanogaster,NP_477158.1,CPR,Astyanax_mexicanus,XP_022534471.1,PORB,5.01e-238,823.0,2.46e-238,823.0
24378,Drosophila_melanogaster,NP_477160.1,LIS-1,Astyanax_mexicanus,XP_007260779.1,PAFAH1B1B,4.4700000000000004e-72,271.0,2.2e-72,271.0
24385,Drosophila_melanogaster,NP_477162.1,LIC,Astyanax_mexicanus,XP_049320274.1,MAP2K6,6.67e-112,403.0,3.57e-112,403.0
24388,Drosophila_melanogaster,NP_477167.1,NRV1,Astyanax_mexicanus,XP_049332723.1,ATP1B3A,7.68e-26,117.0,3.42e-26,117.0
24391,Drosophila_melanogaster,NP_477170.1,RAB11,Astyanax_mexicanus,XP_007252710.1,RAB11BA,7.7e-96,349.0,3.87e-96,349.0
24407,Drosophila_melanogaster,NP_477176.1,CYT-C-P,Astyanax_mexicanus,XP_007248896.1,LOC103040542,4.54e-47,186.0,2.16e-47,186.0
24414,Drosophila_melanogaster,NP_477184.1,CSUL,Astyanax_mexicanus,XP_007258117.2,PRMT5,3.05e-112,405.0,1.56e-112,405.0
24446,Drosophila_melanogaster,NP_477196.1,CDK4,Astyanax_mexicanus,XP_007259858.2,CDK6,2.0600000000000002e-79,295.0,1.04e-79,295.0
24459,Drosophila_melanogaster,NP_477203.1,RPL29,Astyanax_mexicanus,XP_015461075.1,RPL29,3.91e-10,62.8,1.62e-10,62.8
24484,Drosophila_melanogaster,NP_477222.1,SURF4,Astyanax_mexicanus,XP_007252144.2,SURF4,7.96e-92,336.0,3.92e-92,336.0
24494,Drosophila_melanogaster,NP_477240.1,DBE,Astyanax_mexicanus,XP_022530009.2,KRR1,7.58e-100,363.0,4.1900000000000003e-100,363.0
24525,Drosophila_melanogaster,NP_477265.1,KRAKEN,Astyanax_mexicanus,XP_007253197.3,SERHL,1.7400000000000002e-47,189.0,8.36e-48,189.0
24527,Drosophila_melanogaster,NP_477266.1,VHA44,Astyanax_mexicanus,XP_022522136.1,ATP6V1C1A,2.45e-141,501.0,1.1899999999999999e-141,501.0
24534,Drosophila_melanogaster,NP_477270.2,PI3K21B,Astyanax_mexicanus,XP_049330325.1,PIK3R1,1.5599999999999998e-54,213.0,6.27e-55,213.0
24541,Drosophila_melanogaster,NP_477271.1,OSBP,Astyanax_mexicanus,XP_049328227.1,LOC103044970,1.2599999999999999e-197,689.0,6.05e-198,689.0
24574,Drosophila_melanogaster,NP_477294.2,NLE,Astyanax_mexicanus,XP_007241553.2,NLE1,1.8900000000000002e-86,319.0,9.08e-87,319.0
24575,Drosophila_melanogaster,NP_477295.1,THOR,Astyanax_mexicanus,XP_007256790.1,EIF4EBP1,4.56e-10,63.2,2.25e-10,63.2
24578,Drosophila_melanogaster,NP_477296.1,KDELR,Astyanax_mexicanus,XP_007241313.2,KDELR2A,3.28e-86,317.0,1.62e-86,317.0
24580,Drosophila_melanogaster,NP_477300.1,RPN3,Astyanax_mexicanus,XP_007230838.3,PSMD3,1.86e-148,525.0,9.43e-149,525.0
24581,Drosophila_melanogaster,NP_477305.1,VIMAR,Astyanax_mexicanus,XP_007239851.1,RAP1GDS1,1.59e-53,210.0,7.519999999999999e-54,210.0
24593,Drosophila_melanogaster,NP_477310.2,UBA1,Astyanax_mexicanus,XP_007239218.3,UBA1,0.0,1253.0,0.0,1253.0
24596,Drosophila_melanogaster,NP_477311.1,DPP,Astyanax_mexicanus,NP_001278181.1,BMP4,1.3099999999999999e-68,260.0,4.42e-69,260.0
24599,Drosophila_melanogaster,NP_477318.1,AMON,Astyanax_mexicanus,XP_007238598.2,PCSK2,7.470000000000001e-212,736.0,3.61e-212,736.0
24609,Drosophila_melanogaster,NP_477329.1,EBI,Astyanax_mexicanus,XP_007250742.1,TBL1XR1B,7.840000000000001e-156,550.0,2.8200000000000004e-156,550.0
24612,Drosophila_melanogaster,NP_477332.1,NMD3,Astyanax_mexicanus,XP_015463643.3,NMD3,7.47e-154,543.0,3.57e-154,543.0
24615,Drosophila_melanogaster,NP_477334.2,MCT1,Astyanax_mexicanus,XP_022526773.1,SLC16A4,1.46e-62,240.0,6.52e-63,240.0
24617,Drosophila_melanogaster,NP_477339.1,HS2ST,Astyanax_mexicanus,XP_007245149.1,HS2ST1A,6.1300000000000005e-99,360.0,3.08e-99,360.0
24619,Drosophila_melanogaster,NP_477340.1,GBB,Astyanax_mexicanus,XP_022519592.2,BMP5,2.13e-62,239.0,1.02e-62,239.0
24622,Drosophila_melanogaster,NP_477341.2,DNT,Astyanax_mexicanus,XP_015462464.2,RYK,1.28e-99,363.0,6.5e-100,363.0
24630,Drosophila_melanogaster,NP_477353.1,MKK4,Astyanax_mexicanus,XP_007257275.1,MAP2K4B,1.6200000000000002e-117,422.0,7.79e-118,422.0
24639,Drosophila_melanogaster,NP_477355.1,E2F2,Astyanax_mexicanus,XP_049338459.1,E2F5,2.07e-19,95.9,1.03e-19,95.9
24640,Drosophila_melanogaster,NP_477356.1,DLC90F,Astyanax_mexicanus,XP_022527435.1,DYNLT1B,5.02e-38,156.0,2.52e-38,156.0
24642,Drosophila_melanogaster,NP_477361.1,P38B,Astyanax_mexicanus,XP_007247791.1,MAPK14B,1.0999999999999999e-147,522.0,5.3600000000000004e-148,522.0
24646,Drosophila_melanogaster,NP_477367.1,TS,Astyanax_mexicanus,XP_007230395.2,TYMS,6.26e-115,413.0,3.0799999999999996e-115,413.0
24663,Drosophila_melanogaster,NP_477369.1,TER94,Astyanax_mexicanus,XP_049326497.1,LOC125786909,0.0,1312.0,0.0,1312.0
24669,Drosophila_melanogaster,NP_477371.1,IRP-1A,Astyanax_mexicanus,XP_007255249.3,ACO1,0.0,1216.0,0.0,1216.0
24677,Drosophila_melanogaster,NP_477374.1,ARI-2,Astyanax_mexicanus,XP_049341572.1,ARIH2,5.7e-156,550.0,2.77e-156,550.0
24701,Drosophila_melanogaster,NP_477390.1,SKPA,Astyanax_mexicanus,XP_007241403.1,SKP1,3.97e-57,220.0,1.97e-57,220.0
24702,Drosophila_melanogaster,NP_477392.1,SCF,Astyanax_mexicanus,XP_007244133.3,CALUB,2.6e-83,308.0,1.23e-83,308.0
24704,Drosophila_melanogaster,NP_477394.3,ATE1,Astyanax_mexicanus,XP_022540735.2,LOC103027203,5.63e-91,334.0,2.89e-91,334.0
24709,Drosophila_melanogaster,NP_477395.1,ALPHACOP,Astyanax_mexicanus,XP_007234429.2,COPA,0.0,1404.0,0.0,1404.0
24721,Drosophila_melanogaster,NP_477400.1,TBPH,Astyanax_mexicanus,XP_007253448.2,TARDBPB,1.28e-87,323.0,4.7800000000000004e-88,323.0
24735,Drosophila_melanogaster,NP_477402.1,RAP2L,Astyanax_mexicanus,XP_007237348.1,LOC103045190,8.300000000000001e-66,249.0,4.1e-66,249.0
24738,Drosophila_melanogaster,NP_477405.1,INOS,Astyanax_mexicanus,XP_022534593.2,LOC103027071,6.390000000000001e-184,643.0,3.09e-184,643.0
24748,Drosophila_melanogaster,NP_477413.1,AFT,Astyanax_mexicanus,XP_007260296.3,CMTR2,1.9e-72,273.0,9.910000000000001e-73,273.0
24754,Drosophila_melanogaster,NP_477420.1,REP,Astyanax_mexicanus,XP_049322704.1,CHM,2.7800000000000003e-72,272.0,1.8e-72,272.0
24765,Drosophila_melanogaster,NP_477424.1,PTEN,Astyanax_mexicanus,XP_007251223.2,PTENB,8.88e-75,280.0,4.22e-75,280.0
24767,Drosophila_melanogaster,NP_477426.1,HUS1-LIKE,Astyanax_mexicanus,XP_022535563.1,HUS1,8.43e-30,130.0,4.24e-30,130.0
24778,Drosophila_melanogaster,NP_477432.3,TAZ,Astyanax_mexicanus,XP_022532523.1,TAFAZZIN,6.9e-65,247.0,2.36e-65,247.0
24779,Drosophila_melanogaster,NP_477435.1,FAT-SPONDIN,Astyanax_mexicanus,XP_022539540.2,SPON1B,1.34e-98,360.0,6.74e-99,360.0
24783,Drosophila_melanogaster,NP_477437.1,VHA13,Astyanax_mexicanus,XP_007231476.1,ATP6V1G1,1.05e-14,78.6,5.25e-15,78.6
24787,Drosophila_melanogaster,NP_477442.1,CSN5,Astyanax_mexicanus,XP_007248979.1,COPS5,2.0100000000000003e-144,511.0,1.0200000000000001e-144,511.0
24788,Drosophila_melanogaster,NP_477444.1,CSN4,Astyanax_mexicanus,XP_007255068.1,COPS4,7.12e-158,556.0,3.51e-158,556.0
24789,Drosophila_melanogaster,NP_477445.1,MANF,Astyanax_mexicanus,XP_022537930.1,MANF,1.8200000000000001e-47,188.0,9.35e-48,188.0
24790,Drosophila_melanogaster,NP_477448.1,STAM,Astyanax_mexicanus,XP_007227978.3,STAM2,1.79e-78,293.0,6.47e-79,293.0
24792,Drosophila_melanogaster,NP_477449.1,DNZ1,Astyanax_mexicanus,XP_049325784.1,ZGC:77880,7.69e-70,263.0,4.08e-70,263.0
24793,Drosophila_melanogaster,NP_477451.1,PFRX,Astyanax_mexicanus,XP_022532871.1,PFKFB1,3.2799999999999997e-152,538.0,1.06e-152,538.0
24830,Drosophila_melanogaster,NP_477464.1,SYT4,Astyanax_mexicanus,XP_007249738.3,SYT11B,2.01e-74,279.0,9.76e-75,279.0
24841,Drosophila_melanogaster,NP_477479.1,CG6712,Astyanax_mexicanus,XP_007233262.3,RPF1,2.2500000000000001e-66,252.0,1.01e-66,252.0
24843,Drosophila_melanogaster,NP_477483.1,FJ,Astyanax_mexicanus,XP_007228221.3,FJX1,2.3399999999999997e-52,206.0,7.87e-53,206.0
24874,Drosophila_melanogaster,NP_477487.1,FOR,Astyanax_mexicanus,XP_049320723.1,PRKG1B,4.78e-245,847.0,1.45e-245,847.0
24878,Drosophila_melanogaster,NP_477496.1,FS(2)KET,Astyanax_mexicanus,XP_007230833.2,KPNB1,0.0,1061.0,0.0,1061.0
24879,Drosophila_melanogaster,NP_477497.1,FT,Astyanax_mexicanus,XP_022532377.2,LOC103037566,0.0,2627.0,0.0,2627.0
24881,Drosophila_melanogaster,NP_477501.1,FZY,Astyanax_mexicanus,XP_022524019.2,CDC20,9.79e-121,433.0,4.55e-121,433.0
